Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),CountNonNull(Orders.Row ID),Sum(Orders.Quantity),Sum(Orders.Sales)
Consumer,Central,Technology,Phones,6416.019599999999,105,356,37108.78599999998
Corporate,Central,Technology,Phones,2391.2796999999996,53,210,17180.795999999995
Home Office,Central,Technology,Phones,3515.7274000000007,42,147,18113.699999999997
Consumer,East,Technology,Phones,7328.253600000001,140,514,51512.03800000004
Corporate,East,Technology,Phones,3129.6182999999987,87,304,29865.618
Home Office,East,Technology,Phones,1856.814099999999,45,164,19237.326
Consumer,South,Technology,Phones,5623.911800000001,68,269,30846.20399999999
Corporate,South,Technology,Phones,3680.2119999999995,44,164,19274.232000000007
Home Office,South,Technology,Phones,1463.1515,28,93,8184.002
Consumer,West,Technology,Phones,4468.929700000001,138,546,50465.73599999996
Corporate,West,Technology,Phones,2565.1096000000016,88,325,24832.768
Home Office,West,Technology,Phones,2076.7033,51,197,23385.848
Consumer,Central,Technology,Machines,-1667.028000000002,8,28,11999.761999999999
Corporate,Central,Technology,Machines,-361.50440000000134,7,23,11716.733999999999
Home Office,Central,Technology,Machines,542.4657999999998,6,15,3080.888
Consumer,East,Technology,Machines,-1296.0850000000046,19,77,30668.429
Corporate,East,Technology,Machines,2624.6022999999996,12,63,23892.036
Home Office,East,Technology,Machines,5600.125599999999,6,25,11545.699999999999
Consumer,South,Technology,Machines,2910.5588,11,36,18338.550000000007
Corporate,South,Technology,Machines,-2520.117899999999,4,15,12001.155
Home Office,South,Technology,Machines,-1829.3339000000021,3,11,23551.254999999997
Consumer,West,Technology,Machines,2193.6159999999986,19,76,18536.084000000003
Corporate,West,Technology,Machines,960.0389999999994,12,40,12666.830000000002
Home Office,West,Technology,Machines,-3772.581400000001,8,31,11241.208000000002
Consumer,Central,Technology,Accessories,3743.3858999999993,101,392,19062.303999999993
Corporate,Central,Technology,Accessories,1462.9337,51,195,6195.238
Home Office,Central,Technology,Accessories,2045.3110000000004,31,129,8698.534
Consumer,East,Technology,Accessories,5240.0783,107,354,22861.056
Corporate,East,Technology,Accessories,2933.591099999999,56,222,11747.997999999998
Home Office,East,Technology,Accessories,3022.1949999999997,43,148,10424.318000000001
Consumer,South,Technology,Accessories,2788.307200000001,70,265,11651.563999999993
Corporate,South,Technology,Accessories,3085.4776999999995,34,129,10175.456
Home Office,South,Technology,Accessories,1130.7574999999997,24,110,5449.7339999999995
Consumer,West,Technology,Accessories,8964.1511,130,567,33530.31400000001
Corporate,West,Technology,Accessories,5225.477999999998,86,335,20071.872
Home Office,West,Technology,Accessories,2294.9692,42,130,7511.9299999999985
Consumer,Central,Technology,Copiers,1482.9615999999999,4,14,4519.884
Corporate,Central,Technology,Copiers,12789.904299999998,8,29,29679.741999999995
Home Office,Central,Technology,Copiers,1335.9754,4,6,3059.944
Consumer,East,Technology,Copiers,8657.932499999995,12,43,30399.706
Corporate,East,Technology,Copiers,1134.9764999999998,4,11,4219.914
Home Office,East,Technology,Copiers,7229.9328,4,17,18599.842
Consumer,South,Technology,Copiers,1783.9451999999999,4,14,4439.868
Corporate,South,Technology,Copiers,1874.9615000000001,3,12,4859.888
Home Office,South,Technology,Copiers,,,,
Consumer,West,Technology,Copiers,12158.871299999995,15,46,30459.611999999997
Corporate,West,Technology,Copiers,3190.4365999999995,5,18,8069.842000000001
Home Office,West,Technology,Copiers,3977.927199999999,5,24,11219.788
Consumer,Central,Furniture,Chairs,2920.9013000000004,81,307,42933.37499999999
Corporate,Central,Furniture,Chairs,3206.8836999999976,45,178,27989.551999999992
Home Office,Central,Furniture,Chairs,464.9370999999995,28,130,14307.719000000003
Consumer,East,Furniture,Chairs,4917.395199999997,94,387,59645.13300000001
Corporate,East,Furniture,Chairs,2720.5878,46,189,23505.23
Home Office,East,Furniture,Chairs,1719.7875999999994,28,100,13110.32
Consumer,South,Furniture,Chairs,4017.0347,53,195,26804.226
Corporate,South,Furniture,Chairs,1183.9544999999994,26,102,11366.872000000003
Home Office,South,Furniture,Chairs,1411.1000999999997,9,34,7005.348
Consumer,West,Furniture,Chairs,1380.0006999999987,101,345,43480.007999999965
Corporate,West,Furniture,Chairs,1233.2304999999983,71,250,36279.223999999995
Home Office,West,Furniture,Chairs,1414.3530999999994,35,139,22022.096
Consumer,Central,Furniture,Tables,-3964.1571000000004,42,151,20834.999999999996
