Trellis.Year,Trellis.AC,Trellis.Account Level 2,Sum(Trellis.PY)
2015,578,Software revenue,465
2016,678,Software revenue,565
2014,(Blank),Income from discontinued operations,206
2015,(Blank),Income from discontinued operations,306
2016,(Blank),Income from discontinued operations,406
2014,(Blank),Income tax expenses,123
2015,(Blank),Income tax expenses,323
2016,(Blank),Income tax expenses,423
2014,(Blank),Research and development expenses,178
2015,(Blank),Research and development expenses,228
2016,(Blank),Research and development expenses,328
2014,(Blank),"Other financial income,net",134
2015,(Blank),"Other financial income,net",234
2016,(Blank),"Other financial income,net",334
2014,(Blank),Cost of sales,122
2015,(Blank),Cost of sales,222
2016,(Blank),Cost of sales,322
2015,620,Support revenue,270
2016,720,Support revenue,370
2014,(Blank),Other operating expenses,111
2015,(Blank),Other operating expenses,211
2016,(Blank),Other operating expenses,311
2014,(Blank),Selling and general administrative expenses,-197
2015,(Blank),Selling and general administrative expenses,297
2016,(Blank),Selling and general administrative expenses,397
2014,278,(Blank),265
2014,920,(Blank),170
2014,128,Consulting revenue,121
2015,428,Consulting revenue,-221
2016,528,Consulting revenue,321
