0,1,Sum(financials. Sales),Sum(financials.Profit),
[object Object],[object Object],11140926.28,866326.78,6257457.541
[object Object],[object Object],8657237.66,911261.16,6221913.721
[object Object],[object Object],5865834.735,535982.735,6088543.07
[object Object],[object Object],4878794.36,424957.36,5876335.205
[object Object],[object Object],6829693.69,650338.69,5237338.028
[object Object],[object Object],6273404.135,1147004.135,6257457.541
[object Object],[object Object],6537899.37,1140580.37,6221913.721
[object Object],[object Object],5913163.185,1061776.185,6088543.07
[object Object],[object Object],10316608.08,1847355.08,5876335.205
[object Object],[object Object],5588703.93,992141.93,5237338.028
[object Object],[object Object],7168350.75,912328.75,6257457.541
[object Object],[object Object],7865428.355,1093780.855,6221913.721
[object Object],[object Object],10057889.36,1619256.86,6088543.07
[object Object],[object Object],5824029.88,823095.88,5876335.205
[object Object],[object Object],7864732.49,1131060.49,5237338.028
[object Object],[object Object],447149,69881,6257457.541
[object Object],[object Object],1827089.5,383606.5,6221913.721
[object Object],[object Object],2517285,564005,6088543.07
[object Object],[object Object],2485908.5,584980.5,5876335.205
[object Object],[object Object],666222,133982,5237338.028
