Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 1,2014,Furniture,Bookcases,-468.0098,2716.5009999999997
Qtr 2,2014,Furniture,Bookcases,-214.3451,1708.7035999999998
Qtr 3,2014,Furniture,Bookcases,310.71799999999985,4676.4188
Qtr 4,2014,Furniture,Bookcases,25.466199999999446,10935.0542
Qtr 1,2014,Furniture,Chairs,1403.0951999999995,10091.3
Qtr 2,2014,Furniture,Chairs,1072.0673000000002,13341.776
Qtr 3,2014,Furniture,Chairs,1871.8918000000003,22804.367
Qtr 4,2014,Furniture,Chairs,2607.9927,31004.132999999998
Qtr 1,2014,Furniture,Furnishings,183.5819,1584.8780000000004
Qtr 2,2014,Furniture,Furnishings,351.87749999999994,2196.9620000000004
Qtr 3,2014,Furniture,Furnishings,1105.4804,4861.336
Qtr 4,2014,Furniture,Furnishings,331.95209999999946,5183.057999999999
Qtr 1,2014,Furniture,Tables,-1321.1641000000002,8263.460000000001
Qtr 2,2014,Furniture,Tables,-408.78190000000075,10816.307999999999
Qtr 3,2014,Furniture,Tables,-391.77420000000075,9615.756500000001
Qtr 4,2014,Furniture,Tables,-1002.3225000000003,17392.841
Qtr 1,2014,Office Supplies,Appliances,-252.46000000000004,905.462
Qtr 2,2014,Office Supplies,Appliances,959.8454999999998,3726.4219999999996
Qtr 3,2014,Office Supplies,Appliances,320.6246,4591.7570000000005
Qtr 4,2014,Office Supplies,Appliances,1431.4897999999996,6089.983999999999
Qtr 1,2014,Office Supplies,Art,173.1049,663.922
Qtr 2,2014,Office Supplies,Art,406.8376999999998,1542.2479999999998
Qtr 3,2014,Office Supplies,Art,312.47729999999996,1219.5620000000001
Qtr 4,2014,Office Supplies,Art,514.3832000000001,2632.249999999999
Qtr 1,2014,Office Supplies,Binders,633.5917999999997,2679.445
Qtr 2,2014,Office Supplies,Binders,2161.8373,9633.848999999995
Qtr 3,2014,Office Supplies,Binders,2319.101199999996,19929.495000000006
Qtr 4,2014,Office Supplies,Binders,-374.8143000000022,11245.476
Qtr 1,2014,Office Supplies,Envelopes,199.99309999999997,547.5600000000001
Qtr 2,2014,Office Supplies,Envelopes,316.0028,718.106
Qtr 3,2014,Office Supplies,Envelopes,295.3433,721.5679999999999
Qtr 4,2014,Office Supplies,Envelopes,684.1396,1868.516
Qtr 1,2014,Office Supplies,Fasteners,10.201099999999997,97.65
Qtr 2,2014,Office Supplies,Fasteners,28.43779999999999,159.552
Qtr 3,2014,Office Supplies,Fasteners,74.86630000000001,205.696
Qtr 4,2014,Office Supplies,Fasteners,65.0531,198.42999999999998
Qtr 1,2014,Office Supplies,Labels,104.33719999999998,255.21200000000002
Qtr 2,2014,Office Supplies,Labels,344.25750000000005,744.1580000000001
Qtr 3,2014,Office Supplies,Labels,276.63399999999996,617.702
Qtr 4,2014,Office Supplies,Labels,560.7755,1224.322
Qtr 1,2014,Office Supplies,Paper,663.2356000000001,1580.83
Qtr 2,2014,Office Supplies,Paper,911.9930000000002,2194.733999999999
Qtr 3,2014,Office Supplies,Paper,1812.6979999999999,4259.074000000001
Qtr 4,2014,Office Supplies,Paper,2983.094800000001,6800.318000000002
Qtr 1,2014,Office Supplies,Storage,693.2789999999995,7541.361999999996
Qtr 2,2014,Office Supplies,Storage,543.1238,8242.428
Qtr 3,2014,Office Supplies,Storage,1180.8009999999997,13585.685999999998
Qtr 4,2014,Office Supplies,Storage,1749.0750000000005,20959.566000000006
Qtr 1,2014,Office Supplies,Supplies,10.172200000000004,257.24
Qtr 2,2014,Office Supplies,Supplies,106.51020000000005,4282.237999999999
Qtr 3,2014,Office Supplies,Supplies,392.5779999999997,8793.427999999998
Qtr 4,2014,Office Supplies,Supplies,-19.204799999999985,1061.1639999999998
Qtr 1,2014,Technology,Accessories,1124.5735000000002,3057.814
Qtr 2,2014,Technology,Accessories,1038.4554999999998,3908.5200000000004
Qtr 3,2014,Technology,Accessories,1685.6122999999998,7705.984
Qtr 4,2014,Technology,Accessories,2554.0737,10341.954000000002
Qtr 1,2014,Technology,Copiers,,
Qtr 2,2014,Technology,Copiers,464.98850000000004,2999.93
Qtr 3,2014,Technology,Copiers,1586.9721,4109.928
Qtr 4,2014,Technology,Copiers,860.9826999999999,3739.924
Qtr 1,2014,Technology,Machines,-1255.4678000000022,25314.658
Qtr 2,2014,Technology,Machines,-142.0174,979.729
Qtr 3,2014,Technology,Machines,-2626.1293000000032,22420.282
Qtr 4,2014,Technology,Machines,4392.783399999998,13308.704000000002
Qtr 1,2014,Technology,Phones,1909.1652000000004,8890.502
Qtr 2,2014,Technology,Phones,3262.9792000000007,19343.095999999994
Qtr 3,2014,Technology,Phones,2276.827,13515.171999999999
Qtr 4,2014,Technology,Phones,4359.033899999999,35642.036
