Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales)
March,2014,Furniture,Bookcases,1706.446
April,2014,Furniture,Bookcases,308.499
May,2014,Furniture,Bookcases,640.631
November,2014,Furniture,Bookcases,7263.7137
December,2014,Furniture,Bookcases,3054.3425
March,2015,Furniture,Bookcases,2625.422
April,2015,Furniture,Bookcases,875.71
May,2015,Furniture,Bookcases,1916.8175
November,2015,Furniture,Bookcases,8377.345
December,2015,Furniture,Bookcases,2652.2422
March,2016,Furniture,Bookcases,1091.855
April,2016,Furniture,Bookcases,1557.768
May,2016,Furniture,Bookcases,
November,2016,Furniture,Bookcases,5797.2748
December,2016,Furniture,Bookcases,1616.702
March,2017,Furniture,Bookcases,1928.1928
April,2017,Furniture,Bookcases,1978.5036
May,2017,Furniture,Bookcases,3732.1332
November,2017,Furniture,Bookcases,2122.687
December,2017,Furniture,Bookcases,3654.0978
March,2014,Furniture,Chairs,5713.142
April,2014,Furniture,Chairs,3210.666
May,2014,Furniture,Chairs,3675.109
November,2014,Furniture,Chairs,7282.554
December,2014,Furniture,Chairs,17234.974
March,2015,Furniture,Chairs,4085.233
April,2015,Furniture,Chairs,4271.621
May,2015,Furniture,Chairs,5681.933
November,2015,Furniture,Chairs,12743.158
December,2015,Furniture,Chairs,10276.985
March,2016,Furniture,Chairs,6021.038
April,2016,Furniture,Chairs,8945.012
May,2016,Furniture,Chairs,7399.477
November,2016,Furniture,Chairs,13173.083
December,2016,Furniture,Chairs,14950.632
March,2017,Furniture,Chairs,5524.914
April,2017,Furniture,Chairs,2099.286
May,2017,Furniture,Chairs,9137.311
November,2017,Furniture,Chairs,14561.218
December,2017,Furniture,Chairs,14966.458
March,2014,Furniture,Furnishings,480.128
April,2014,Furniture,Furnishings,984.046
May,2014,Furniture,Furnishings,780.166
November,2014,Furniture,Furnishings,2483.762
December,2014,Furniture,Furnishings,2077.484
March,2015,Furniture,Furnishings,1435.958
April,2015,Furniture,Furnishings,2993.188
May,2015,Furniture,Furnishings,1532.194
November,2015,Furniture,Furnishings,3549.878
December,2015,Furniture,Furnishings,2530.602
March,2016,Furniture,Furnishings,2279.726
April,2016,Furniture,Furnishings,887.584
May,2016,Furniture,Furnishings,2844.208
November,2016,Furniture,Furnishings,4034.778
December,2016,Furniture,Furnishings,5548.522
March,2017,Furniture,Furnishings,963.234
April,2017,Furniture,Furnishings,2673.544
May,2017,Furniture,Furnishings,1736.86
November,2017,Furniture,Furnishings,6714.122
December,2017,Furniture,Furnishings,4061.668
March,2014,Furniture,Tables,6674.24
April,2014,Furniture,Tables,3441.626
May,2014,Furniture,Tables,1816.881
November,2014,Furniture,Tables,4534.843
December,2014,Furniture,Tables,8279.166
March,2015,Furniture,Tables,4353.17
April,2015,Furniture,Tables,2335.1795
May,2015,Furniture,Tables,244.006
November,2015,Furniture,Tables,6210.4515
December,2015,Furniture,Tables,7625.99
