Orders.Category	Orders.Country	Orders.Order Date.Variation.Date Hierarchy.Year	Orders.Order Date.Variation.Date Hierarchy.Month	Orders.Order Date.Variation.Date Hierarchy.Day	Sum(Orders.Profit)
Furniture	United States	2014	January	3	
Office Supplies	United States	2014	January	3	5.5512
Technology	United States	2014	January	3	
Furniture	United States	2014	January	4	
Office Supplies	United States	2014	January	4	-65.9901
Technology	United States	2014	January	4	
Furniture	United States	2014	January	5	
Office Supplies	United States	2014	January	5	4.884
Technology	United States	2014	January	5	
Furniture	United States	2014	January	6	746.4078
Office Supplies	United States	2014	January	6	293.8612
Technology	United States	2014	January	6	317.7834
Furniture	United States	2014	January	7	-53.7096
Office Supplies	United States	2014	January	7	-18.2525
Technology	United States	2014	January	7	
Furniture	United States	2014	January	9	
Office Supplies	United States	2014	January	9	1.168
Technology	United States	2014	January	9	9.75
Furniture	United States	2014	January	10	21.2954
Office Supplies	United States	2014	January	10	1.3583
Technology	United States	2014	January	10	
Furniture	United States	2014	January	11	3.0814
Office Supplies	United States	2014	January	11	
Technology	United States	2014	January	11	
Furniture	United States	2014	January	13	91.2798
Office Supplies	United States	2014	January	13	323.6628
Technology	United States	2014	January	13	258.696
Furniture	United States	2014	January	14	-53.2856
Office Supplies	United States	2014	January	14	
Technology	United States	2014	January	14	
Furniture	United States	2014	January	15	
Office Supplies	United States	2014	January	15	
Technology	United States	2014	January	15	65.978
Furniture	United States	2014	January	16	28.5984
Office Supplies	United States	2014	January	16	-3.4819
Technology	United States	2014	January	16	-31.05
Furniture	United States	2014	January	18	
Office Supplies	United States	2014	January	18	6.4864
Technology	United States	2014	January	18	
Furniture	United States	2014	January	19	-320.597
Office Supplies	United States	2014	January	19	32.5994
Technology	United States	2014	January	19	
Furniture	United States	2014	January	20	276.5217
Office Supplies	United States	2014	January	20	125.866
Technology	United States	2014	January	20	181.9818
Furniture	United States	2014	January	21	4.1028
Office Supplies	United States	2014	January	21	
Technology	United States	2014	January	21	
Furniture	United States	2014	January	23	
Office Supplies	United States	2014	January	23	19.2384
Technology	United States	2014	January	23	
Furniture	United States	2014	January	26	75.0018
Office Supplies	United States	2014	January	26	22.6908
Technology	United States	2014	January	26	52.6344
Furniture	United States	2014	January	27	-16.65
Office Supplies	United States	2014	January	27	26.3327
Technology	United States	2014	January	27	
Furniture	United States	2014	January	28	
Office Supplies	United States	2014	January	28	1.3257
Technology	United States	2014	January	28	
Furniture	United States	2014	January	30	
Office Supplies	United States	2014	January	30	11.6502
Technology	United States	2014	January	30	
Furniture	United States	2014	January	31	3.4196
Office Supplies	United States	2014	January	31	
Technology	United States	2014	January	31	
Furniture	United States	2014	February	1	
Office Supplies	United States	2014	February	1	
Technology	United States	2014	February	1	206.316
Furniture	United States	2014	February	2	
Office Supplies	United States	2014	February	2	-6.4195
Technology	United States	2014	February	2	13.572
Furniture	United States	2014	February	3	
Office Supplies	United States	2014	February	3	31.5614
Technology	United States	2014	February	3	
Furniture	United States	2014	February	4	
Office Supplies	United States	2014	February	4	51.1432
Technology	United States	2014	February	4	
Furniture	United States	2014	February	6	
Office Supplies	United States	2014	February	6	-7.5708
Technology	United States	2014	February	6	84.0541
Furniture	United States	2014	February	7	
Office Supplies	United States	2014	February	7	9.744
Technology	United States	2014	February	7	49.6048
Furniture	United States	2014	February	8	5.5328
Office Supplies	United States	2014	February	8	
Technology	United States	2014	February	8	
Furniture	United States	2014	February	11	143.8661
Office Supplies	United States	2014	February	11	46.5044
Technology	United States	2014	February	11	103.158
Furniture	United States	2014	February	12	-24.294
Office Supplies	United States	2014	February	12	
Technology	United States	2014	February	12	
Furniture	United States	2014	February	14	
Office Supplies	United States	2014	February	14	33.7872
Technology	United States	2014	February	14	86.3892
Furniture	United States	2014	February	15	
Office Supplies	United States	2014	February	15	7.209
Technology	United States	2014	February	15	
Furniture	United States	2014	February	16	
Office Supplies	United States	2014	February	16	-15.658
Technology	United States	2014	February	16	
Furniture	United States	2014	February	17	
Office Supplies	United States	2014	February	17	8.8088
Technology	United States	2014	February	17	
Furniture	United States	2014	February	18	-11.322
Office Supplies	United States	2014	February	18	-2.5248
Technology	United States	2014	February	18	
Furniture	United States	2014	February	20	6.9088
Office Supplies	United States	2014	February	20	6.2208
Technology	United States	2014	February	20	22.4316
