Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Sum(Orders.Sales),Sum(Orders.Profit),Orders.Category,Orders.Sub-Category,Orders.Segment
2014,Central,1110.6116,-120.65839999999996,Furniture,Bookcases,Consumer
2014,East,6759.801000000001,-395.4879000000005,Furniture,Bookcases,Consumer
2014,South,794.2760000000001,164.70860000000002,Furniture,Bookcases,Consumer
2014,West,1489.4415,-302.8688,Furniture,Bookcases,Consumer
2014,Central,209.95319999999998,26.750099999999996,Furniture,Bookcases,Corporate
2014,East,3485.738,-70.80500000000015,Furniture,Bookcases,Corporate
2014,South,,,Furniture,Bookcases,Corporate
2014,West,3325.9764999999998,278.5208999999999,Furniture,Bookcases,Corporate
2014,Central,513.4728,-39.73740000000003,Furniture,Bookcases,Home Office
2014,East,617.912,40.70739999999998,Furniture,Bookcases,Home Office
2014,South,,,Furniture,Bookcases,Home Office
2014,West,1729.495,72.69980000000004,Furniture,Bookcases,Home Office
2014,Central,11023.306000000002,577.9794999999997,Furniture,Chairs,Consumer
2014,East,14298.381000000001,1494.901,Furniture,Chairs,Consumer
2014,South,5961.312,729.7823999999999,Furniture,Chairs,Consumer
2014,West,12922.439999999999,686.3086999999995,Furniture,Chairs,Consumer
2014,Central,3891.2039999999997,-231.84699999999987,Furniture,Chairs,Corporate
2014,East,5396.138999999999,882.9467999999999,Furniture,Chairs,Corporate
2014,South,3397.228,543.5437999999998,Furniture,Chairs,Corporate
2014,West,5310.408,269.6639999999999,Furniture,Chairs,Corporate
2014,Central,5839.542,353.1291999999998,Furniture,Chairs,Home Office
2014,East,2313.748,341.5362,Furniture,Chairs,Home Office
2014,South,3713.7400000000002,1031.3877999999997,Furniture,Chairs,Home Office
2014,West,3174.1279999999997,275.7146,Furniture,Chairs,Home Office
2014,Central,2153.268,-144.59579999999997,Furniture,Furnishings,Consumer
2014,East,2305.5599999999995,350.49669999999986,Furniture,Furnishings,Consumer
2014,South,1413.06,113.88119999999992,Furniture,Furnishings,Consumer
2014,West,1906.32,501.1047,Furniture,Furnishings,Consumer
2014,Central,254.368,-111.01229999999998,Furniture,Furnishings,Corporate
2014,East,1025.22,294.2906,Furniture,Furnishings,Corporate
2014,South,1407.932,201.75579999999997,Furniture,Furnishings,Corporate
2014,West,1494.978,286.95660000000004,Furniture,Furnishings,Corporate
2014,Central,128.46,9.099000000000004,Furniture,Furnishings,Home Office
2014,East,426.53600000000006,99.59359999999998,Furniture,Furnishings,Home Office
2014,South,339.51,107.52959999999999,Furniture,Furnishings,Home Office
2014,West,971.0219999999999,263.7922,Furniture,Furnishings,Home Office
2014,Central,5836.129999999999,-1372.7273000000005,Furniture,Tables,Consumer
2014,East,3315.6059999999998,-835.1682000000003,Furniture,Tables,Consumer
2014,South,3902.5945,-67.27690000000024,Furniture,Tables,Consumer
2014,West,10868.865999999998,255.43759999999963,Furniture,Tables,Consumer
2014,Central,1318.6529999999998,-140.42969999999994,Furniture,Tables,Corporate
2014,East,6802.746000000001,-2523.3029,Furniture,Tables,Corporate
2014,South,3338.7700000000004,581.3595000000001,Furniture,Tables,Corporate
2014,West,4440.961,72.90879999999989,Furniture,Tables,Corporate
2014,Central,630.695,88.82600000000002,Furniture,Tables,Home Office
2014,East,485.35200000000003,-179.36640000000003,Furniture,Tables,Home Office
2014,South,2699.58,593.9076,Furniture,Tables,Home Office
2014,West,2448.4120000000003,401.78919999999977,Furniture,Tables,Home Office
2014,Central,1748.6660000000002,-789.0035000000001,Office Supplies,Appliances,Consumer
2014,East,2123.2319999999995,561.1186,Office Supplies,Appliances,Consumer
2014,South,765.924,102.89829999999998,Office Supplies,Appliances,Consumer
2014,West,2033.75,579.3983000000001,Office Supplies,Appliances,Consumer
2014,Central,239.75399999999996,-253.47140000000005,Office Supplies,Appliances,Corporate
2014,East,3353.906,769.6899999999999,Office Supplies,Appliances,Corporate
2014,South,1142.55,371.04339999999996,Office Supplies,Appliances,Corporate
2014,West,862.776,235.44519999999997,Office Supplies,Appliances,Corporate
2014,Central,1670.785,533.3024999999999,Office Supplies,Appliances,Home Office
2014,East,302.064,81.15359999999998,Office Supplies,Appliances,Home Office
2014,South,211.248,15.843599999999995,Office Supplies,Appliances,Home Office
2014,West,858.9699999999998,252.0812999999999,Office Supplies,Appliances,Home Office
2014,Central,490.61799999999994,111.90610000000001,Office Supplies,Art,Consumer
2014,East,608.2820000000003,155.13269999999994,Office Supplies,Art,Consumer
2014,South,339.004,83.193,Office Supplies,Art,Consumer
2014,West,1391.4940000000004,348.04239999999993,Office Supplies,Art,Consumer
2014,Central,210.576,61.77939999999998,Office Supplies,Art,Corporate
2014,East,279.802,68.82619999999999,Office Supplies,Art,Corporate
2014,South,159.47999999999996,43.417799999999986,Office Supplies,Art,Corporate
2014,West,1780.484,342.86879999999996,Office Supplies,Art,Corporate
2014,Central,120.75999999999999,14.156500000000001,Office Supplies,Art,Home Office
2014,East,402.11799999999994,108.95429999999996,Office Supplies,Art,Home Office
2014,South,67.648,7.142499999999995,Office Supplies,Art,Home Office
2014,West,207.716,61.383399999999995,Office Supplies,Art,Home Office
2014,Central,14713.503999999997,-914.2178000000044,Office Supplies,Binders,Consumer
2014,East,3894.951000000001,936.7102999999997,Office Supplies,Binders,Consumer
2014,South,2743.139999999999,522.6309,Office Supplies,Binders,Consumer
2014,West,8801.639000000001,1775.5900000000006,Office Supplies,Binders,Consumer
2014,Central,471.448,-415.92180000000013,Office Supplies,Binders,Corporate
2014,East,1420.894,-178.14229999999986,Office Supplies,Binders,Corporate
2014,South,4450.604000000001,1928.3879,Office Supplies,Binders,Corporate
2014,West,3469.9750000000013,514.7916999999999,Office Supplies,Binders,Corporate
2014,Central,685.9859999999999,-45.79620000000011,Office Supplies,Binders,Home Office
2014,East,1030.7820000000002,402.4006,Office Supplies,Binders,Home Office
2014,South,1113.702,-30.917099999999962,Office Supplies,Binders,Home Office
2014,West,691.64,244.19979999999998,Office Supplies,Binders,Home Office
2014,Central,837.2560000000001,285.5756999999999,Office Supplies,Envelopes,Consumer
2014,East,589.874,221.85469999999998,Office Supplies,Envelopes,Consumer
2014,South,125.56400000000001,45.9222,Office Supplies,Envelopes,Consumer
2014,West,618.3799999999999,274.9298,Office Supplies,Envelopes,Consumer
2014,Central,290.47600000000006,109.30069999999999,Office Supplies,Envelopes,Corporate
2014,East,746.3879999999999,297.316,Office Supplies,Envelopes,Corporate
2014,South,89.89,44.101099999999995,Office Supplies,Envelopes,Corporate
2014,West,23.928,10.208400000000001,Office Supplies,Envelopes,Corporate
2014,Central,470.95400000000006,175.97179999999997,Office Supplies,Envelopes,Home Office
2014,East,11.36,5.339199999999999,Office Supplies,Envelopes,Home Office
2014,South,36.4,17.472,Office Supplies,Envelopes,Home Office
2014,West,15.28,7.4872,Office Supplies,Envelopes,Home Office
2014,Central,65.724,-0.001800000000001134,Office Supplies,Fasteners,Consumer
2014,East,54.32000000000001,17.551199999999994,Office Supplies,Fasteners,Consumer
