Acme - Accounts Master.Level 0 Description,Acme - Accounts Master.Level 1 Description,Acme - Accounts Master.Level 2 Description,Acme - Accounts Master.Level 3 Description,Acme - Accounts Master.Level 4 Description,Acme - Values.2019 Plan,Acme - Values.2019 Actuals
Operating Profit,Gross Profit,Cost of Goods Sold,Raw Materials,(Blank),-2111003440.730001,-2125095496.499999
Operating Profit,Gross Profit,Cost of Goods Sold,Labor,(Blank),-1221939644.0199993,-1216317664.6000013
Operating Profit,Gross Profit,Cost of Goods Sold,Purchase Price Variance,(Blank),-481824.15000000066,-360429.4199999999
Operating Profit,Gross Profit,Cost of Goods Sold,Other Direct Costs,(Blank),-2793058.3200000008,-3065579.959999997
Operating Profit,Gross Profit,Cost of Goods Sold,Freight,(Blank),-5684679.259999996,-5722095.249999999
Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Gross Sales,6883064056.409989,6916368833.96
Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Retail Returns,-46209669.96000004,-43894688.03000006
Operating Profit,Gross Profit,Net Revenue,Discounts,Pricing Adjustments,-319571490.64000005,-332496291.30999994
Operating Profit,Gross Profit,Net Revenue,Discounts,Sale Allowances,-79721020.97000006,-81980879.92999998
Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Discounts,-123485014.53999999,-121755946.75999995
Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Markdown,-37365013.939999975,-38029762.18999998
Operating Profit,Operating Expenses,IT Expenses,(Blank),(Blank),-157682435.9200001,-153336773.73
Operating Profit,Operating Expenses,Other Expenses,(Blank),(Blank),-205325678.36999995,-204346552.35999984
Operating Profit,Operating Expenses,Personnel Costs,Salaries,(Blank),-415227075.88999987,-422415907.33
Operating Profit,Operating Expenses,Personnel Costs,Wages,(Blank),-250555252.52999997,-252031378.03000003
Operating Profit,Operating Expenses,Personnel Costs,Bonus,(Blank),-72742124.69000003,-73733825.97999997
Operating Profit,Operating Expenses,Personnel Costs,Benefits,(Blank),-28203503.580000013,-29188916.819999967
Operating Profit,Operating Expenses,Personnel Costs,Training,(Blank),-51450089.80000002,-49893850.57999997
Operating Profit,Operating Expenses,Personnel Costs,Recruiting,(Blank),-43086477.510000005,-41566360.48000001
Operating Profit,Operating Expenses,Personnel Costs,Equipment,(Blank),-31902586.74999999,-30968930.160000015
Operating Profit,Operating Expenses,Personnel Costs,Computer,(Blank),-23171497.69000003,-23247031.010000013
Operating Profit,Operating Expenses,Personnel Costs,Tuition,(Blank),-16916600.270000003,-17208756.039999988
Operating Profit,Operating Expenses,Sales and Marketing,Marketing Expenses,(Blank),-309500029.2500001,-312499063.65999997
Operating Profit,Operating Expenses,Sales and Marketing,Sales Expenses,(Blank),-271171041.85000014,-270574810.54999995
