Category,Sub-Category,Value Column Name,Value
"Technology","Copiers","Quantity","234"
"Technology","Copiers","PL","2786"
"Technology","Copiers","FC","1535"
"Technology","Copiers","Profit","55617.8249"
"Technology","Copiers","Profit - Quantity","55383.8249"
"Technology","Copiers","(Profit - Quantity)%","236.6830123931624"
"Technology","Copiers","Profit - PL","52831.8249"
"Technology","Copiers","(Profit - PL)%","18.96332552045944"
"Technology","Copiers","Profit - FC","54082.8249"
"Technology","Copiers","(Profit - FC)%","35.23311068403909"
"Technology","Copiers","PL - Quantity","2552"
"Technology","Copiers","(PL - Quantity)%","10.905982905982905"
"Technology","Copiers","FC - Quantity","1301"
"Technology","Copiers","(FC - Quantity)%","5.55982905982906"
"Technology","Copiers","FC - PL","-1251"
"Technology","Copiers","(FC - PL)%","-0.44903086862885855"
"Technology","Phones","Quantity","3289"
"Technology","Phones","PL","2786"
"Technology","Phones","FC","1535"
"Technology","Phones","Profit","44515.7306"
"Technology","Phones","Profit - Quantity","41226.7306"
"Technology","Phones","(Profit - Quantity)%","12.53473110367893"
"Technology","Phones","Profit - PL","41729.7306"
"Technology","Phones","(Profit - PL)%","14.978367049533382"
"Technology","Phones","Profit - FC","42980.7306"
"Technology","Phones","(Profit - FC)%","28.000475960912055"
"Technology","Phones","PL - Quantity","-503"
"Technology","Phones","(PL - Quantity)%","-0.1529340224992399"
"Technology","Phones","FC - Quantity","-1754"
"Technology","Phones","(FC - Quantity)%","-0.5332927941623594"
"Technology","Phones","FC - PL","-1251"
"Technology","Phones","(FC - PL)%","-0.44903086862885855"
"Technology","Accessories","Quantity","2976"
"Technology","Accessories","PL","2786"
"Technology","Accessories","FC","1535"
"Technology","Accessories","Profit","41936.6357"
"Technology","Accessories","Profit - Quantity","38960.6357"
"Technology","Accessories","(Profit - Quantity)%","13.091611458333333"
"Technology","Accessories","Profit - PL","39150.6357"
"Technology","Accessories","(Profit - PL)%","14.052633058147881"
"Technology","Accessories","Profit - FC","40401.6357"
"Technology","Accessories","(Profit - FC)%","26.32028384364821"
"Technology","Accessories","PL - Quantity","-190"
"Technology","Accessories","(PL - Quantity)%","-0.06384408602150538"
"Technology","Accessories","FC - Quantity","-1441"
"Technology","Accessories","(FC - Quantity)%","-0.4842069892473118"
"Technology","Accessories","FC - PL","-1251"
"Technology","Accessories","(FC - PL)%","-0.44903086862885855"
"Technology","Machines","Quantity","440"
"Technology","Machines","PL","2786"
"Technology","Machines","FC","1535"
"Technology","Machines","Profit","3384.7569"
"Technology","Machines","Profit - Quantity","2944.7569"
"Technology","Machines","(Profit - Quantity)%","6.692629318181818"
"Technology","Machines","Profit - PL","598.7568999999999"
"Technology","Machines","(Profit - PL)%","0.21491633165829144"
"Technology","Machines","Profit - FC","1849.7568999999999"
"Technology","Machines","(Profit - FC)%","1.2050533550488598"
"Technology","Machines","PL - Quantity","2346"
"Technology","Machines","(PL - Quantity)%","5.331818181818182"
"Technology","Machines","FC - Quantity","1095"
"Technology","Machines","(FC - Quantity)%","2.4886363636363638"
"Technology","Machines","FC - PL","-1251"
"Technology","Machines","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Paper","Quantity","5178"
"Office Supplies","Paper","PL","2786"
"Office Supplies","Paper","FC","1535"
"Office Supplies","Paper","Profit","34053.5693"
"Office Supplies","Paper","Profit - Quantity","28875.569300000003"
"Office Supplies","Paper","(Profit - Quantity)%","5.576587350328313"
"Office Supplies","Paper","Profit - PL","31267.569300000003"
"Office Supplies","Paper","(Profit - PL)%","11.22310455850682"
"Office Supplies","Paper","Profit - FC","32518.569300000003"
"Office Supplies","Paper","(Profit - FC)%","21.184735700325735"
"Office Supplies","Paper","PL - Quantity","-2392"
"Office Supplies","Paper","(PL - Quantity)%","-0.46195442255697183"
"Office Supplies","Paper","FC - Quantity","-3643"
"Office Supplies","Paper","(FC - Quantity)%","-0.7035534955581305"
"Office Supplies","Paper","FC - PL","-1251"
"Office Supplies","Paper","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Binders","Quantity","5974"
"Office Supplies","Binders","PL","2786"
"Office Supplies","Binders","FC","1535"
"Office Supplies","Binders","Profit","30221.7633"
"Office Supplies","Binders","Profit - Quantity","24247.7633"
"Office Supplies","Binders","(Profit - Quantity)%","4.058882373619015"
"Office Supplies","Binders","Profit - PL","27435.7633"
"Office Supplies","Binders","(Profit - PL)%","9.84772552045944"
"Office Supplies","Binders","Profit - FC","28686.7633"
"Office Supplies","Binders","(Profit - FC)%","18.688445146579802"
"Office Supplies","Binders","PL - Quantity","-3188"
"Office Supplies","Binders","(PL - Quantity)%","-0.5336457984599933"
"Office Supplies","Binders","FC - Quantity","-4439"
"Office Supplies","Binders","(FC - Quantity)%","-0.7430532306662204"
"Office Supplies","Binders","FC - PL","-1251"
"Office Supplies","Binders","(FC - PL)%","-0.44903086862885855"
"Office Supplies","Storage","Quantity","3158"
"Office Supplies","Storage","PL","2786"
"Office Supplies","Storage","FC","1535"
"Office Supplies","Storage","Profit","21278.8264"
"Office Supplies","Storage","Profit - Quantity","18120.8264"
"Office Supplies","Storage","(Profit - Quantity)%","5.738070424319189"
"Office Supplies","Storage","Profit - PL","18492.8264"
"Office Supplies","Storage","(Profit - PL)%","6.6377697056712135"
"Office Supplies","Storage","Profit - FC","19743.8264"
"Office Supplies","Storage","(Profit - FC)%","12.862427622149838"
"Office Supplies","Storage","PL - Quantity","-372"
"Office Supplies","Storage","(PL - Quantity)%","-0.11779607346421786"
"Office Supplies","Storage","FC - Quantity","-1623"
