15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.Vendor Name,Sum(15000.Pack)
2012,Qtr 1,Shaw Ross International Importers LL,
2013,Qtr 1,Shaw Ross International Importers LL,
2014,Qtr 1,Shaw Ross International Importers LL,6
2015,Qtr 1,Shaw Ross International Importers LL,
2012,Qtr 1,Sidney Frank Importing Co.,95
2013,Qtr 1,Sidney Frank Importing Co.,156
2014,Qtr 1,Sidney Frank Importing Co.,65
2015,Qtr 1,Sidney Frank Importing Co.,107
2012,Qtr 1,Stoli Group,36
2013,Qtr 1,Stoli Group,36
2014,Qtr 1,Stoli Group,24
2015,Qtr 1,Stoli Group,36
2012,Qtr 1,The Patron Spirits Company,72
2013,Qtr 1,The Patron Spirits Company,92
2014,Qtr 1,The Patron Spirits Company,64
2015,Qtr 1,The Patron Spirits Company,84
2012,Qtr 1,Trinchero Family Estates,
2013,Qtr 1,Trinchero Family Estates,
2014,Qtr 1,Trinchero Family Estates,
2015,Qtr 1,Trinchero Family Estates,6
2012,Qtr 1,"W. J. Deutsch And Sons, Ltd.",
2013,Qtr 1,"W. J. Deutsch And Sons, Ltd.",12
2014,Qtr 1,"W. J. Deutsch And Sons, Ltd.",
2015,Qtr 1,"W. J. Deutsch And Sons, Ltd.",
2012,Qtr 1,"Werner Distilling, LLC",
2013,Qtr 1,"Werner Distilling, LLC",
2014,Qtr 1,"Werner Distilling, LLC",
2015,Qtr 1,"Werner Distilling, LLC",12
2012,Qtr 1,Western Spirits Beverage Co. LLC,
2013,Qtr 1,Western Spirits Beverage Co. LLC,6
2014,Qtr 1,Western Spirits Beverage Co. LLC,6
2015,Qtr 1,Western Spirits Beverage Co. LLC,18
2012,Qtr 1,"WILLIAM GRANT AND SONS, INC.",96
2013,Qtr 1,"WILLIAM GRANT AND SONS, INC.",84
2014,Qtr 1,"WILLIAM GRANT AND SONS, INC.",60
2015,Qtr 1,"WILLIAM GRANT AND SONS, INC.",78
2012,Qtr 1,Wilson Daniels Ltd.,48
2013,Qtr 1,Wilson Daniels Ltd.,42
2014,Qtr 1,Wilson Daniels Ltd.,36
2015,Qtr 1,Wilson Daniels Ltd.,48
