Table5.Year,Table5.Region,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC),Table5.City,Table5.Country
2017,Americas,,,,,Brisbane,Australia
2017,Asia-Pacific,266000,204000,275000,231000,Brisbane,Australia
2017,Europe,,,,,Brisbane,Australia
2018,Americas,,,,,Brisbane,Australia
2018,Asia-Pacific,46000,71000,131000,149000,Brisbane,Australia
2018,Europe,,,,,Brisbane,Australia
2019,Americas,,,,,Brisbane,Australia
2019,Asia-Pacific,70000,97000,70000,38000,Brisbane,Australia
2019,Europe,,,,,Brisbane,Australia
2017,Americas,42000,113000,117000,110000,Vancouver,Canada
2017,Asia-Pacific,,,,,Vancouver,Canada
2017,Europe,,,,,Vancouver,Canada
2018,Americas,102000,87000,79000,134000,Vancouver,Canada
2018,Asia-Pacific,,,,,Vancouver,Canada
2018,Europe,,,,,Vancouver,Canada
2019,Americas,111000,83000,119000,150000,Vancouver,Canada
2019,Asia-Pacific,,,,,Vancouver,Canada
2019,Europe,,,,,Vancouver,Canada
2017,Americas,90000,92000,144000,131000,California,USA
2017,Asia-Pacific,,,,,California,USA
2017,Europe,,,,,California,USA
2018,Americas,81000,60000,85000,131000,California,USA
2018,Asia-Pacific,,,,,California,USA
2018,Europe,,,,,California,USA
2019,Americas,139000,66000,139000,113000,California,USA
2019,Asia-Pacific,,,,,California,USA
2019,Europe,,,,,California,USA
2017,Americas,104000,146000,87000,138000,Rio,Brazil
2017,Asia-Pacific,,,,,Rio,Brazil
2017,Europe,,,,,Rio,Brazil
2018,Americas,78000,70000,36000,105000,Rio,Brazil
2018,Asia-Pacific,,,,,Rio,Brazil
2018,Europe,,,,,Rio,Brazil
2019,Americas,131000,119000,70000,99000,Rio,Brazil
2019,Asia-Pacific,,,,,Rio,Brazil
2019,Europe,,,,,Rio,Brazil
2017,Americas,72000,134000,130000,56000,Manaus,Brazil
2017,Asia-Pacific,,,,,Manaus,Brazil
2017,Europe,,,,,Manaus,Brazil
2018,Americas,-122000,139000,81000,129000,Manaus,Brazil
2018,Asia-Pacific,,,,,Manaus,Brazil
2018,Europe,,,,,Manaus,Brazil
2019,Americas,55000,144000,71000,147000,Manaus,Brazil
2019,Asia-Pacific,,,,,Manaus,Brazil
2019,Europe,,,,,Manaus,Brazil
2017,Americas,,,,,Flanders,Belgium
2017,Asia-Pacific,,,,,Flanders,Belgium
2017,Europe,118000,77000,150000,88000,Flanders,Belgium
2018,Americas,,,,,Flanders,Belgium
2018,Asia-Pacific,,,,,Flanders,Belgium
2018,Europe,95000,141000,135000,134000,Flanders,Belgium
2019,Americas,,,,,Flanders,Belgium
2019,Asia-Pacific,,,,,Flanders,Belgium
2019,Europe,128000,78000,51000,108000,Flanders,Belgium
2017,Americas,,,,,Shangai,China
2017,Asia-Pacific,108000,129000,80000,134000,Shangai,China
2017,Europe,,,,,Shangai,China
2018,Americas,,,,,Shangai,China
2018,Asia-Pacific,109000,63000,126000,124000,Shangai,China
2018,Europe,,,,,Shangai,China
2019,Americas,,,,,Shangai,China
2019,Asia-Pacific,96000,113000,63000,68000,Shangai,China
2019,Europe,,,,,Shangai,China
2017,Americas,,,,,Warsaw,Poland
2017,Asia-Pacific,,,,,Warsaw,Poland
2017,Europe,0,90000,145000,103000,Warsaw,Poland
2018,Americas,,,,,Warsaw,Poland
2018,Asia-Pacific,,,,,Warsaw,Poland
2018,Europe,103000,55000,141000,99000,Warsaw,Poland
2019,Americas,,,,,Warsaw,Poland
2019,Asia-Pacific,,,,,Warsaw,Poland
2019,Europe,144000,67000,118000,118000,Warsaw,Poland
2017,Americas,92000,114000,136000,116000,New York,USA
2017,Asia-Pacific,,,,,New York,USA
2017,Europe,,,,,New York,USA
2018,Americas,119000,,82000,99000,New York,USA
2018,Asia-Pacific,,,,,New York,USA
2018,Europe,,,,,New York,USA
2019,Americas,96000,69000,127000,91000,New York,USA
2019,Asia-Pacific,,,,,New York,USA
2019,Europe,,,,,New York,USA
2017,Americas,,,,,Tokyo,Japan
2017,Asia-Pacific,112000,69000,150000,119000,Tokyo,Japan
2017,Europe,,,,,Tokyo,Japan
2018,Americas,,,,,Tokyo,Japan
2018,Asia-Pacific,59000,116000,145000,89000,Tokyo,Japan
2018,Europe,,,,,Tokyo,Japan
2019,Americas,,,,,Tokyo,Japan
2019,Asia-Pacific,139000,94000,93000,91000,Tokyo,Japan
2019,Europe,,,,,Tokyo,Japan
2017,Americas,111000,38000,79000,97000,Chicago,Other
2017,Asia-Pacific,,,,,Chicago,Other
2017,Europe,,,,,Chicago,Other
2018,Americas,93000,,147000,67000,Chicago,Other
2018,Asia-Pacific,,,,,Chicago,Other
2018,Europe,,,,,Chicago,Other
2019,Americas,85000,37000,113000,125000,Chicago,Other
2019,Asia-Pacific,,,,,Chicago,Other
2019,Europe,,,,,Chicago,Other
2017,Americas,,,,,Frankfurt,Germany
2017,Asia-Pacific,,,,,Frankfurt,Germany
2017,Europe,0,133000,121000,107000,Frankfurt,Germany
2018,Americas,,,,,Frankfurt,Germany
2018,Asia-Pacific,,,,,Frankfurt,Germany
2018,Europe,100000,126000,39000,91000,Frankfurt,Germany
2019,Americas,,,,,Frankfurt,Germany
2019,Asia-Pacific,,,,,Frankfurt,Germany
2019,Europe,142000,139000,53000,91000,Frankfurt,Germany
2017,Americas,111000,144000,124000,112000,Texas,USA
2017,Asia-Pacific,,,,,Texas,USA
2017,Europe,,,,,Texas,USA
2018,Americas,141000,73000,75000,45000,Texas,USA
2018,Asia-Pacific,,,,,Texas,USA
2018,Europe,,,,,Texas,USA
2019,Americas,51000,124000,126000,117000,Texas,USA
2019,Asia-Pacific,,,,,Texas,USA
2019,Europe,,,,,Texas,USA
2017,Americas,,,,,Finland,Other
2017,Asia-Pacific,,,,,Finland,Other
2017,Europe,77000,64000,77000,142000,Finland,Other
2018,Americas,,,,,Finland,Other
2018,Asia-Pacific,,,,,Finland,Other
2018,Europe,0,131000,129000,41000,Finland,Other
2019,Americas,,,,,Finland,Other
2019,Asia-Pacific,,,,,Finland,Other
2019,Europe,50000,45000,102000,83000,Finland,Other
2017,Americas,,,,,Stockholm,Sweden
2017,Asia-Pacific,,,,,Stockholm,Sweden
2017,Europe,84000,130000,45000,115000,Stockholm,Sweden
2018,Americas,,,,,Stockholm,Sweden
2018,Asia-Pacific,,,,,Stockholm,Sweden
2018,Europe,131000,111000,126000,,Stockholm,Sweden
2019,Americas,,,,,Stockholm,Sweden
2019,Asia-Pacific,,,,,Stockholm,Sweden
2019,Europe,117000,55000,42000,139000,Stockholm,Sweden
2017,Americas,,,,,Hiroshima,Japan
2017,Asia-Pacific,117000,78000,39000,40000,Hiroshima,Japan
2017,Europe,,,,,Hiroshima,Japan
2018,Americas,,,,,Hiroshima,Japan
2018,Asia-Pacific,62000,87000,121000,92000,Hiroshima,Japan
2018,Europe,,,,,Hiroshima,Japan
2019,Americas,,,,,Hiroshima,Japan
2019,Asia-Pacific,67000,92000,82000,102000,Hiroshima,Japan
2019,Europe,,,,,Hiroshima,Japan
2017,Americas,,,,,Sydney,Australia
2017,Asia-Pacific,54000,66000,58000,62000,Sydney,Australia
2017,Europe,,,,,Sydney,Australia
2018,Americas,,,,,Sydney,Australia
2018,Asia-Pacific,38000,109000,101000,117000,Sydney,Australia
2018,Europe,,,,,Sydney,Australia
2019,Americas,,,,,Sydney,Australia
2019,Asia-Pacific,147000,42000,106000,42000,Sydney,Australia
2019,Europe,,,,,Sydney,Australia
