Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Country,Orders.Region,Sum(Orders.Profit),Sum(Orders.Sales)
2014,Furniture,Bookcases,United States,Central,-133.64569999999998,1834.0375999999997
2015,Furniture,Bookcases,United States,Central,-885.1924000000004,8297.722
2016,Furniture,Bookcases,United States,Central,-468.0408,8384.939999999999
2017,Furniture,Bookcases,United States,Central,-511.0254000000002,5640.4772
2014,Furniture,Bookcases,United States,East,-425.58550000000065,10863.451000000001
2015,Furniture,Bookcases,United States,East,-987.4247000000008,19653.440000000002
2016,Furniture,Bookcases,United States,East,-198.08580000000018,5964.221000000001
2017,Furniture,Bookcases,United States,East,443.4641999999997,7338.222
2014,Furniture,Bookcases,United States,South,164.70860000000002,794.2760000000001
2015,Furniture,Bookcases,United States,South,107.61759999999998,1238.5960000000002
2016,Furniture,Bookcases,United States,South,552.7233999999999,3709.224
2017,Furniture,Bookcases,United States,South,514.4422000000001,5157.266
2014,Furniture,Bookcases,United States,West,48.351899999999915,6544.9130000000005
2015,Furniture,Bookcases,United States,West,-990.2307000000004,9353.8145
2016,Furniture,Bookcases,United States,West,325.8741999999997,8217.0815
2017,Furniture,Bookcases,United States,West,-1030.5071000000003,11888.314499999997
2014,Furniture,Chairs,United States,Central,699.2616999999998,20754.052
2015,Furniture,Chairs,United States,Central,1676.9477999999992,17908.505
2016,Furniture,Chairs,United States,Central,1504.2379999999998,23349.623999999996
2017,Furniture,Chairs,United States,Central,2712.274599999999,23218.465000000004
2014,Furniture,Chairs,United States,East,2719.3840000000014,22008.267999999993
2015,Furniture,Chairs,United States,East,2478.8016,20009.271999999997
2016,Furniture,Chairs,United States,East,1782.8010999999997,23010.482999999993
2017,Furniture,Chairs,United States,East,2376.783899999999,31232.659999999996
2014,Furniture,Chairs,United States,South,2304.7139999999995,13072.28
2015,Furniture,Chairs,United States,South,1100.2275999999997,10116.736
2016,Furniture,Chairs,United States,South,1276.07,6331.122
2017,Furniture,Chairs,United States,South,1931.0776999999998,15656.308
2014,Furniture,Chairs,United States,West,1231.6872999999996,21406.97599999999
2015,Furniture,Chairs,United States,West,972.4390999999996,23700.016000000003
2016,Furniture,Chairs,United States,West,1200.0447999999983,31227.415999999987
2017,Furniture,Chairs,United States,West,623.4130999999986,25446.919999999984
2014,Furniture,Furnishings,United States,Central,-246.5090999999999,2536.096
2015,Furniture,Furnishings,United States,Central,-757.6987999999999,2528.5600000000013
2016,Furniture,Furnishings,United States,Central,-1582.3255000000001,5115.692000000001
2017,Furniture,Furnishings,United States,Central,-1319.6834,5074.022000000001
2014,Furniture,Furnishings,United States,East,744.3808999999995,3757.3160000000003
2015,Furniture,Furnishings,United States,East,737.0739999999997,5269.913999999999
2016,Furniture,Furnishings,United States,East,2135.1757,9587.140000000001
2017,Furniture,Furnishings,United States,East,2264.7764999999995,10457.01
2014,Furniture,Furnishings,United States,South,423.1665999999998,3160.502000000001
2015,Furniture,Furnishings,United States,South,1172.1376999999998,5377.807999999999
2016,Furniture,Furnishings,United States,South,1278.3998999999994,5382.784000000001
2017,Furniture,Furnishings,United States,South,568.9786999999999,3385.590000000001
2014,Furniture,Furnishings,United States,West,1051.8535000000002,4372.319999999999
2015,Furniture,Furnishings,United States,West,1900.3060000000003,7913.43
2016,Furniture,Furnishings,United States,West,2104.0199,7788.5080000000025
2017,Furniture,Furnishings,United States,West,2585.0909999999994,9998.471999999998
2014,Furniture,Tables,United States,Central,-1424.3310000000004,7785.477999999999
2015,Furniture,Tables,United States,Central,-265.09390000000053,6857.26
2016,Furniture,Tables,United States,Central,292.6210999999996,13922.926
2017,Furniture,Tables,United States,Central,-2162.8466000000008,10589.307000000003
2014,Furniture,Tables,United States,East,-3537.8375000000005,10603.704
2015,Furniture,Tables,United States,East,-2275.8641000000007,8884.806
2016,Furniture,Tables,United States,East,-2306.7783,7825.328
2017,Furniture,Tables,United States,East,-2904.9002,11825.968999999997
2014,Furniture,Tables,United States,South,1107.9901999999997,9940.9445
2015,Furniture,Tables,United States,South,-2171.3765000000003,7370.6745
2016,Furniture,Tables,United States,South,39.22299999999967,12498.3115
2017,Furniture,Tables,United States,South,-3598.8946,14106.261499999999
2014,Furniture,Tables,United States,West,730.1355999999994,17758.239000000005
2015,Furniture,Tables,United States,West,1202.5326,16037.683
2016,Furniture,Tables,United States,West,-976.0075999999999,26586.635000000006
2017,Furniture,Tables,United States,West,525.9466999999997,24372.004999999994
2014,Office Supplies,Appliances,United States,Central,-509.17240000000027,3659.204999999999
2015,Office Supplies,Appliances,United States,Central,-2194.756100000001,4974.508999999999
2016,Office Supplies,Appliances,United States,Central,378.69469999999967,6015.011000000001
2017,Office Supplies,Appliances,United States,Central,-313.3837000000003,8933.308
2014,Office Supplies,Appliances,United States,East,1411.9621999999997,5779.202
2015,Office Supplies,Appliances,United States,East,1850.6004999999998,6691.2519999999995
2016,Office Supplies,Appliances,United States,East,2302.6057999999994,9426.582000000002
2017,Office Supplies,Appliances,United States,East,2826.2448999999992,12291.429999999998
2014,Office Supplies,Appliances,United States,South,489.78529999999995,2119.7219999999998
2015,Office Supplies,Appliances,United States,South,962.6974000000001,3850.3399999999992
2016,Office Supplies,Appliances,United States,South,1159.3742999999997,5607.47
2017,Office Supplies,Appliances,United States,South,1512.0825999999995,7947.794
2014,Office Supplies,Appliances,United States,West,1066.9247999999998,3755.495999999999
2015,Office Supplies,Appliances,United States,West,1893.353899999999,7725.188
2016,Office Supplies,Appliances,United States,West,1460.6666999999998,5001.252000000002
2017,Office Supplies,Appliances,United States,West,3840.3244999999997,13754.399999999996
2014,Office Supplies,Art,United States,Central,187.84199999999996,821.9540000000002
2015,Office Supplies,Art,United States,Central,248.07010000000005,1132.16
2016,Office Supplies,Art,United States,Central,261.41529999999995,1519.9500000000003
2017,Office Supplies,Art,United States,Central,497.83169999999996,2291.276
2014,Office Supplies,Art,United States,East,332.91319999999996,1290.202
2015,Office Supplies,Art,United States,East,400.3931,1707.3659999999995
2016,Office Supplies,Art,United States,East,476.9198000000001,1882.5659999999996
2017,Office Supplies,Art,United States,East,689.7181999999999,2605.63
2014,Office Supplies,Art,United States,South,133.75329999999994,566.1320000000001
2015,Office Supplies,Art,United States,South,293.35029999999995,1362.318
2016,Office Supplies,Art,United States,South,352.6363999999999,1438.2699999999995
2017,Office Supplies,Art,United States,South,278.8466000000001,1288.9019999999998
2014,Office Supplies,Art,United States,West,752.2946,3379.694
2015,Office Supplies,Art,United States,West,543.2447000000002,2034.9899999999998
2016,Office Supplies,Art,United States,West,322.99109999999985,1120.1220000000003
2017,Office Supplies,Art,United States,West,755.5665999999999,2677.259999999999
2014,Office Supplies,Binders,United States,Central,-1375.9358000000036,15870.937999999996
2015,Office Supplies,Binders,United States,Central,1370.1047999999987,5890.588000000001
2016,Office Supplies,Binders,United States,Central,2919.336599999998,14056.379999999996
2017,Office Supplies,Binders,United States,Central,-3957.1425000000045,21105.375999999997
2014,Office Supplies,Binders,United States,East,1160.9685999999997,6346.627000000002
2015,Office Supplies,Binders,United States,East,4743.476800000001,14206.681
2016,Office Supplies,Binders,United States,East,2802.6458,18955.548
2017,Office Supplies,Binders,United States,East,2560.8434,13989.141
2014,Office Supplies,Binders,United States,South,2420.1017,8307.446
2015,Office Supplies,Binders,United States,South,456.5632999999991,13467.317
2016,Office Supplies,Binders,United States,South,618.0254000000002,4112.216000000002
2017,Office Supplies,Binders,United States,South,405.97360000000197,11143.362000000003
2014,Office Supplies,Binders,United States,West,2534.581499999999,12963.254000000004
2015,Office Supplies,Binders,United States,West,1026.5265,3888.5119999999993
2016,Office Supplies,Binders,United States,West,3875.6263,12559.181
2017,Office Supplies,Binders,United States,West,8660.0673,26550.165999999994
2014,Office Supplies,Envelopes,United States,Central,570.8482,1598.6860000000001
2015,Office Supplies,Envelopes,United States,Central,346.95279999999997,870.8579999999998
2016,Office Supplies,Envelopes,United States,Central,371.9226999999999,970.7959999999999
2017,Office Supplies,Envelopes,United States,Central,487.80459999999994,1196.5320000000002
2014,Office Supplies,Envelopes,United States,East,524.5098999999999,1347.622
2015,Office Supplies,Envelopes,United States,East,363.84529999999995,876.8399999999999
2016,Office Supplies,Envelopes,United States,East,556.6349999999999,1304.7500000000002
2017,Office Supplies,Envelopes,United States,East,367.4188,846.6619999999999
2014,Office Supplies,Envelopes,United States,South,107.49529999999999,251.85399999999998
2015,Office Supplies,Envelopes,United States,South,622.2321,1409.0539999999996
2016,Office Supplies,Envelopes,United States,South,399.8763999999999,895.7420000000001
2017,Office Supplies,Envelopes,United States,South,335.8732,788.906
2014,Office Supplies,Envelopes,United States,West,292.6254,657.588
2015,Office Supplies,Envelopes,United States,West,627.1603999999999,1355.4360000000001
