Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Sum(Orders.Quantity),Sum(Orders.Sales)
2014,Furniture,Bookcases,Central,23,1834.0375999999997
2015,Furniture,Bookcases,Central,58,8297.722
2016,Furniture,Bookcases,Central,58,8384.939999999999
2017,Furniture,Bookcases,Central,53,5640.4772
2014,Furniture,Bookcases,East,60,10863.451000000001
2015,Furniture,Bookcases,East,81,19653.440000000002
2016,Furniture,Bookcases,East,59,5964.221000000001
2017,Furniture,Bookcases,East,52,7338.222
2014,Furniture,Bookcases,South,13,794.2760000000001
2015,Furniture,Bookcases,South,21,1238.5960000000002
2016,Furniture,Bookcases,South,32,3709.224
2017,Furniture,Bookcases,South,52,5157.266
2014,Furniture,Bookcases,West,57,6544.9130000000005
2015,Furniture,Bookcases,West,82,9353.8145
2016,Furniture,Bookcases,West,48,8217.0815
2017,Furniture,Bookcases,West,119,11888.314499999997
2014,Furniture,Chairs,Central,136,20754.052
2015,Furniture,Chairs,Central,145,17908.505
2016,Furniture,Chairs,Central,166,23349.623999999996
2017,Furniture,Chairs,Central,168,23218.465000000004
2014,Furniture,Chairs,East,144,22008.267999999993
2015,Furniture,Chairs,East,156,20009.271999999997
2016,Furniture,Chairs,East,175,23010.482999999993
2017,Furniture,Chairs,East,201,31232.659999999996
2014,Furniture,Chairs,South,102,13072.28
2015,Furniture,Chairs,South,78,10116.736
2016,Furniture,Chairs,South,52,6331.122
2017,Furniture,Chairs,South,99,15656.308
2014,Furniture,Chairs,West,158,21406.97599999999
2015,Furniture,Chairs,West,149,23700.016000000003
2016,Furniture,Chairs,West,221,31227.415999999987
2017,Furniture,Chairs,West,206,25446.919999999984
2014,Furniture,Furnishings,Central,147,2536.096
2015,Furniture,Furnishings,Central,157,2528.5600000000013
2016,Furniture,Furnishings,Central,258,5115.692000000001
2017,Furniture,Furnishings,Central,196,5074.022000000001
2014,Furniture,Furnishings,East,182,3757.3160000000003
2015,Furniture,Furnishings,East,171,5269.913999999999
2016,Furniture,Furnishings,East,298,9587.140000000001
2017,Furniture,Furnishings,East,364,10457.01
2014,Furniture,Furnishings,South,108,3160.502000000001
2015,Furniture,Furnishings,South,164,5377.807999999999
2016,Furniture,Furnishings,South,186,5382.784000000001
2017,Furniture,Furnishings,South,157,3385.590000000001
2014,Furniture,Furnishings,West,223,4372.319999999999
2015,Furniture,Furnishings,West,278,7913.43
2016,Furniture,Furnishings,West,294,7788.5080000000025
2017,Furniture,Furnishings,West,380,9998.471999999998
2014,Furniture,Tables,Central,53,7785.477999999999
2015,Furniture,Tables,Central,51,6857.26
2016,Furniture,Tables,Central,74,13922.926
2017,Furniture,Tables,Central,84,10589.307000000003
2014,Furniture,Tables,East,64,10603.704
2015,Furniture,Tables,East,67,8884.806
2016,Furniture,Tables,East,60,7825.328
2017,Furniture,Tables,East,80,11825.968999999997
2014,Furniture,Tables,South,50,9940.9445
2015,Furniture,Tables,South,29,7370.6745
2016,Furniture,Tables,South,79,12498.3115
2017,Furniture,Tables,South,69,14106.261499999999
2014,Furniture,Tables,West,103,17758.239000000005
2015,Furniture,Tables,West,88,16037.683
2016,Furniture,Tables,West,133,26586.635000000006
2017,Furniture,Tables,West,157,24372.004999999994
2014,Office Supplies,Appliances,Central,82,3659.204999999999
