15000.Date.Variation.Date Hierarchy.Year,15000.City,Sum(15000.Bottles Sold),Sum(15000.Sale (Dollars))
2012,BELMOND,2,58.18
2013,BELMOND,21,177.03
2014,BELMOND,36,783.5
2015,BELMOND,9,200.22
2012,GUTTENBERG,72,626.61
2013,GUTTENBERG,87,1014.36
2014,GUTTENBERG,,
2015,GUTTENBERG,,
2012,ADAIR,42,746.94
2013,ADAIR,6,130.44
2014,ADAIR,,
2015,ADAIR,,
2012,FONTANELLE,,
2013,FONTANELLE,12,269.88
2014,FONTANELLE,18,379.8
2015,FONTANELLE,24,197.28
2012,GREENFIELD,8,112.98
2013,GREENFIELD,,
2014,GREENFIELD,9,117.36
2015,GREENFIELD,1,8.67
2012,STUART,34,181.4
2013,STUART,36,515.04
2014,STUART,8,176.34
2015,STUART,37,457.77
2012,CORNING,25,331.02
2013,CORNING,8,131.08
2014,CORNING,21,380.67
2015,CORNING,24,257.25
2012,HARPERS FERRY,,
2013,HARPERS FERRY,6,101.4
2014,HARPERS FERRY,,
2015,HARPERS FERRY,1,42.42
2012,LANSING,28,426.34
2013,LANSING,17,241.57
2014,LANSING,35,390.61
2015,LANSING,17,164.58
2012,POSTVILLE,,
2013,POSTVILLE,,
2014,POSTVILLE,15,153.09
2015,POSTVILLE,6,103.98
2012,WAUKON,49,623.84
2013,WAUKON,62,707.75
2014,WAUKON,56,766.42
2015,WAUKON,100,1282.18
2012,CENTERVILLE,72,653.48
2013,CENTERVILLE,77,1064.11
2014,CENTERVILLE,68,625.5
2015,CENTERVILLE,84,1270.16
2012,MORAVIA,12,279.6
2013,MORAVIA,,
2014,MORAVIA,3,34.29
2015,MORAVIA,2,36
2012,AUDUBON,9,112.35
2013,AUDUBON,29,244.49
2014,AUDUBON,53,858.07
2015,AUDUBON,6,71.5
2012,EXIRA,18,104.76
2013,EXIRA,,
2014,EXIRA,,
2015,EXIRA,12,60.72
2012,BELLE PLAINE,68,1229.76
2013,BELLE PLAINE,35,505.8
2014,BELLE PLAINE,33,503
2015,BELLE PLAINE,32,572.92
2012,SHELLSBURG,12,58.56
2013,SHELLSBURG,13,178.23
2014,SHELLSBURG,7,108.77
2015,SHELLSBURG,2,22.2
2012,URBANA,,
2013,URBANA,,
2014,URBANA,25,224.43
2015,URBANA,6,31.5
