Category,Sub-Category,Segment,Region,Value Column Name,Value
"Technology","Phones","Consumer","Central","Sum of Sales","37108.785999999986"
"Technology","Phones","Consumer","Central","Sum of Profit","6416.019599999999"
"Technology","Phones","Consumer","East","Sum of Sales","51512.038"
"Technology","Phones","Consumer","East","Sum of Profit","7328.253600000007"
"Technology","Phones","Consumer","South","Sum of Sales","30846.203999999987"
"Technology","Phones","Consumer","South","Sum of Profit","5623.9118"
"Technology","Phones","Consumer","West","Sum of Sales","51377.159999999945"
"Technology","Phones","Consumer","West","Sum of Profit","4537.286500000001"
"Technology","Phones","Corporate","Central","Sum of Sales","17180.796"
"Technology","Phones","Corporate","Central","Sum of Profit","2391.279699999999"
"Technology","Phones","Corporate","East","Sum of Sales","29865.617999999995"
"Technology","Phones","Corporate","East","Sum of Profit","3129.6182999999974"
"Technology","Phones","Corporate","South","Sum of Sales","19274.232"
"Technology","Phones","Corporate","South","Sum of Profit","3680.2120000000004"
"Technology","Phones","Corporate","West","Sum of Sales","24832.76799999999"
"Technology","Phones","Corporate","West","Sum of Profit","2565.1095999999993"
"Technology","Phones","Home Office","Central","Sum of Sales","18113.700000000004"
"Technology","Phones","Home Office","Central","Sum of Profit","3515.7274"
"Technology","Phones","Home Office","East","Sum of Sales","19237.326"
"Technology","Phones","Home Office","East","Sum of Profit","1856.8140999999987"
"Technology","Phones","Home Office","South","Sum of Sales","8184.001999999999"
"Technology","Phones","Home Office","South","Sum of Profit","1463.1514999999997"
"Technology","Phones","Home Office","West","Sum of Sales","23385.848"
"Technology","Phones","Home Office","West","Sum of Profit","2076.7033"
"Technology","Machines","Consumer","Central","Sum of Sales","11999.761999999999"
"Technology","Machines","Consumer","Central","Sum of Profit","-1667.028000000002"
"Technology","Machines","Consumer","East","Sum of Sales","30668.429"
"Technology","Machines","Consumer","East","Sum of Profit","-1296.085000000002"
"Technology","Machines","Consumer","South","Sum of Sales","18338.550000000003"
"Technology","Machines","Consumer","South","Sum of Profit","2910.558799999999"
"Technology","Machines","Consumer","West","Sum of Sales","18536.084000000003"
"Technology","Machines","Consumer","West","Sum of Profit","2193.6159999999986"
"Technology","Machines","Corporate","Central","Sum of Sales","11716.734"
"Technology","Machines","Corporate","Central","Sum of Profit","-361.5044000000014"
"Technology","Machines","Corporate","East","Sum of Sales","23892.036"
"Technology","Machines","Corporate","East","Sum of Profit","2624.6022999999996"
"Technology","Machines","Corporate","South","Sum of Sales","12001.155"
"Technology","Machines","Corporate","South","Sum of Profit","-2520.117899999999"
"Technology","Machines","Corporate","West","Sum of Sales","12666.83"
"Technology","Machines","Corporate","West","Sum of Profit","960.0389999999996"
"Technology","Machines","Home Office","Central","Sum of Sales","3080.888"
"Technology","Machines","Home Office","Central","Sum of Profit","542.4658"
"Technology","Machines","Home Office","East","Sum of Sales","11545.699999999999"
"Technology","Machines","Home Office","East","Sum of Profit","5600.125599999999"
"Technology","Machines","Home Office","South","Sum of Sales","23551.254999999997"
"Technology","Machines","Home Office","South","Sum of Profit","-1829.3339000000021"
"Technology","Machines","Home Office","West","Sum of Sales","11241.208000000002"
"Technology","Machines","Home Office","West","Sum of Profit","-3772.581400000002"
"Technology","Accessories","Consumer","Central","Sum of Sales","19062.304"
"Technology","Accessories","Consumer","Central","Sum of Profit","3743.385899999999"
"Technology","Accessories","Consumer","East","Sum of Sales","22861.055999999997"
"Technology","Accessories","Consumer","East","Sum of Profit","5240.078300000001"
"Technology","Accessories","Consumer","South","Sum of Sales","11651.563999999993"
"Technology","Accessories","Consumer","South","Sum of Profit","2788.307200000002"
"Technology","Accessories","Consumer","West","Sum of Sales","33530.31400000001"
"Technology","Accessories","Consumer","West","Sum of Profit","8964.151100000001"
"Technology","Accessories","Corporate","Central","Sum of Sales","6195.2379999999985"
"Technology","Accessories","Corporate","Central","Sum of Profit","1462.9337000000003"
"Technology","Accessories","Corporate","East","Sum of Sales","11747.997999999998"
"Technology","Accessories","Corporate","East","Sum of Profit","2933.5910999999996"
"Technology","Accessories","Corporate","South","Sum of Sales","10175.455999999998"
"Technology","Accessories","Corporate","South","Sum of Profit","3085.477699999999"
"Technology","Accessories","Corporate","West","Sum of Sales","20071.872"
"Technology","Accessories","Corporate","West","Sum of Profit","5225.477999999999"
