Empty Columns.Year,Empty Columns.Level 1,Empty Columns.State,CountNonNull(Empty Columns.State),Sum(Empty Columns.CY Sales)
2018,Country,Texas,3,69375435
2019,Country,Texas,,
2020,Country,Texas,,
2018,Country,Washington,3,22361778
2019,Country,Washington,,
2020,Country,Washington,,
2018,Country,Houston,3,4796235
2019,Country,Houston,,
2020,Country,Houston,,
2018,Country,California,3,3764367
2019,Country,California,,
2020,Country,California,,
2018,Country,Wales,,
2019,Country,Wales,3,3760962
2020,Country,Wales,,
2018,Country,New York,3,2864292
2019,Country,New York,,
2020,Country,New York,,
2018,Country,LA,3,1340466
2019,Country,LA,,
2020,Country,LA,,
2018,Country,England,,
2019,Country,England,3,707688
2020,Country,England,,
2018,Country,Florida,3,376467
2019,Country,Florida,,
2020,Country,Florida,,
2018,Country,Scotland,,
2019,Country,Scotland,3,376425
2020,Country,Scotland,,
2018,Country,Dallas,3,200136
2019,Country,Dallas,,
2020,Country,Dallas,,
2018,Country,Alberta,,
2019,Country,Alberta,,
2020,Country,Alberta,3,
2018,Country,Manitoba,,
2019,Country,Manitoba,,
2020,Country,Manitoba,3,
2018,Country,Nova,,
2019,Country,Nova,,
2020,Country,Nova,3,
2018,Country,Quebec,,
2019,Country,Quebec,,
2020,Country,Quebec,3,
2018,Country,Yuka,,
2019,Country,Yuka,,
2020,Country,Yuka,3,
