Table5.Year,Table5.Region,Table5.Country,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC)
2018,Asia-Pacific,Australia,180000,310000,295000,335000
2018,Asia-Pacific,China,318000,237000,413000,287000
2018,Asia-Pacific,Japan,187000,265000,410000,249000
2018,Asia-Pacific,Other,78000,52000,55000,78000
2018,Americas,Brazil,-44000,273000,160000,280000
2018,Americas,Canada,-18000,166000,251000,279000
2018,Americas,USA,341000,133000,242000,275000
2018,Americas,Other,93000,,147000,67000
2018,Europe,Belgium,173000,235000,211000,198000
2018,Europe,Poland,182000,173000,221000,180000
2018,Europe,Germany,100000,126000,84000,91000
2018,Europe,Other,0,131000,129000,41000
2018,Europe,France,0,0,170000,0
2018,Europe,Sweden,345000,247000,325000,
