Min.Order Date.Variation.Date Hierarchy.Month,Min.Category,Min.Sub-Category,Sum(Min.Profit),Sum(Min.Sales)
January,Furniture,Bookcases,-325.59220000000016,4814.928599999999
February,Furniture,Bookcases,249.99299999999988,1649.6234000000002
March,Furniture,Bookcases,-645.3928000000004,7146.582999999999
April,Furniture,Bookcases,43.25359999999995,4331.7766
May,Furniture,Bookcases,-238.51660000000027,6289.5817
June,Furniture,Bookcases,261.8162999999998,8633.4643
July,Furniture,Bookcases,539.8546,8009.846999999999
August,Furniture,Bookcases,-54.84219999999988,5621.544999999999
September,Furniture,Bookcases,-117.58160000000052,17170.4831
October,Furniture,Bookcases,-591.9526000000001,5642.0452000000005
November,Furniture,Bookcases,482.1260999999995,23065.336499999998
December,Furniture,Bookcases,-1161.4328000000012,7510.430499999999
January,Furniture,Chairs,675.0410999999997,10009.383
February,Furniture,Chairs,683.5116999999996,6009.883999999999
March,Furniture,Chairs,1598.5288999999993,19612.067000000006
April,Furniture,Chairs,1420.9327999999996,14522.661999999997
May,Furniture,Chairs,1506.1125999999995,24148.342
June,Furniture,Chairs,782.7015999999994,16540.788
July,Furniture,Chairs,459.0817999999995,20183.946999999996
August,Furniture,Chairs,499.8399999999995,15802.507999999998
September,Furniture,Chairs,6095.833499999999,47048.50199999997
October,Furniture,Chairs,809.9989,21305.722000000005
November,Furniture,Chairs,2608.7489999999984,42786.87099999998
December,Furniture,Chairs,5763.5536999999995,52651.111000000004
January,Furniture,Furnishings,547.4793000000001,3037.888
February,Furniture,Furnishings,201.89139999999992,2220.5840000000003
March,Furniture,Furnishings,939.8353,4925.5560000000005
April,Furniture,Furnishings,1137.5918999999994,6897.297999999999
May,Furniture,Furnishings,833.0794000000001,4871.554
June,Furniture,Furnishings,620.3980999999999,5008.584
July,Furniture,Furnishings,534.0021999999998,6524.678000000001
August,Furniture,Furnishings,613.5127000000001,3567.3940000000007
September,Furniture,Furnishings,2145.5893999999994,10673.497999999998
October,Furniture,Furnishings,427.75889999999987,4713.852
November,Furniture,Furnishings,1970.9455,14086.018
December,Furniture,Furnishings,1965.9145999999994,13127.855999999996
January,Furniture,Tables,-2719.8162000000007,10741.112
February,Furniture,Tables,-555.3950000000002,4217.683
March,Furniture,Tables,-1151.5823,14401.823
April,Furniture,Tables,-334.69740000000024,7072.2195
May,Furniture,Tables,-347.13990000000035,8721.171000000002
June,Furniture,Tables,-675.2413000000005,14235.404999999999
July,Furniture,Tables,-187.1220000000003,7980.326999999999
August,Furniture,Tables,-780.4157000000009,13640.693000000001
September,Furniture,Tables,-640.8797999999998,17580.164
October,Furniture,Tables,-4796.4512,18640.0225
November,Furniture,Tables,-1167.8582999999994,29483.782999999992
December,Furniture,Tables,-1842.0441,30704.04
January,Office Supplies,Appliances,598.7946,3176.244
February,Office Supplies,Appliances,1089.4189999999996,4851.066
March,Office Supplies,Appliances,25.60409999999964,5925.179999999997
April,Office Supplies,Appliances,-263.5461000000009,4731.562000000001
May,Office Supplies,Appliances,1068.5611999999994,7147.449999999999
June,Office Supplies,Appliances,766.4189999999999,4775.13
July,Office Supplies,Appliances,743.9222999999998,3741.094
August,Office Supplies,Appliances,2700.0116,12391.739
September,Office Supplies,Appliances,1540.1314999999997,9584.919999999996
October,Office Supplies,Appliances,2226.8997,8908.836999999998
November,Office Supplies,Appliances,3675.0382999999983,18278.412
December,Office Supplies,Appliances,2658.9055999999996,14196.952999999998
January,Office Supplies,Art,211.75799999999998,829.8880000000001
February,Office Supplies,Art,261.4203000000001,1117.514
