P&L_Template.Period.Variation.Date Hierarchy.Day,P&L_Template.Period.Variation.Date Hierarchy.Month,P&L_Template.Period.Variation.Date Hierarchy.Quarter,P&L_Template.Period.Variation.Date Hierarchy.Year,P&L_Template.Region,P&L_Template.Business Unit,P&L_Template.Product Category,P&L_Template.Product,P&L_Template.GL Account,Sum(P&L_Template.2022),Sum(P&L_Template.2021)
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1094,1008
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1057,1058
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1075,1251
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1052,1025
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1115,1223
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1019,1049
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1254,1190
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1201,1078
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1008,1257
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1127,1284
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1232,1260
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Cost of Sales,1027,1056
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Other Costs,789,722
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Other Costs,801,847
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Other Costs,812,814
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Other Costs,803,758
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Other Costs,779,775
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Other Costs,763,719
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Other Costs,710,773
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Other Costs,817,708
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Other Costs,835,831
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Other Costs,719,732
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Other Costs,781,791
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Other Costs,723,829
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Other Income,8219,8673
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Other Income,8795,8324
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Other Income,8419,9871
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Other Income,9962,8994
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Other Income,9254,8225
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Other Income,8926,8806
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Other Income,9695,9209
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Other Income,9821,8360
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Other Income,8940,9413
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Other Income,9752,9896
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Other Income,9099,8126
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Other Income,8432,8059
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Selling Price,23,17
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Selling Price,22,15
1,March,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Selling Price,18,17
1,April,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Selling Price,21,19
1,May,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Selling Price,21,18
1,June,Qtr 2,2019,Asia,BU 1,Beverages,Coffee,Selling Price,22,17
1,July,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Selling Price,22,17
1,August,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Selling Price,19,17
1,September,Qtr 3,2019,Asia,BU 1,Beverages,Coffee,Selling Price,23,18
1,October,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Selling Price,18,16
1,November,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Selling Price,20,16
1,December,Qtr 4,2019,Asia,BU 1,Beverages,Coffee,Selling Price,18,20
1,January,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Units Sold,359,363
1,February,Qtr 1,2019,Asia,BU 1,Beverages,Coffee,Units Sold,330,429
