Fifty Thousand Report.Column.Variation.Date Hierarchy.Month,Fifty Thousand Report.Column.Variation.Date Hierarchy.Quarter,Fifty Thousand Report.Column.Variation.Date Hierarchy.Year,Fifty Thousand Report.Appliances,Fifty Thousand Report.Office Suppliers,Fifty Thousand Report.Performance,Fifty Thousand Report.Sales,Sum(Fifty Thousand Report.Series 2),Sum(Fifty Thousand Report.Series 3),Sum(Fifty Thousand Report.Series 4),Sum(Fifty Thousand Report.Series 5),Sum(Fifty Thousand Report.Series 1)
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0000,560065.2426989999,518912.78616500006,610103.8191249999,672415.9851299998,699356.94556
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0000,585327.72672,579047.45401,546663.1280300001,502941.34008030005,675387.75618
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0000,781751.580361,612844.6423099999,639840.6140879999,618239.98436,520283.446903
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0001,638476.286982,493215.91219599993,447060.055925,458605.49349,511178.89284
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0001,652238.0975100001,448901.5916979,522910.7782,597466.8513920001,571479.6315750001
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0001,752743.3963024999,764423.05214,613691.16189,492635.9223596,433240.94873699994
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0002,442608.54294,569974.68782,591513.2443799999,554927.133856,517667.81407200004
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0002,698451.7311760001,588882.5015491,612907.6623389999,660632.3179269999,724317.57914
January,Qtr 1,2023,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0002,493428.3090614,507969.62212,472754.0942744001,495609.93657550006,606093.03186
January,Qtr 1,2021,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0003,476447.640585,517396.00518700003,555188.4029399999,503244.3455900001,639909.855062
January,Qtr 1,2022,Appliances.0000,Office Suppliers.0000,Performance.0000,Sales.0003,529013.4126950001,487078.065229,668156.0162750001,716744.2964899999,591493.3542531
