Category,Sub-Category,Year,Region,Value Column Name,Value
"Furniture","Bookcases","2014","Central","Sum of Quantity","23"
"Furniture","Bookcases","2014","Central","Sum of Profit","-133.64569999999998"
"Furniture","Bookcases","2014","Central","Sum of Discount","1.56"
"Furniture","Bookcases","2014","Central","Sum of Sales","1834.0375999999997"
"Furniture","Bookcases","2014","Central","Sum of Sales - Sum of Quantity","1811.0375999999997"
"Furniture","Bookcases","2014","Central","(Sum of Sales - Sum of Quantity)%","78.74076521739129"
"Furniture","Bookcases","2014","Central","Sum of Sales - Sum of Profit","1967.6832999999997"
"Furniture","Bookcases","2014","Central","(Sum of Sales - Sum of Profit)%","14.723132132197295"
"Furniture","Bookcases","2014","Central","Sum of Sales - Sum of Discount","1832.4775999999997"
"Furniture","Bookcases","2014","Central","(Sum of Sales - Sum of Discount)%","1174.665128205128"
"Furniture","Bookcases","2014","Central","Sum of Profit - Sum of Quantity","-156.64569999999998"
"Furniture","Bookcases","2014","Central","(Sum of Profit - Sum of Quantity)%","-6.810682608695652"
"Furniture","Bookcases","2014","Central","Sum of Discount - Sum of Quantity","-21.44"
"Furniture","Bookcases","2014","Central","(Sum of Discount - Sum of Quantity)%","-0.9321739130434783"
"Furniture","Bookcases","2014","Central","Sum of Discount - Sum of Profit","135.20569999999998"
"Furniture","Bookcases","2014","Central","(Sum of Discount - Sum of Profit)%","1.011672653890099"
"Furniture","Bookcases","2014","Central","Count of Postal Code",""
"Furniture","Bookcases","2014","East","Sum of Quantity","60"
"Furniture","Bookcases","2014","East","Sum of Profit","-425.58550000000065"
"Furniture","Bookcases","2014","East","Sum of Discount","3.2"
"Furniture","Bookcases","2014","East","Sum of Sales","10863.451000000001"
"Furniture","Bookcases","2014","East","Sum of Sales - Sum of Quantity","10803.451000000001"
"Furniture","Bookcases","2014","East","(Sum of Sales - Sum of Quantity)%","180.05751666666666"
"Furniture","Bookcases","2014","East","Sum of Sales - Sum of Profit","11289.036500000002"
"Furniture","Bookcases","2014","East","(Sum of Sales - Sum of Profit)%","26.525895501608925"
"Furniture","Bookcases","2014","East","Sum of Sales - Sum of Discount","10860.251"
"Furniture","Bookcases","2014","East","(Sum of Sales - Sum of Discount)%","3393.8284375"
"Furniture","Bookcases","2014","East","Sum of Profit - Sum of Quantity","-485.58550000000065"
"Furniture","Bookcases","2014","East","(Sum of Profit - Sum of Quantity)%","-8.093091666666677"
"Furniture","Bookcases","2014","East","Sum of Discount - Sum of Quantity","-56.8"
"Furniture","Bookcases","2014","East","(Sum of Discount - Sum of Quantity)%","-0.9466666666666668"
"Furniture","Bookcases","2014","East","Sum of Discount - Sum of Profit","428.78550000000064"
"Furniture","Bookcases","2014","East","(Sum of Discount - Sum of Profit)%","1.0075190531632303"
"Furniture","Bookcases","2014","East","Count of Postal Code",""
"Furniture","Bookcases","2014","South","Sum of Quantity","13"
"Furniture","Bookcases","2014","South","Sum of Profit","164.70860000000002"
"Furniture","Bookcases","2014","South","Sum of Discount","0.2"
"Furniture","Bookcases","2014","South","Sum of Sales","794.2760000000001"
"Furniture","Bookcases","2014","South","Sum of Sales - Sum of Quantity","781.2760000000001"
"Furniture","Bookcases","2014","South","(Sum of Sales - Sum of Quantity)%","60.09815384615385"
"Furniture","Bookcases","2014","South","Sum of Sales - Sum of Profit","629.5674"
"Furniture","Bookcases","2014","South","(Sum of Sales - Sum of Profit)%","3.8223104318778733"
"Furniture","Bookcases","2014","South","Sum of Sales - Sum of Discount","794.076"
"Furniture","Bookcases","2014","South","(Sum of Sales - Sum of Discount)%","3970.38"
"Furniture","Bookcases","2014","South","Sum of Profit - Sum of Quantity","151.70860000000002"
"Furniture","Bookcases","2014","South","(Sum of Profit - Sum of Quantity)%","11.66989230769231"
"Furniture","Bookcases","2014","South","Sum of Discount - Sum of Quantity","-12.8"
"Furniture","Bookcases","2014","South","(Sum of Discount - Sum of Quantity)%","-0.9846153846153847"
"Furniture","Bookcases","2014","South","Sum of Discount - Sum of Profit","-164.50860000000003"
