15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.Pack)
2012,Qtr 1,ADAIR,6
2013,Qtr 1,ADAIR,12
2014,Qtr 1,ADAIR,
2015,Qtr 1,ADAIR,
2012,Qtr 1,ADEL,12
2013,Qtr 1,ADEL,24
2014,Qtr 1,ADEL,
2015,Qtr 1,ADEL,24
2012,Qtr 1,AFTON,
2013,Qtr 1,AFTON,
2014,Qtr 1,AFTON,6
2015,Qtr 1,AFTON,
2012,Qtr 1,ALBIA,6
2013,Qtr 1,ALBIA,18
2014,Qtr 1,ALBIA,18
2015,Qtr 1,ALBIA,24
2012,Qtr 1,ALDEN,12
2013,Qtr 1,ALDEN,12
2014,Qtr 1,ALDEN,6
2015,Qtr 1,ALDEN,
2012,Qtr 1,ALGONA,30
2013,Qtr 1,ALGONA,42
2014,Qtr 1,ALGONA,30
2015,Qtr 1,ALGONA,74
2012,Qtr 1,ALTON,12
2013,Qtr 1,ALTON,12
2014,Qtr 1,ALTON,
2015,Qtr 1,ALTON,
2012,Qtr 1,ALTOONA,54
2013,Qtr 1,ALTOONA,138
2014,Qtr 1,ALTOONA,84
2015,Qtr 1,ALTOONA,168
2012,Qtr 1,AMES,340
2013,Qtr 1,AMES,190
2014,Qtr 1,AMES,262
2015,Qtr 1,AMES,292
2012,Qtr 1,ANAMOSA,24
2013,Qtr 1,ANAMOSA,54
2014,Qtr 1,ANAMOSA,24
2015,Qtr 1,ANAMOSA,84
2012,Qtr 1,ANITA,
2013,Qtr 1,ANITA,12
2014,Qtr 1,ANITA,12
2015,Qtr 1,ANITA,6
2012,Qtr 1,ANKENY,150
2013,Qtr 1,ANKENY,126
2014,Qtr 1,ANKENY,96
2015,Qtr 1,ANKENY,217
2012,Qtr 1,ANTHON,6
2013,Qtr 1,ANTHON,
2014,Qtr 1,ANTHON,
2015,Qtr 1,ANTHON,12
2012,Qtr 1,ARLINGTON,24
2013,Qtr 1,ARLINGTON,28
2014,Qtr 1,ARLINGTON,10
2015,Qtr 1,ARLINGTON,
2012,Qtr 1,ARMSTRONG,24
2013,Qtr 1,ARMSTRONG,
2014,Qtr 1,ARMSTRONG,
2015,Qtr 1,ARMSTRONG,
2012,Qtr 1,ARNOLDS PARK,18
2013,Qtr 1,ARNOLDS PARK,30
