GL Balances.Period Date.Variation.Date Hierarchy.Month,GL Balances.Period Date.Variation.Date Hierarchy.Quarter,GL Balances.Period Date.Variation.Date Hierarchy.Year,Sum(GL Balances.Report Amount)
January,Qtr 1,2020,
February,Qtr 1,2020,
March,Qtr 1,2020,
April,Qtr 2,2020,
May,Qtr 2,2020,
June,Qtr 2,2020,
July,Qtr 3,2020,
August,Qtr 3,2020,
September,Qtr 3,2020,
October,Qtr 4,2020,
November,Qtr 4,2020,
December,Qtr 4,2020,
January,Qtr 1,2021,
February,Qtr 1,2021,
March,Qtr 1,2021,
April,Qtr 2,2021,
May,Qtr 2,2021,
June,Qtr 2,2021,
July,Qtr 3,2021,
August,Qtr 3,2021,
September,Qtr 3,2021,
October,Qtr 4,2021,
November,Qtr 4,2021,
December,Qtr 4,2021,
January,Qtr 1,2022,
February,Qtr 1,2022,
March,Qtr 1,2022,
April,Qtr 2,2022,
May,Qtr 2,2022,
June,Qtr 2,2022,
July,Qtr 3,2022,
August,Qtr 3,2022,
September,Qtr 3,2022,
October,Qtr 4,2022,
November,Qtr 4,2022,
December,Qtr 4,2022,
January,Qtr 1,2023,
February,Qtr 1,2023,
March,Qtr 1,2023,
April,Qtr 2,2023,
May,Qtr 2,2023,
June,Qtr 2,2023,
July,Qtr 3,2023,
August,Qtr 3,2023,
September,Qtr 3,2023,
October,Qtr 4,2023,
November,Qtr 4,2023,
December,Qtr 4,2023,
January,Qtr 1,2024,
February,Qtr 1,2024,
March,Qtr 1,2024,
April,Qtr 2,2024,
May,Qtr 2,2024,
June,Qtr 2,2024,
July,Qtr 3,2024,
August,Qtr 3,2024,
September,Qtr 3,2024,
October,Qtr 4,2024,
November,Qtr 4,2024,
December,Qtr 4,2024,
January,Qtr 1,2020,
February,Qtr 1,2020,
March,Qtr 1,2020,
April,Qtr 2,2020,
May,Qtr 2,2020,
June,Qtr 2,2020,
July,Qtr 3,2020,
August,Qtr 3,2020,
September,Qtr 3,2020,
October,Qtr 4,2020,
November,Qtr 4,2020,
December,Qtr 4,2020,
January,Qtr 1,2021,
February,Qtr 1,2021,
March,Qtr 1,2021,
April,Qtr 2,2021,
May,Qtr 2,2021,
June,Qtr 2,2021,
July,Qtr 3,2021,
August,Qtr 3,2021,
September,Qtr 3,2021,
October,Qtr 4,2021,
November,Qtr 4,2021,
December,Qtr 4,2021,
January,Qtr 1,2022,
February,Qtr 1,2022,
March,Qtr 1,2022,
April,Qtr 2,2022,
May,Qtr 2,2022,
June,Qtr 2,2022,
July,Qtr 3,2022,
August,Qtr 3,2022,
September,Qtr 3,2022,
October,Qtr 4,2022,
November,Qtr 4,2022,
December,Qtr 4,2022,
January,Qtr 1,2023,
February,Qtr 1,2023,
March,Qtr 1,2023,
April,Qtr 2,2023,
May,Qtr 2,2023,
June,Qtr 2,2023,
July,Qtr 3,2023,
August,Qtr 3,2023,
September,Qtr 3,2023,
October,Qtr 4,2023,
November,Qtr 4,2023,
December,Qtr 4,2023,
January,Qtr 1,2024,
February,Qtr 1,2024,
March,Qtr 1,2024,
April,Qtr 2,2024,
May,Qtr 2,2024,
June,Qtr 2,2024,
July,Qtr 3,2024,
August,Qtr 3,2024,
September,Qtr 3,2024,
October,Qtr 4,2024,
November,Qtr 4,2024,
December,Qtr 4,2024,
January,Qtr 1,2020,2
February,Qtr 1,2020,8
March,Qtr 1,2020,9
April,Qtr 2,2020,7
May,Qtr 2,2020,1
June,Qtr 2,2020,8
July,Qtr 3,2020,6298820.22
August,Qtr 3,2020,2974211.51
September,Qtr 3,2020,5311543.09
October,Qtr 4,2020,79036526.27
November,Qtr 4,2020,36539201.96
December,Qtr 4,2020,782399.19
January,Qtr 1,2021,22017322.18
February,Qtr 1,2021,69201401.67
March,Qtr 1,2021,40648483.74
April,Qtr 2,2021,35231477.92
May,Qtr 2,2021,37692128.6
June,Qtr 2,2021,50088603.19
July,Qtr 3,2021,35145901.77
August,Qtr 3,2021,24319500.39
September,Qtr 3,2021,53891201.2
October,Qtr 4,2021,64451675.07
November,Qtr 4,2021,96283891.92
December,Qtr 4,2021,451445198.3
January,Qtr 1,2022,749857580.3
February,Qtr 1,2022,25952501.03
March,Qtr 1,2022,4949924
April,Qtr 2,2022,25915096.58
May,Qtr 2,2022,3249967.38
June,Qtr 2,2022,94329808.63
July,Qtr 3,2022,9780185.46
August,Qtr 3,2022,46350940.55
September,Qtr 3,2022,850113402.5
October,Qtr 4,2022,59177968.82
November,Qtr 4,2022,75331375.6
December,Qtr 4,2022,22562466.82
January,Qtr 1,2023,406642390.8
February,Qtr 1,2023,27776548.9
March,Qtr 1,2023,29191316.91
April,Qtr 2,2023,16258520.33
May,Qtr 2,2023,87106762.13
June,Qtr 2,2023,45810688.7
July,Qtr 3,2023,7370553.94
August,Qtr 3,2023,21467391.99
September,Qtr 3,2023,71199662.77
October,Qtr 4,2023,35335645.19
November,Qtr 4,2023,3046591.5
December,Qtr 4,2023,77253242.86
January,Qtr 1,2024,88404940.89
February,Qtr 1,2024,9753718.94
March,Qtr 1,2024,86335703.99
April,Qtr 2,2024,96357676.52
May,Qtr 2,2024,48952650.04
June,Qtr 2,2024,25514992.11
July,Qtr 3,2024,52351110.03
August,Qtr 3,2024,12811054.15
September,Qtr 3,2024,25113963.14
October,Qtr 4,2024,84968244.24
November,Qtr 4,2024,3587935.35
December,Qtr 4,2024,23589357.81
January,Qtr 1,2020,9
February,Qtr 1,2020,9
March,Qtr 1,2020,0
April,Qtr 2,2020,2
May,Qtr 2,2020,94479615.71
June,Qtr 2,2020,924675645.6
July,Qtr 3,2020,419141521.2
August,Qtr 3,2020,66467682.87
September,Qtr 3,2020,251403257.7
October,Qtr 4,2020,956356084
November,Qtr 4,2020,372348376.2
December,Qtr 4,2020,45761472.5
January,Qtr 1,2021,92611067.54
February,Qtr 1,2021,22188650.21
March,Qtr 1,2021,97897974.3
April,Qtr 2,2021,2036844.58
May,Qtr 2,2021,5204489.36
June,Qtr 2,2021,4339038.09
July,Qtr 3,2021,8443564.46
August,Qtr 3,2021,8675144.04
September,Qtr 3,2021,5823466.55
October,Qtr 4,2021,310536.9
November,Qtr 4,2021,251341.52
December,Qtr 4,2021,4117450.9
January,Qtr 1,2022,38747151.9
February,Qtr 1,2022,5389910.72
March,Qtr 1,2022,15787129.28
April,Qtr 2,2022,92135664.46
May,Qtr 2,2022,46115479.15
June,Qtr 2,2022,4175666.67
July,Qtr 3,2022,8787472.68
August,Qtr 3,2022,646148.79
September,Qtr 3,2022,30437067.4
October,Qtr 4,2022,154391
November,Qtr 4,2022,3267994.94
December,Qtr 4,2022,99799347.15
January,Qtr 1,2023,55825650.8
February,Qtr 1,2023,5361701.79
March,Qtr 1,2023,2575824
April,Qtr 2,2023,4994463.84
May,Qtr 2,2023,1593504.36
June,Qtr 2,2023,2946312.72
July,Qtr 3,2023,3044454.36
August,Qtr 3,2023,5818549.88
September,Qtr 3,2023,185254.36
October,Qtr 4,2023,9407606
November,Qtr 4,2023,114395.66
December,Qtr 4,2023,2320568.56
January,Qtr 1,2024,3014682.924
February,Qtr 1,2024,7598073.06
March,Qtr 1,2024,4826468.01
April,Qtr 2,2024,45645811.41
May,Qtr 2,2024,9857098.24
June,Qtr 2,2024,66724717.87
July,Qtr 3,2024,88466331.36
August,Qtr 3,2024,81279166.07
September,Qtr 3,2024,76337532.15
October,Qtr 4,2024,21845780.36
November,Qtr 4,2024,62639134.29
December,Qtr 4,2024,5057503.54
January,Qtr 1,2020,2
February,Qtr 1,2020,6
March,Qtr 1,2020,4
April,Qtr 2,2020,8
May,Qtr 2,2020,0
June,Qtr 2,2020,9
July,Qtr 3,2020,7
August,Qtr 3,2020,9
September,Qtr 3,2020,3
October,Qtr 4,2020,6
November,Qtr 4,2020,9
December,Qtr 4,2020,9
January,Qtr 1,2021,5
February,Qtr 1,2021,3
March,Qtr 1,2021,8
April,Qtr 2,2021,8
May,Qtr 2,2021,5
June,Qtr 2,2021,5
July,Qtr 3,2021,5
August,Qtr 3,2021,0
September,Qtr 3,2021,3
October,Qtr 4,2021,6
November,Qtr 4,2021,8
December,Qtr 4,2021,9
January,Qtr 1,2022,7
February,Qtr 1,2022,6
March,Qtr 1,2022,7
April,Qtr 2,2022,9
May,Qtr 2,2022,4
June,Qtr 2,2022,4
July,Qtr 3,2022,7
August,Qtr 3,2022,9
September,Qtr 3,2022,2
October,Qtr 4,2022,9
November,Qtr 4,2022,8
December,Qtr 4,2022,9
January,Qtr 1,2023,1
February,Qtr 1,2023,5
March,Qtr 1,2023,1
April,Qtr 2,2023,2
May,Qtr 2,2023,5
June,Qtr 2,2023,0
July,Qtr 3,2023,8437925
August,Qtr 3,2023,5885505
September,Qtr 3,2023,9
October,Qtr 4,2023,0
November,Qtr 4,2023,9755791.3
December,Qtr 4,2023,8
January,Qtr 1,2024,7
February,Qtr 1,2024,50709801.64
March,Qtr 1,2024,2
April,Qtr 2,2024,9
May,Qtr 2,2024,8
June,Qtr 2,2024,2
July,Qtr 3,2024,7
August,Qtr 3,2024,0
September,Qtr 3,2024,3
October,Qtr 4,2024,3
November,Qtr 4,2024,3
December,Qtr 4,2024,3
January,Qtr 1,2020,0
February,Qtr 1,2020,9
March,Qtr 1,2020,3
April,Qtr 2,2020,6
May,Qtr 2,2020,5
June,Qtr 2,2020,8
July,Qtr 3,2020,5
August,Qtr 3,2020,6
September,Qtr 3,2020,5
October,Qtr 4,2020,6
November,Qtr 4,2020,7
December,Qtr 4,2020,7055.82
January,Qtr 1,2021,16097.88
February,Qtr 1,2021,43374.9
March,Qtr 1,2021,80952.73
April,Qtr 2,2021,14990.95
May,Qtr 2,2021,73234.28
June,Qtr 2,2021,59693.89
July,Qtr 3,2021,60266.39
August,Qtr 3,2021,20556.68
September,Qtr 3,2021,16073.72
October,Qtr 4,2021,2752.8
November,Qtr 4,2021,21014.72
December,Qtr 4,2021,14344.94
January,Qtr 1,2022,42901.31
February,Qtr 1,2022,52513.05
March,Qtr 1,2022,29645.1
April,Qtr 2,2022,52819.6
May,Qtr 2,2022,92815.2
June,Qtr 2,2022,91157.21
July,Qtr 3,2022,32177.92
August,Qtr 3,2022,11578.7
September,Qtr 3,2022,65973.75
October,Qtr 4,2022,97282.38
November,Qtr 4,2022,50.45
December,Qtr 4,2022,7.39
January,Qtr 1,2023,0.35
February,Qtr 1,2023,0.43
March,Qtr 1,2023,4.66
April,Qtr 2,2023,7.57
May,Qtr 2,2023,1.78
June,Qtr 2,2023,5.48
July,Qtr 3,2023,7.57
August,Qtr 3,2023,0.34
September,Qtr 3,2023,4
October,Qtr 4,2023,7
November,Qtr 4,2023,5
December,Qtr 4,2023,7
January,Qtr 1,2024,6
February,Qtr 1,2024,4
March,Qtr 1,2024,8
April,Qtr 2,2024,6
May,Qtr 2,2024,6
June,Qtr 2,2024,4
July,Qtr 3,2024,8
August,Qtr 3,2024,7
September,Qtr 3,2024,6
October,Qtr 4,2024,9
November,Qtr 4,2024,9
December,Qtr 4,2024,0
January,Qtr 1,2020,7
February,Qtr 1,2020,9
March,Qtr 1,2020,4
April,Qtr 2,2020,0
May,Qtr 2,2020,2
June,Qtr 2,2020,0
July,Qtr 3,2020,0
August,Qtr 3,2020,5
September,Qtr 3,2020,2
October,Qtr 4,2020,7
November,Qtr 4,2020,7
December,Qtr 4,2020,6
January,Qtr 1,2021,4
February,Qtr 1,2021,8
March,Qtr 1,2021,9
April,Qtr 2,2021,6
May,Qtr 2,2021,4
June,Qtr 2,2021,163
July,Qtr 3,2021,251
August,Qtr 3,2021,958
September,Qtr 3,2021,5064
October,Qtr 4,2021,2974
November,Qtr 4,2021,5179
December,Qtr 4,2021,4485
January,Qtr 1,2022,2451
