Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales),Sum(Orders.Quantity)
Qtr 1,2014,Furniture,Bookcases,-468.0098,2716.501,33
Qtr 2,2014,Furniture,Bookcases,-214.3451,1708.7036,21
Qtr 3,2014,Furniture,Bookcases,310.718,4676.4188,37
Qtr 4,2014,Furniture,Bookcases,25.4662,10935.0542,62
Qtr 1,2015,Furniture,Bookcases,-602.013,4714.1896,36
Qtr 2,2015,Furniture,Bookcases,-279.8983,3275.4675,32
Qtr 3,2015,Furniture,Bookcases,-1705.2544,17350.5572,89
Qtr 4,2015,Furniture,Bookcases,-168.0645,13203.3582,85
Qtr 1,2016,Furniture,Bookcases,-105.9642,3571.371,31
Qtr 2,2016,Furniture,Bookcases,416.3046,4153.811,36
Qtr 3,2016,Furniture,Bookcases,-115.8442,9759.8597,67
Qtr 4,2016,Furniture,Bookcases,17.9748,8790.4248,63
Qtr 1,2017,Furniture,Bookcases,193.1324,3351.8362,27
Qtr 2,2017,Furniture,Bookcases,109.3883,11019.7095,113
Qtr 3,2017,Furniture,Bookcases,7.618,5796.223,43
Qtr 4,2017,Furniture,Bookcases,-893.7648,9856.511,93
Qtr 1,2014,Furniture,Chairs,1403.0952,10091.3,75
Qtr 2,2014,Furniture,Chairs,1072.0673,13341.776,90
Qtr 3,2014,Furniture,Chairs,1871.8918,22804.367,136
Qtr 4,2014,Furniture,Chairs,2607.9927,31004.133,239
Qtr 1,2015,Furniture,Chairs,570.4532,9446.913,71
Qtr 2,2015,Furniture,Chairs,968.0628,13891.442,101
Qtr 3,2015,Furniture,Chairs,2130.7212,18272.499,133
Qtr 4,2015,Furniture,Chairs,2559.1789,30123.675,223
Qtr 1,2016,Furniture,Chairs,365.3858,9348.726,79
Qtr 2,2016,Furniture,Chairs,1601.4948,18979.249,128
Qtr 3,2016,Furniture,Chairs,914.7577,21556.076,155
Qtr 4,2016,Furniture,Chairs,2881.5156,34034.594,252
Qtr 1,2017,Furniture,Chairs,1078.7216,11325.497,67
Qtr 2,2017,Furniture,Chairs,1270.9528,19731.315,143
Qtr 3,2017,Furniture,Chairs,2422.0002,30300.431,196
Qtr 4,2017,Furniture,Chairs,2871.8747,34197.11,268
Qtr 1,2014,Furniture,Furnishings,183.5819,1584.878,79
Qtr 2,2014,Furniture,Furnishings,351.8775,2196.962,112
Qtr 3,2014,Furniture,Furnishings,1105.4804,4861.336,192
Qtr 4,2014,Furniture,Furnishings,331.9521,5183.058,277
Qtr 1,2015,Furniture,Furnishings,324.259,2912.176,98
Qtr 2,2015,Furniture,Furnishings,1057.3147,7022.308,188
Qtr 3,2015,Furniture,Furnishings,860.5155,4457.988,188
Qtr 4,2015,Furniture,Furnishings,809.7297,6697.24,296
Qtr 1,2016,Furniture,Furnishings,682.557,4198.188,172
Qtr 2,2016,Furniture,Furnishings,359.7669,5269.216,217
Qtr 3,2016,Furniture,Furnishings,737.0449,6338.938,251
Qtr 4,2016,Furniture,Furnishings,2155.9012,12067.782,396
Qtr 1,2017,Furniture,Furnishings,349.9274,2759.1,131
Qtr 2,2017,Furniture,Furnishings,937.2552,5866.778,225
Qtr 3,2017,Furniture,Furnishings,1233.815,7789.294,295
Qtr 4,2017,Furniture,Furnishings,1578.1652,12499.922,446
Qtr 1,2014,Furniture,Tables,-1321.1641,8263.46,37
Qtr 2,2014,Furniture,Tables,-408.7819,10816.308,77
Qtr 3,2014,Furniture,Tables,-391.7742,9615.7565,64
Qtr 4,2014,Furniture,Tables,-1002.3225,17392.841,92
Qtr 1,2015,Furniture,Tables,-1456.9471,10300.82,39
Qtr 2,2015,Furniture,Tables,-918.904,3375.6105,24
Qtr 3,2015,Furniture,Tables,-748.4285,9504.991,69
Qtr 4,2015,Furniture,Tables,-385.5223,15969.002,103
Qtr 1,2016,Furniture,Tables,-816.2507,7231.101,50
Qtr 2,2016,Furniture,Tables,-294.5255,13000.221,74
Qtr 3,2016,Furniture,Tables,-288.5943,15159.7585,85
Qtr 4,2016,Furniture,Tables,-1551.5713,25442.12,137
Qtr 1,2017,Furniture,Tables,-859.4105,6287.381,55
