financials.Month Name,financials.Country,Sum(financials. Sales),
April,United States of America,1616624.475,2085819.180416667
August,United States of America,2007266.1199999999,2085819.180416667
December,United States of America,2394507.6799999997,2085819.180416667
February,United States of America,1332890.66,2085819.180416667
January,United States of America,1346026.485,2085819.180416667
July,United States of America,2308798.125,2085819.180416667
June,United States of America,1323610.8,2085819.180416667
March,United States of America,1789974.47,2085819.180416667
May,United States of America,1949249.3499999999,2085819.180416667
November,United States of America,3093502.6500000004,2085819.180416667
October,United States of America,3457102.9999999995,2085819.180416667
September,United States of America,2410276.35,2085819.180416667
April,Canada,1593562.95,2073971.2404166667
August,Canada,952043.0399999999,2073971.2404166667
December,Canada,5546988.63,2073971.2404166667
February,Canada,1482165.98,2073971.2404166667
January,Canada,1186256.49,2073971.2404166667
July,Canada,2109549.285,2073971.2404166667
June,Canada,2725979.4,2073971.2404166667
March,Canada,811132.5,2073971.2404166667
May,Canada,783941.6699999999,2073971.2404166667
November,Canada,2372659.3600000003,2073971.2404166667
October,Canada,3445532.7600000007,2073971.2404166667
September,Canada,1877842.8199999998,2073971.2404166667
April,France,1332862.6950000003,2029514.3566666667
August,France,779802.09,2029514.3566666667
December,France,3325070.5199999996,2029514.3566666667
February,France,1537438.46,2029514.3566666667
January,France,1544720.745,2029514.3566666667
July,France,1148065.08,2029514.3566666667
June,France,1629183.98,2029514.3566666667
March,France,1559748.75,2029514.3566666667
May,France,1042776.97,2029514.3566666667
November,France,2109571.89,2029514.3566666667
October,France,5770138.52,2029514.3566666667
September,France,2574792.58,2029514.3566666667
April,Germany,1394813.46,1958778.4016666666
August,Germany,1046755.1699999999,1958778.4016666666
December,Germany,3141199.29,1958778.4016666666
February,Germany,1347335.8699999999,1958778.4016666666
January,Germany,874935.11,1958778.4016666666
July,Germany,1609549.75,1958778.4016666666
June,Germany,1630025.24,1958778.4016666666
March,Germany,479509.59,1958778.4016666666
May,Germany,1317483,1958778.4016666666
November,Germany,2336054.4000000004,1958778.4016666666
October,Germany,5977029.880000001,1958778.4016666666
September,Germany,2350650.06,1958778.4016666666
April,Mexico,1026911.49,1745779.3425000003
August,Mexico,1078756,1745779.3425000003
December,Mexico,2959462.8600000003,1745779.3425000003
February,Mexico,1597700.42,1745779.3425000003
January,Mexico,1655822.85,1745779.3425000003
July,Mexico,926957.94,1745779.3425000003
June,Mexico,2210094.4,1745779.3425000003
March,Mexico,946494.56,1745779.3425000003
May,Mexico,1116760.07,1745779.3425000003
November,Mexico,2739629.1999999997,1745779.3425000003
October,Mexico,3021626.86,1745779.3425000003
September,Mexico,1669135.46,1745779.3425000003
