Orders.Region,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales)
Central,2014,Furniture,Bookcases,-133.64569999999998,23,1.56,1834.0375999999997
East,2014,Furniture,Bookcases,-425.58550000000065,60,3.2,10863.451000000001
South,2014,Furniture,Bookcases,164.70860000000002,13,0.2,794.2760000000001
West,2014,Furniture,Bookcases,48.351899999999915,57,2.6499999999999995,6544.9130000000005
Central,2014,Furniture,Chairs,699.2616999999998,136,7.1999999999999975,20754.052
East,2014,Furniture,Chairs,2719.3840000000014,144,4.500000000000001,22008.267999999993
South,2014,Furniture,Chairs,2304.7139999999995,102,1.6,13072.28
West,2014,Furniture,Chairs,1231.6872999999996,158,9.2,21406.97599999999
Central,2014,Furniture,Furnishings,-246.5090999999999,147,18,2536.096
East,2014,Furniture,Furnishings,744.3808999999995,182,4.6000000000000005,3757.3160000000003
South,2014,Furniture,Furnishings,423.1665999999998,108,3.4000000000000004,3160.502000000001
West,2014,Furniture,Furnishings,1051.8535000000002,223,1.6,4372.32
Central,2014,Furniture,Tables,-1424.3310000000004,53,4.899999999999999,7785.477999999999
East,2014,Furniture,Tables,-3537.8375000000005,64,7.600000000000002,10603.704
South,2014,Furniture,Tables,1107.9901999999997,50,1.25,9940.9445
West,2014,Furniture,Tables,730.1355999999994,103,5.200000000000001,17758.239000000005
Central,2014,Office Supplies,Appliances,-509.17240000000027,82,10.700000000000001,3659.204999999999
East,2014,Office Supplies,Appliances,1411.9621999999997,101,2.2,5779.202
South,2014,Office Supplies,Appliances,489.78529999999995,56,1.8,2119.7219999999998
West,2014,Office Supplies,Appliances,1066.9247999999998,75,0.6000000000000001,3755.495999999999
Central,2014,Office Supplies,Art,187.84199999999996,106,3.2,821.9540000000002
East,2014,Office Supplies,Art,332.91319999999996,165,3.6,1290.202
South,2014,Office Supplies,Art,133.75329999999994,109,2.8000000000000003,566.1320000000001
West,2014,Office Supplies,Art,752.2946,233,2.4000000000000004,3379.694
Central,2014,Office Supplies,Binders,-1375.9358000000057,300,43.2,15870.938000000002
East,2014,Office Supplies,Binders,1160.9685999999997,334,30.499999999999996,6346.627
South,2014,Office Supplies,Binders,2420.1017000000006,161,13.999999999999998,8307.445999999998
West,2014,Office Supplies,Binders,2534.5815,294,21.3,12963.254000000003
Central,2014,Office Supplies,Envelopes,570.8482,63,2.4000000000000004,1598.6860000000001
East,2014,Office Supplies,Envelopes,524.5098999999999,71,1.8000000000000003,1347.622
South,2014,Office Supplies,Envelopes,107.49529999999999,30,0.6000000000000001,251.85399999999998
West,2014,Office Supplies,Envelopes,292.6254,42,0.8,657.588
Central,2014,Office Supplies,Fasteners,16.063399999999998,46,2,121.816
East,2014,Office Supplies,Fasteners,32.38219999999999,41,0.8,96.912
South,2014,Office Supplies,Fasteners,50.90509999999999,46,1.4,165.79200000000003
West,2014,Office Supplies,Fasteners,79.20759999999999,68,1,276.808
Central,2014,Office Supplies,Labels,481.5508,57,2,1048.472
East,2014,Office Supplies,Labels,225.02659999999995,99,1.2000000000000002,516.142
South,2014,Office Supplies,Labels,169.61469999999994,64,1.4000000000000001,401.0419999999999
West,2014,Office Supplies,Labels,409.81209999999993,106,0.4,875.738
Central,2014,Office Supplies,Paper,896.2070999999999,232,9,2346.7760000000003
East,2014,Office Supplies,Paper,1748.8552,255,4.4,3917.1480000000015
South,2014,Office Supplies,Paper,1338.8293999999999,211,5.2,3184.5760000000005
West,2014,Office Supplies,Paper,2387.1297,319,3.8000000000000003,5386.456
Central,2014,Office Supplies,Storage,344.4393999999999,186,6.2,11093.385999999997
East,2014,Office Supplies,Storage,1312.006400000001,143,3,16207.261999999997
South,2014,Office Supplies,Storage,462.2265999999996,103,2.2,6715.006
West,2014,Office Supplies,Storage,2047.6063999999992,241,1.6,16313.388000000003
Central,2014,Office Supplies,Supplies,10.464900000000004,19,0.8,440.458
East,2014,Office Supplies,Supplies,-23.298000000000002,27,0.6000000000000001,467.87200000000007
South,2014,Office Supplies,Supplies,98.60350000000005,20,0.6000000000000001,4247.307999999999
West,2014,Office Supplies,Supplies,404.28519999999963,64,0.8,9238.432000000003
Central,2014,Technology,Accessories,891.2615000000001,139,4.800000000000001,4438.97
East,2014,Technology,Accessories,1888.0357999999999,103,3,6053.768
South,2014,Technology,Accessories,1685.7286000000001,110,1.8,5595.290000000001
West,2014,Technology,Accessories,1937.6891000000007,228,2,8926.244
Central,2014,Technology,Copiers,1034.978,9,0.4,3269.926
East,2014,Technology,Copiers,650.9887,12,1.4,4099.9259999999995
South,2014,Technology,Copiers,89.99699999999999,2,0.2,479.98400000000004
West,2014,Technology,Copiers,1136.9796000000001,6,0.2,2999.946
Central,2014,Technology,Machines,-2384.6983000000023,30,2.6999999999999997,16292.161999999998
East,2014,Technology,Machines,4865.814899999999,23,2.0999999999999996,14636.385000000002
South,2014,Technology,Machines,-3254.2075000000023,18,2,27594.725000000002
West,2014,Technology,Machines,1142.2597999999998,25,1.7,3500.1010000000006
Central,2014,Technology,Phones,1480.9286999999995,98,4.4,9925.752
East,2014,Technology,Phones,3429.1019000000015,162,7.200000000000002,20688.649999999998
South,2014,Technology,Phones,4085.707599999999,133,1.6,17248.963999999996
West,2014,Technology,Phones,2812.267099999998,291,12.999999999999996,29527.43999999999
