Category ,TimePeriod,Sum of FY_Value,Sum of PY_Value
New__AvgLicensePrice,Apr,110000,100000
New__AvgLicensePrice,Aug,110000,100000
New__AvgLicensePrice,Dec,110000,100000
New__AvgLicensePrice,Feb,110000,100000
New__AvgLicensePrice,Jan,110000,100000
New__AvgLicensePrice,Jul,110000,100000
New__AvgLicensePrice,Jun,110000,100000
New__AvgLicensePrice,Mar,110000,100000
New__AvgLicensePrice,May,110000,100000
New__AvgLicensePrice,Nov,110000,100000
New__AvgLicensePrice,Oct,110000,100000
New__AvgLicensePrice,Sep,110000,100000
Existing__AvgLicensePrice,Apr,100000,90000
Existing__AvgLicensePrice,Aug,100000,90000
Existing__AvgLicensePrice,Dec,100000,90000
Existing__AvgLicensePrice,Feb,100000,90000
Existing__AvgLicensePrice,Jan,100000,90000
Existing__AvgLicensePrice,Jul,100000,90000
Existing__AvgLicensePrice,Jun,100000,90000
Existing__AvgLicensePrice,Mar,100000,90000
Existing__AvgLicensePrice,May,100000,90000
Existing__AvgLicensePrice,Nov,100000,90000
Existing__AvgLicensePrice,Oct,100000,90000
Existing__AvgLicensePrice,Sep,100000,90000
Project2__AvgCost,Apr,90000,90000
Project2__AvgCost,Aug,90000,90000
Project2__AvgCost,Dec,90000,90000
Project2__AvgCost,Feb,90000,90000
Project2__AvgCost,Jan,90000,90000
Project2__AvgCost,Jul,90000,90000
Project2__AvgCost,Jun,90000,90000
Project2__AvgCost,Mar,90000,90000
Project2__AvgCost,May,90000,90000
Project2__AvgCost,Nov,90000,90000
Project2__AvgCost,Oct,90000,90000
Project2__AvgCost,Sep,90000,90000
Project1__AvgCost,Apr,45000,45000
Project1__AvgCost,Aug,45000,45000
Project1__AvgCost,Dec,45000,45000
Project1__AvgCost,Feb,45000,45000
Project1__AvgCost,Jul,45000,45000
Project1__AvgCost,Jun,45000,45000
Project1__AvgCost,Mar,45000,45000
Project1__AvgCost,May,45000,45000
Project1__AvgCost,Nov,45000,45000
Project1__AvgCost,Oct,45000,45000
Project1__AvgCost,Sep,45000,45000
Project1__AvgCost,Jan,40000,40000
New__Users,Jul,112,5
New__Users,Jun,110,5
New__Users,May,100,5
Project1__Resources,Nov,22,22
Project1__Resources,Oct,21,21
Existing__Users,Apr,20,11
Existing__Users,Aug,20,11
Existing__Users,Feb,20,11
Existing__Users,Jan,20,11
Existing__Users,Jul,20,11
Existing__Users,Jun,20,11
Existing__Users,Mar,20,11
Existing__Users,May,20,11
Project1__Resources,Dec,20,20
Project1__Resources,Sep,20,20
Existing__Users,Dec,19,21
Existing__Users,Nov,19,20
Existing__Users,Oct,19,16
Existing__Users,Sep,19,15
Project1__Resources,Jul,18,10
Project1__Resources,May,15,10
New__Users,Aug,12,10
New__Users,Sep,12,20
Project1__Resources,Aug,12,12
Project1__Resources,Jun,12,9
New__Users,Oct,11,30
Project1__Resources,Apr,11,4
New__Users,Apr,10,21
New__Users,Nov,10,10
Project1__Resources,Mar,9,30
Project2__Resources,Apr,8,8
Project2__Resources,Aug,8,8
Project2__Resources,Dec,8,8
Project2__Resources,Feb,8,8
Project2__Resources,Jan,8,8
Project2__Resources,Jul,8,8
Project2__Resources,Jun,8,8
Project2__Resources,Mar,8,8
Project2__Resources,May,8,8
Project2__Resources,Nov,8,8
Project2__Resources,Oct,8,8
Project2__Resources,Sep,8,8
Project1__Resources,Feb,7,25
New__Users,Mar,5,5
Project1__Resources,Jan,5,24
New__Users,Feb,2,20
New__Users,Dec,1,1
New__Users,Jan,1,19
