Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.Order Date,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
Central,Furniture,Bookcases,13 January 2020,,
East,Furniture,Bookcases,13 January 2020,,
South,Furniture,Bookcases,13 January 2020,,
West,Furniture,Bookcases,13 January 2020,3.9294,333.999
Central,Furniture,Bookcases,14 January 2020,,
East,Furniture,Bookcases,14 January 2020,-53.2856,61.96
South,Furniture,Bookcases,14 January 2020,,
West,Furniture,Bookcases,14 January 2020,,
Central,Furniture,Bookcases,19 January 2020,,
East,Furniture,Bookcases,19 January 2020,,
South,Furniture,Bookcases,19 January 2020,,
West,Furniture,Bookcases,19 January 2020,-320.597,181.47
Central,Furniture,Bookcases,26 January 2020,39.7488,141.96
East,Furniture,Bookcases,26 January 2020,,
South,Furniture,Bookcases,26 January 2020,,
West,Furniture,Bookcases,26 January 2020,,
Central,Furniture,Bookcases,31 January 2020,,
East,Furniture,Bookcases,31 January 2020,,
South,Furniture,Bookcases,31 January 2020,,
West,Furniture,Bookcases,31 January 2020,3.4196,290.666
Central,Furniture,Bookcases,03 March 2020,,
East,Furniture,Bookcases,03 March 2020,-199.617,302.45
South,Furniture,Bookcases,03 March 2020,,
West,Furniture,Bookcases,03 March 2020,,
Central,Furniture,Bookcases,18 March 2020,,
East,Furniture,Bookcases,18 March 2020,,
South,Furniture,Bookcases,18 March 2020,,
West,Furniture,Bookcases,18 March 2020,70.49,1198.33
Central,Furniture,Bookcases,30 March 2020,,
East,Furniture,Bookcases,30 March 2020,,
South,Furniture,Bookcases,30 March 2020,,
West,Furniture,Bookcases,30 March 2020,-12.098,205.666
Central,Furniture,Bookcases,12 April 2020,,
East,Furniture,Bookcases,12 April 2020,,
South,Furniture,Bookcases,12 April 2020,,
West,Furniture,Bookcases,12 April 2020,-18.147,308.499
Central,Furniture,Bookcases,10 May 2020,,
East,Furniture,Bookcases,10 May 2020,-216.9783,349.965
South,Furniture,Bookcases,10 May 2020,,
West,Furniture,Bookcases,10 May 2020,,
Central,Furniture,Bookcases,26 May 2020,,
East,Furniture,Bookcases,26 May 2020,,
South,Furniture,Bookcases,26 May 2020,,
West,Furniture,Bookcases,26 May 2020,27.3568,290.666
Central,Furniture,Bookcases,04 June 2020,,
East,Furniture,Bookcases,04 June 2020,-44.196,353.568
South,Furniture,Bookcases,04 June 2020,,
West,Furniture,Bookcases,04 June 2020,,
Central,Furniture,Bookcases,14 June 2020,57.4938,212.94
East,Furniture,Bookcases,14 June 2020,,
South,Furniture,Bookcases,14 June 2020,,
West,Furniture,Bookcases,14 June 2020,,
Central,Furniture,Bookcases,20 June 2020,-19.8744,193.0656
East,Furniture,Bookcases,20 June 2020,,
South,Furniture,Bookcases,20 June 2020,,
West,Furniture,Bookcases,20 June 2020,,
Central,Furniture,Bookcases,09 July 2020,,
East,Furniture,Bookcases,09 July 2020,,
South,Furniture,Bookcases,09 July 2020,,
West,Furniture,Bookcases,09 July 2020,7.049,119.833
Central,Furniture,Bookcases,30 July 2020,,
East,Furniture,Bookcases,30 July 2020,,
South,Furniture,Bookcases,30 July 2020,,
West,Furniture,Bookcases,30 July 2020,259.8896,1367.84
Central,Furniture,Bookcases,08 August 2020,,
East,Furniture,Bookcases,08 August 2020,,
South,Furniture,Bookcases,08 August 2020,-7.7728,155.456
West,Furniture,Bookcases,08 August 2020,,
Central,Furniture,Bookcases,19 August 2020,,
East,Furniture,Bookcases,19 August 2020,,
South,Furniture,Bookcases,19 August 2020,172.4814,638.82
West,Furniture,Bookcases,19 August 2020,,
Central,Furniture,Bookcases,20 September 2020,-70.49,493.43
East,Furniture,Bookcases,20 September 2020,26.2744,1164.508
South,Furniture,Bookcases,20 September 2020,,
