Retail Orders.Order Date.Variation.Date Hierarchy.Day,Retail Orders.Order Date.Variation.Date Hierarchy.Month,Retail Orders.Order Date.Variation.Date Hierarchy.Quarter,Retail Orders.Order Date.Variation.Date Hierarchy.Year,Retail Orders.Category,Sum(Retail Orders.Sales)
2,January,Qtr 1,2021,Furniture,
3,January,Qtr 1,2021,Furniture,836.592
4,January,Qtr 1,2021,Furniture,1324.532
5,January,Qtr 1,2021,Furniture,370.62
7,January,Qtr 1,2021,Furniture,
8,January,Qtr 1,2021,Furniture,19.312
9,January,Qtr 1,2021,Furniture,191.82
10,January,Qtr 1,2021,Furniture,567.286
11,January,Qtr 1,2021,Furniture,
12,January,Qtr 1,2021,Furniture,1801.265
14,January,Qtr 1,2021,Furniture,315.776
15,January,Qtr 1,2021,Furniture,181.797
16,January,Qtr 1,2021,Furniture,
17,January,Qtr 1,2021,Furniture,322.59
21,January,Qtr 1,2021,Furniture,1167.056
22,January,Qtr 1,2021,Furniture,575.308
23,January,Qtr 1,2021,Furniture,59.99
24,January,Qtr 1,2021,Furniture,
25,January,Qtr 1,2021,Furniture,359.702
28,January,Qtr 1,2021,Furniture,
30,January,Qtr 1,2021,Furniture,1109.848
31,January,Qtr 1,2021,Furniture,
1,February,Qtr 1,2021,Furniture,173.94
2,February,Qtr 1,2021,Furniture,92.474
4,February,Qtr 1,2021,Furniture,1454.9
5,February,Qtr 1,2021,Furniture,781.06
6,February,Qtr 1,2021,Furniture,
7,February,Qtr 1,2021,Furniture,723.614
8,February,Qtr 1,2021,Furniture,136.464
9,February,Qtr 1,2021,Furniture,1476.154
10,February,Qtr 1,2021,Furniture,
12,February,Qtr 1,2021,Furniture,868.804
13,February,Qtr 1,2021,Furniture,
14,February,Qtr 1,2021,Furniture,560.991
15,February,Qtr 1,2021,Furniture,
16,February,Qtr 1,2021,Furniture,935.644
19,February,Qtr 1,2021,Furniture,44.46
20,February,Qtr 1,2021,Furniture,
21,February,Qtr 1,2021,Furniture,204.75
22,February,Qtr 1,2021,Furniture,
23,February,Qtr 1,2021,Furniture,
25,February,Qtr 1,2021,Furniture,
27,February,Qtr 1,2021,Furniture,16.192
28,February,Qtr 1,2021,Furniture,
1,March,Qtr 1,2021,Furniture,1592.85
2,March,Qtr 1,2021,Furniture,866.4
3,March,Qtr 1,2021,Furniture,1236.606
4,March,Qtr 1,2021,Furniture,71.12
5,March,Qtr 1,2021,Furniture,51.968
6,March,Qtr 1,2021,Furniture,71.088
7,March,Qtr 1,2021,Furniture,
8,March,Qtr 1,2021,Furniture,
9,March,Qtr 1,2021,Furniture,642.396
10,March,Qtr 1,2021,Furniture,1552.508
11,March,Qtr 1,2021,Furniture,1554.779
12,March,Qtr 1,2021,Furniture,2140.888
13,March,Qtr 1,2021,Furniture,1100.425
14,March,Qtr 1,2021,Furniture,476.736
15,March,Qtr 1,2021,Furniture,1880.462
17,March,Qtr 1,2021,Furniture,971.5
18,March,Qtr 1,2021,Furniture,189.882
19,March,Qtr 1,2021,Furniture,107.594
20,March,Qtr 1,2021,Furniture,783.61
21,March,Qtr 1,2021,Furniture,627.802
22,March,Qtr 1,2021,Furniture,167.888
24,March,Qtr 1,2021,Furniture,301.47
25,March,Qtr 1,2021,Furniture,
26,March,Qtr 1,2021,Furniture,
27,March,Qtr 1,2021,Furniture,60.16
28,March,Qtr 1,2021,Furniture,
29,March,Qtr 1,2021,Furniture,1558.091
30,March,Qtr 1,2021,Furniture,
31,March,Qtr 1,2021,Furniture,327.996
1,April,Qtr 2,2021,Furniture,
2,April,Qtr 2,2021,Furniture,14.368
3,April,Qtr 2,2021,Furniture,
4,April,Qtr 2,2021,Furniture,82.64
6,April,Qtr 2,2021,Furniture,810.541
7,April,Qtr 2,2021,Furniture,1329.965
8,April,Qtr 2,2021,Furniture,109.8
9,April,Qtr 2,2021,Furniture,130.81
10,April,Qtr 2,2021,Furniture,250.94
11,April,Qtr 2,2021,Furniture,2007.59
12,April,Qtr 2,2021,Furniture,113.79
13,April,Qtr 2,2021,Furniture,
14,April,Qtr 2,2021,Furniture,1317.336
15,April,Qtr 2,2021,Furniture,1121.568
16,April,Qtr 2,2021,Furniture,9.96
17,April,Qtr 2,2021,Furniture,355.243
18,April,Qtr 2,2021,Furniture,472.252
19,April,Qtr 2,2021,Furniture,205.176
21,April,Qtr 2,2021,Furniture,
22,April,Qtr 2,2021,Furniture,1414.37
23,April,Qtr 2,2021,Furniture,
24,April,Qtr 2,2021,Furniture,1325.76
25,April,Qtr 2,2021,Furniture,
26,April,Qtr 2,2021,Furniture,434.646
28,April,Qtr 2,2021,Furniture,71.912
30,April,Qtr 2,2021,Furniture,134.496
1,May,Qtr 2,2021,Furniture,
2,May,Qtr 2,2021,Furniture,816.548
3,May,Qtr 2,2021,Furniture,
4,May,Qtr 2,2021,Furniture,
5,May,Qtr 2,2021,Furniture,2072.464
6,May,Qtr 2,2021,Furniture,
8,May,Qtr 2,2021,Furniture,
9,May,Qtr 2,2021,Furniture,3461.917
11,May,Qtr 2,2021,Furniture,2964.4408
12,May,Qtr 2,2021,Furniture,2239
14,May,Qtr 2,2021,Furniture,109.576
15,May,Qtr 2,2021,Furniture,
16,May,Qtr 2,2021,Furniture,282.84
17,May,Qtr 2,2021,Furniture,195.848
18,May,Qtr 2,2021,Furniture,
19,May,Qtr 2,2021,Furniture,717.64
20,May,Qtr 2,2021,Furniture,1049.2
21,May,Qtr 2,2021,Furniture,
22,May,Qtr 2,2021,Furniture,174.286
23,May,Qtr 2,2021,Furniture,37.05
24,May,Qtr 2,2021,Furniture,
25,May,Qtr 2,2021,Furniture,24.96
26,May,Qtr 2,2021,Furniture,941.444
27,May,Qtr 2,2021,Furniture,3535.66
28,May,Qtr 2,2021,Furniture,390.272
29,May,Qtr 2,2021,Furniture,44.76
30,May,Qtr 2,2021,Furniture,3292.308
31,May,Qtr 2,2021,Furniture,223.143
2,June,Qtr 2,2021,Furniture,132.224
3,June,Qtr 2,2021,Furniture,305.02
4,June,Qtr 2,2021,Furniture,
5,June,Qtr 2,2021,Furniture,96.312
6,June,Qtr 2,2021,Furniture,548.96
8,June,Qtr 2,2021,Furniture,
9,June,Qtr 2,2021,Furniture,722.352
10,June,Qtr 2,2021,Furniture,
11,June,Qtr 2,2021,Furniture,563.536
12,June,Qtr 2,2021,Furniture,
13,June,Qtr 2,2021,Furniture,
14,June,Qtr 2,2021,Furniture,3353.729
15,June,Qtr 2,2021,Furniture,
16,June,Qtr 2,2021,Furniture,
17,June,Qtr 2,2021,Furniture,1685.43
18,June,Qtr 2,2021,Furniture,
19,June,Qtr 2,2021,Furniture,
20,June,Qtr 2,2021,Furniture,219.258
21,June,Qtr 2,2021,Furniture,353.568
23,June,Qtr 2,2021,Furniture,
24,June,Qtr 2,2021,Furniture,
25,June,Qtr 2,2021,Furniture,540.016
26,June,Qtr 2,2021,Furniture,59.88
27,June,Qtr 2,2021,Furniture,539.658
28,June,Qtr 2,2021,Furniture,121.96
29,June,Qtr 2,2021,Furniture,
30,June,Qtr 2,2021,Furniture,1266.86
1,July,Qtr 3,2021,Furniture,23.076
2,July,Qtr 3,2021,Furniture,
3,July,Qtr 3,2021,Furniture,
4,July,Qtr 3,2021,Furniture,658.746
5,July,Qtr 3,2021,Furniture,506.444
6,July,Qtr 3,2021,Furniture,
7,July,Qtr 3,2021,Furniture,817.278
8,July,Qtr 3,2021,Furniture,
10,July,Qtr 3,2021,Furniture,
11,July,Qtr 3,2021,Furniture,1662.416
14,July,Qtr 3,2021,Furniture,661.686
15,July,Qtr 3,2021,Furniture,230.28
16,July,Qtr 3,2021,Furniture,9.552
17,July,Qtr 3,2021,Furniture,37.17
18,July,Qtr 3,2021,Furniture,1539.17
19,July,Qtr 3,2021,Furniture,690.48
20,July,Qtr 3,2021,Furniture,
21,July,Qtr 3,2021,Furniture,363.92
22,July,Qtr 3,2021,Furniture,39.068
23,July,Qtr 3,2021,Furniture,
24,July,Qtr 3,2021,Furniture,253.764
25,July,Qtr 3,2021,Furniture,3495.468
28,July,Qtr 3,2021,Furniture,504.87
29,July,Qtr 3,2021,Furniture,
30,July,Qtr 3,2021,Furniture,
31,July,Qtr 3,2021,Furniture,1136.068
1,August,Qtr 3,2021,Furniture,1565.88
2,August,Qtr 3,2021,Furniture,241.5
3,August,Qtr 3,2021,Furniture,215.96
4,August,Qtr 3,2021,Furniture,1024.208
5,August,Qtr 3,2021,Furniture,211.96
7,August,Qtr 3,2021,Furniture,662.88
8,August,Qtr 3,2021,Furniture,513.024
9,August,Qtr 3,2021,Furniture,3374.9816
10,August,Qtr 3,2021,Furniture,51.712
11,August,Qtr 3,2021,Furniture,993.9
12,August,Qtr 3,2021,Furniture,2698.454
13,August,Qtr 3,2021,Furniture,241.96
14,August,Qtr 3,2021,Furniture,
15,August,Qtr 3,2021,Furniture,537.326
16,August,Qtr 3,2021,Furniture,161.28
17,August,Qtr 3,2021,Furniture,
18,August,Qtr 3,2021,Furniture,14.896
19,August,Qtr 3,2021,Furniture,
20,August,Qtr 3,2021,Furniture,
21,August,Qtr 3,2021,Furniture,4275.522
22,August,Qtr 3,2021,Furniture,98.328
23,August,Qtr 3,2021,Furniture,555.312
26,August,Qtr 3,2021,Furniture,3262.232
27,August,Qtr 3,2021,Furniture,244.615
28,August,Qtr 3,2021,Furniture,156.3728
29,August,Qtr 3,2021,Furniture,405.8
30,August,Qtr 3,2021,Furniture,833.784
31,August,Qtr 3,2021,Furniture,
1,September,Qtr 3,2021,Furniture,15.168
2,September,Qtr 3,2021,Furniture,
3,September,Qtr 3,2021,Furniture,354.9
4,September,Qtr 3,2021,Furniture,556.665
5,September,Qtr 3,2021,Furniture,
6,September,Qtr 3,2021,Furniture,815.292
7,September,Qtr 3,2021,Furniture,573.286
8,September,Qtr 3,2021,Furniture,
9,September,Qtr 3,2021,Furniture,15.008
10,September,Qtr 3,2021,Furniture,502.4
11,September,Qtr 3,2021,Furniture,
12,September,Qtr 3,2021,Furniture,1136.834
13,September,Qtr 3,2021,Furniture,1336.44
14,September,Qtr 3,2021,Furniture,
15,September,Qtr 3,2021,Furniture,1128.39
16,September,Qtr 3,2021,Furniture,395.446
17,September,Qtr 3,2021,Furniture,430.008
18,September,Qtr 3,2021,Furniture,3218.74
19,September,Qtr 3,2021,Furniture,1599.324
20,September,Qtr 3,2021,Furniture,279.36
22,September,Qtr 3,2021,Furniture,100.672
23,September,Qtr 3,2021,Furniture,1114.426
24,September,Qtr 3,2021,Furniture,931.202
25,September,Qtr 3,2021,Furniture,1624.567
26,September,Qtr 3,2021,Furniture,1627.4805
27,September,Qtr 3,2021,Furniture,956.6648
28,September,Qtr 3,2021,Furniture,
29,September,Qtr 3,2021,Furniture,
30,September,Qtr 3,2021,Furniture,523.92
1,October,Qtr 4,2021,Furniture,104.77
3,October,Qtr 4,2021,Furniture,176.784
4,October,Qtr 4,2021,Furniture,
5,October,Qtr 4,2021,Furniture,
6,October,Qtr 4,2021,Furniture,1335.68
7,October,Qtr 4,2021,Furniture,
9,October,Qtr 4,2021,Furniture,300.93
10,October,Qtr 4,2021,Furniture,225.666
11,October,Qtr 4,2021,Furniture,1004.988
12,October,Qtr 4,2021,Furniture,1746.468
13,October,Qtr 4,2021,Furniture,1017.71
14,October,Qtr 4,2021,Furniture,102.592
15,October,Qtr 4,2021,Furniture,
16,October,Qtr 4,2021,Furniture,142.182
17,October,Qtr 4,2021,Furniture,241.646
18,October,Qtr 4,2021,Furniture,307.92
20,October,Qtr 4,2021,Furniture,504.922
21,October,Qtr 4,2021,Furniture,2012.76
22,October,Qtr 4,2021,Furniture,173.26
23,October,Qtr 4,2021,Furniture,16.156
24,October,Qtr 4,2021,Furniture,
25,October,Qtr 4,2021,Furniture,
27,October,Qtr 4,2021,Furniture,758.824
28,October,Qtr 4,2021,Furniture,1111.368
29,October,Qtr 4,2021,Furniture,67
30,October,Qtr 4,2021,Furniture,
31,October,Qtr 4,2021,Furniture,2265.725
1,November,Qtr 4,2021,Furniture,54.992
2,November,Qtr 4,2021,Furniture,
3,November,Qtr 4,2021,Furniture,351.262
5,November,Qtr 4,2021,Furniture,
6,November,Qtr 4,2021,Furniture,915.256
8,November,Qtr 4,2021,Furniture,
9,November,Qtr 4,2021,Furniture,
10,November,Qtr 4,2021,Furniture,
11,November,Qtr 4,2021,Furniture,3472.65
12,November,Qtr 4,2021,Furniture,2461.796
13,November,Qtr 4,2021,Furniture,54.08
14,November,Qtr 4,2021,Furniture,856.56
15,November,Qtr 4,2021,Furniture,630.024
16,November,Qtr 4,2021,Furniture,
17,November,Qtr 4,2021,Furniture,
18,November,Qtr 4,2021,Furniture,557.068
19,November,Qtr 4,2021,Furniture,34.288
20,November,Qtr 4,2021,Furniture,702.036
21,November,Qtr 4,2021,Furniture,514.21
22,November,Qtr 4,2021,Furniture,39.88
23,November,Qtr 4,2021,Furniture,84.816
24,November,Qtr 4,2021,Furniture,2324.632
25,November,Qtr 4,2021,Furniture,1762.962
26,November,Qtr 4,2021,Furniture,4315.22
27,November,Qtr 4,2021,Furniture,362.583
28,November,Qtr 4,2021,Furniture,530.472
29,November,Qtr 4,2021,Furniture,242.176
30,November,Qtr 4,2021,Furniture,389.97
2,December,Qtr 4,2021,Furniture,
3,December,Qtr 4,2021,Furniture,770.352
4,December,Qtr 4,2021,Furniture,1176.56
5,December,Qtr 4,2021,Furniture,10.02
6,December,Qtr 4,2021,Furniture,433.396
7,December,Qtr 4,2021,Furniture,
8,December,Qtr 4,2021,Furniture,917.2045
9,December,Qtr 4,2021,Furniture,1679.872
11,December,Qtr 4,2021,Furniture,4158.352
12,December,Qtr 4,2021,Furniture,477.47
13,December,Qtr 4,2021,Furniture,1114.272
14,December,Qtr 4,2021,Furniture,611.724
15,December,Qtr 4,2021,Furniture,2231.895
16,December,Qtr 4,2021,Furniture,563.92
17,December,Qtr 4,2021,Furniture,2003.52
18,December,Qtr 4,2021,Furniture,1183.99
19,December,Qtr 4,2021,Furniture,759.89
20,December,Qtr 4,2021,Furniture,18.92
22,December,Qtr 4,2021,Furniture,919.304
23,December,Qtr 4,2021,Furniture,1002.84
24,December,Qtr 4,2021,Furniture,843.52
25,December,Qtr 4,2021,Furniture,6636.863
26,December,Qtr 4,2021,Furniture,1262.004
27,December,Qtr 4,2021,Furniture,845.488
29,December,Qtr 4,2021,Furniture,825.01
30,December,Qtr 4,2021,Furniture,170.786
31,December,Qtr 4,2021,Furniture,
1,January,Qtr 1,2022,Furniture,975.49
4,January,Qtr 1,2022,Furniture,828.966
5,January,Qtr 1,2022,Furniture,4051.534
6,January,Qtr 1,2022,Furniture,1925.88
7,January,Qtr 1,2022,Furniture,
8,January,Qtr 1,2022,Furniture,
9,January,Qtr 1,2022,Furniture,896.72
10,January,Qtr 1,2022,Furniture,559.76
11,January,Qtr 1,2022,Furniture,2665.62
12,January,Qtr 1,2022,Furniture,2542.292
13,January,Qtr 1,2022,Furniture,212.94
14,January,Qtr 1,2022,Furniture,18.96
15,January,Qtr 1,2022,Furniture,
16,January,Qtr 1,2022,Furniture,730.262
19,January,Qtr 1,2022,Furniture,919.239
20,January,Qtr 1,2022,Furniture,207.846
21,January,Qtr 1,2022,Furniture,84.98
22,January,Qtr 1,2022,Furniture,
23,January,Qtr 1,2022,Furniture,210.98
24,January,Qtr 1,2022,Furniture,
26,January,Qtr 1,2022,Furniture,62.72
27,January,Qtr 1,2022,Furniture,
28,January,Qtr 1,2022,Furniture,37.74
29,January,Qtr 1,2022,Furniture,14.91
30,January,Qtr 1,2022,Furniture,643.875
1,February,Qtr 1,2022,Furniture,913.43
2,February,Qtr 1,2022,Furniture,296.84
3,February,Qtr 1,2022,Furniture,441.96
4,February,Qtr 1,2022,Furniture,436.91
5,February,Qtr 1,2022,Furniture,129.93
6,February,Qtr 1,2022,Furniture,
7,February,Qtr 1,2022,Furniture,
9,February,Qtr 1,2022,Furniture,2527.552
10,February,Qtr 1,2022,Furniture,2758.464
11,February,Qtr 1,2022,Furniture,1159.624
12,February,Qtr 1,2022,Furniture,3527.504
13,February,Qtr 1,2022,Furniture,107.53
16,February,Qtr 1,2022,Furniture,608.25
17,February,Qtr 1,2022,Furniture,1955.5704
18,February,Qtr 1,2022,Furniture,
19,February,Qtr 1,2022,Furniture,44.67
20,February,Qtr 1,2022,Furniture,477.844
21,February,Qtr 1,2022,Furniture,
23,February,Qtr 1,2022,Furniture,
24,February,Qtr 1,2022,Furniture,
25,February,Qtr 1,2022,Furniture,428.704
26,February,Qtr 1,2022,Furniture,984.184
28,February,Qtr 1,2022,Furniture,
1,March,Qtr 1,2022,Furniture,
2,March,Qtr 1,2022,Furniture,22.2
3,March,Qtr 1,2022,Furniture,751.004
4,March,Qtr 1,2022,Furniture,25.472
5,March,Qtr 1,2022,Furniture,405.918
6,March,Qtr 1,2022,Furniture,661.504
7,March,Qtr 1,2022,Furniture,1016.678
8,March,Qtr 1,2022,Furniture,307.332
9,March,Qtr 1,2022,Furniture,620.631
10,March,Qtr 1,2022,Furniture,255.208
11,March,Qtr 1,2022,Furniture,2524.05
12,March,Qtr 1,2022,Furniture,591.84
13,March,Qtr 1,2022,Furniture,89.768
14,March,Qtr 1,2022,Furniture,
16,March,Qtr 1,2022,Furniture,51.264
17,March,Qtr 1,2022,Furniture,
18,March,Qtr 1,2022,Furniture,82.524
19,March,Qtr 1,2022,Furniture,728.09
20,March,Qtr 1,2022,Furniture,2.91
21,March,Qtr 1,2022,Furniture,1828.02
23,March,Qtr 1,2022,Furniture,211.84
24,March,Qtr 1,2022,Furniture,479.61
25,March,Qtr 1,2022,Furniture,1986.52
26,March,Qtr 1,2022,Furniture,318.408
27,March,Qtr 1,2022,Furniture,2142.244
28,March,Qtr 1,2022,Furniture,48.04
29,March,Qtr 1,2022,Furniture,
30,March,Qtr 1,2022,Furniture,94.2
31,March,Qtr 1,2022,Furniture,296.1128
2,April,Qtr 2,2022,Furniture,
3,April,Qtr 2,2022,Furniture,103.5
4,April,Qtr 2,2022,Furniture,
5,April,Qtr 2,2022,Furniture,300.904
6,April,Qtr 2,2022,Furniture,62.32
8,April,Qtr 2,2022,Furniture,
9,April,Qtr 2,2022,Furniture,3722.982
10,April,Qtr 2,2022,Furniture,19.98
11,April,Qtr 2,2022,Furniture,523.764
12,April,Qtr 2,2022,Furniture,992.782
13,April,Qtr 2,2022,Furniture,436.704
14,April,Qtr 2,2022,Furniture,515.074
15,April,Qtr 2,2022,Furniture,196.45
16,April,Qtr 2,2022,Furniture,102.833
17,April,Qtr 2,2022,Furniture,278.664
20,April,Qtr 2,2022,Furniture,470.394
21,April,Qtr 2,2022,Furniture,1071.42
22,April,Qtr 2,2022,Furniture,272.632
23,April,Qtr 2,2022,Furniture,567.252
24,April,Qtr 2,2022,Furniture,
25,April,Qtr 2,2022,Furniture,344.981
26,April,Qtr 2,2022,Furniture,1.988
27,April,Qtr 2,2022,Furniture,359.8456
28,April,Qtr 2,2022,Furniture,
29,April,Qtr 2,2022,Furniture,1048.35
30,April,Qtr 2,2022,Furniture,309.344
2,May,Qtr 2,2022,Furniture,
3,May,Qtr 2,2022,Furniture,
5,May,Qtr 2,2022,Furniture,89.991
6,May,Qtr 2,2022,Furniture,
7,May,Qtr 2,2022,Furniture,332.028
8,May,Qtr 2,2022,Furniture,
9,May,Qtr 2,2022,Furniture,
10,May,Qtr 2,2022,Furniture,935.802
11,May,Qtr 2,2022,Furniture,396.024
12,May,Qtr 2,2022,Furniture,321.48
13,May,Qtr 2,2022,Furniture,458.43
14,May,Qtr 2,2022,Furniture,1179.67
15,May,Qtr 2,2022,Furniture,303.544
16,May,Qtr 2,2022,Furniture,
18,May,Qtr 2,2022,Furniture,342
19,May,Qtr 2,2022,Furniture,2624.58
20,May,Qtr 2,2022,Furniture,525.252
21,May,Qtr 2,2022,Furniture,520.05
22,May,Qtr 2,2022,Furniture,181.986
23,May,Qtr 2,2022,Furniture,171.288
25,May,Qtr 2,2022,Furniture,18.84
26,May,Qtr 2,2022,Furniture,
27,May,Qtr 2,2022,Furniture,512.3
28,May,Qtr 2,2022,Furniture,799.689
29,May,Qtr 2,2022,Furniture,71.664
30,May,Qtr 2,2022,Furniture,468.2284
1,June,Qtr 2,2022,Furniture,
2,June,Qtr 2,2022,Furniture,600.754
3,June,Qtr 2,2022,Furniture,71.97
4,June,Qtr 2,2022,Furniture,
5,June,Qtr 2,2022,Furniture,623.4648
6,June,Qtr 2,2022,Furniture,4.95
7,June,Qtr 2,2022,Furniture,361.376
8,June,Qtr 2,2022,Furniture,161.14
10,June,Qtr 2,2022,Furniture,41.96
11,June,Qtr 2,2022,Furniture,2681.362
12,June,Qtr 2,2022,Furniture,
13,June,Qtr 2,2022,Furniture,761.438
15,June,Qtr 2,2022,Furniture,928.208
16,June,Qtr 2,2022,Furniture,1514.92
17,June,Qtr 2,2022,Furniture,155.25
18,June,Qtr 2,2022,Furniture,917.9235
19,June,Qtr 2,2022,Furniture,1306.705
20,June,Qtr 2,2022,Furniture,
21,June,Qtr 2,2022,Furniture,17.92
22,June,Qtr 2,2022,Furniture,487.96
24,June,Qtr 2,2022,Furniture,449.454
25,June,Qtr 2,2022,Furniture,1272.184
26,June,Qtr 2,2022,Furniture,800.002
27,June,Qtr 2,2022,Furniture,317.946
29,June,Qtr 2,2022,Furniture,1381.2932
30,June,Qtr 2,2022,Furniture,2105.661
1,July,Qtr 3,2022,Furniture,
3,July,Qtr 3,2022,Furniture,
4,July,Qtr 3,2022,Furniture,1112.5465
5,July,Qtr 3,2022,Furniture,1962.09
7,July,Qtr 3,2022,Furniture,87.21
8,July,Qtr 3,2022,Furniture,258.934
9,July,Qtr 3,2022,Furniture,470.688
10,July,Qtr 3,2022,Furniture,462.43
11,July,Qtr 3,2022,Furniture,623.322
12,July,Qtr 3,2022,Furniture,82.38
13,July,Qtr 3,2022,Furniture,91.008
14,July,Qtr 3,2022,Furniture,692.45
15,July,Qtr 3,2022,Furniture,1847.529
16,July,Qtr 3,2022,Furniture,313.724
17,July,Qtr 3,2022,Furniture,1241.149
18,July,Qtr 3,2022,Furniture,1473.888
20,July,Qtr 3,2022,Furniture,539.416
21,July,Qtr 3,2022,Furniture,661.44
22,July,Qtr 3,2022,Furniture,526.344
23,July,Qtr 3,2022,Furniture,
24,July,Qtr 3,2022,Furniture,
25,July,Qtr 3,2022,Furniture,456.8
26,July,Qtr 3,2022,Furniture,362.352
27,July,Qtr 3,2022,Furniture,324.65
28,July,Qtr 3,2022,Furniture,
29,July,Qtr 3,2022,Furniture,418.63
30,July,Qtr 3,2022,Furniture,
31,July,Qtr 3,2022,Furniture,36.96
1,August,Qtr 3,2022,Furniture,892.98
3,August,Qtr 3,2022,Furniture,
4,August,Qtr 3,2022,Furniture,637.14
5,August,Qtr 3,2022,Furniture,176.05
6,August,Qtr 3,2022,Furniture,1497.666
7,August,Qtr 3,2022,Furniture,484.1
9,August,Qtr 3,2022,Furniture,1000.239
