Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Sales),Sum(Orders.Profit)
Technology,Phones,3293,330918.47799999977,44584.08739999995
Technology,Machines,440,189238.63100000002,3384.7569000000076
Technology,Accessories,2976,167380.31799999988,41936.63569999996
Technology,Copiers,234,149528.02999999997,55617.824900000014
Furniture,Chairs,2356,328449.1030000002,26590.166300000026
Furniture,Tables,1241,206965.53200000006,-17725.481100000015
Furniture,Bookcases,868,114879.99629999988,-3472.556000000005
Furniture,Furnishings,3563,91705.16399999987,13059.143600000021
Office Supplies,Storage,3164,224509.48800000007,21292.144
Office Supplies,Binders,5980,203823.25299999985,30350.53950000004
Office Supplies,Appliances,1734,107600.97100000009,18014.1474
Office Supplies,Paper,5181,78494.75800000002,34059.01250000001
Office Supplies,Supplies,647,46673.53799999998,-1189.0995000000003
Office Supplies,Art,3000,27118.79199999999,6527.787000000006
Office Supplies,Envelopes,906,16476.402000000002,6964.176699999991
Office Supplies,Labels,1400,12486.312000000016,5546.253999999997
Office Supplies,Fasteners,914,3024.28,949.5181999999995
