Category,Sub-Category,Segment,Region,Value Column Name,Value
"Technology","Copiers","Consumer","Central","Sum of Profit","1482.9615999999999"
"Technology","Copiers","Consumer","East","Sum of Profit","8657.932499999995"
"Technology","Copiers","Consumer","South","Sum of Profit","1783.9451999999999"
"Technology","Copiers","Consumer","West","Sum of Profit","12158.871299999995"
"Technology","Copiers","Corporate","Central","Sum of Profit","12789.904299999998"
"Technology","Copiers","Corporate","East","Sum of Profit","1134.9764999999998"
"Technology","Copiers","Corporate","South","Sum of Profit","1874.9615000000001"
"Technology","Copiers","Corporate","West","Sum of Profit","3190.4365999999995"
"Technology","Copiers","Home Office","Central","Sum of Profit","1335.9754"
"Technology","Copiers","Home Office","East","Sum of Profit","7229.9328"
"Technology","Copiers","Home Office","South","Sum of Profit",
"Technology","Copiers","Home Office","West","Sum of Profit","3977.927199999999"
"Technology","Phones","Consumer","Central","Sum of Profit","6416.019599999999"
"Technology","Phones","Consumer","East","Sum of Profit","7328.253600000001"
"Technology","Phones","Consumer","South","Sum of Profit","5623.911800000001"
"Technology","Phones","Consumer","West","Sum of Profit","4468.929700000001"
"Technology","Phones","Corporate","Central","Sum of Profit","2391.2796999999996"
"Technology","Phones","Corporate","East","Sum of Profit","3129.6182999999987"
"Technology","Phones","Corporate","South","Sum of Profit","3680.2119999999995"
"Technology","Phones","Corporate","West","Sum of Profit","2565.1096000000016"
"Technology","Phones","Home Office","Central","Sum of Profit","3515.7274000000007"
"Technology","Phones","Home Office","East","Sum of Profit","1856.814099999999"
"Technology","Phones","Home Office","South","Sum of Profit","1463.1515"
"Technology","Phones","Home Office","West","Sum of Profit","2076.7033"
"Technology","Accessories","Consumer","Central","Sum of Profit","3743.3858999999993"
"Technology","Accessories","Consumer","East","Sum of Profit","5240.0783"
"Technology","Accessories","Consumer","South","Sum of Profit","2788.307200000001"
"Technology","Accessories","Consumer","West","Sum of Profit","8964.1511"
"Technology","Accessories","Corporate","Central","Sum of Profit","1462.9337"
"Technology","Accessories","Corporate","East","Sum of Profit","2933.591099999999"
"Technology","Accessories","Corporate","South","Sum of Profit","3085.4776999999995"
"Technology","Accessories","Corporate","West","Sum of Profit","5225.477999999998"
"Technology","Accessories","Home Office","Central","Sum of Profit","2045.3110000000004"
"Technology","Accessories","Home Office","East","Sum of Profit","3022.1949999999997"
"Technology","Accessories","Home Office","South","Sum of Profit","1130.7574999999997"
"Technology","Accessories","Home Office","West","Sum of Profit","2294.9692"
"Technology","Machines","Consumer","Central","Sum of Profit","-1667.028000000002"
"Technology","Machines","Consumer","East","Sum of Profit","-1296.0850000000046"
"Technology","Machines","Consumer","South","Sum of Profit","2910.5588"
"Technology","Machines","Consumer","West","Sum of Profit","2193.6159999999986"
"Technology","Machines","Corporate","Central","Sum of Profit","-361.50440000000134"
"Technology","Machines","Corporate","East","Sum of Profit","2624.6022999999996"
"Technology","Machines","Corporate","South","Sum of Profit","-2520.117899999999"
"Technology","Machines","Corporate","West","Sum of Profit","960.0389999999994"
"Technology","Machines","Home Office","Central","Sum of Profit","542.4657999999998"
