Table5.Year,Table5.Region,Table5.Country,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.FC),Sum(Table5.AC)
2018,Americas,Brazil,-44000,273000,160000,280000
2019,Americas,Brazil,238000,309000,242000,367000
2018,Americas,USA,341000,133000,242000,275000
2019,Americas,USA,286000,259000,392000,321000
2018,Americas,Canada,-18000,166000,251000,279000
2019,Americas,Canada,232000,229000,291000,236000
2018,Americas,Other,93000,,147000,67000
2019,Americas,Other,85000,37000,113000,125000
2018,Europe,Belgium,173000,235000,211000,198000
2019,Europe,Belgium,240000,113000,191000,227000
2018,Europe,Poland,182000,173000,221000,180000
2019,Europe,Poland,272000,173000,171000,239000
2018,Europe,Sweden,345000,247000,325000,
2019,Europe,Sweden,319000,246000,215000,340000
2018,Europe,Germany,100000,126000,84000,91000
2019,Europe,Germany,190000,232000,116000,219000
2018,Europe,France,0,0,170000,0
2019,Europe,France,152000,158000,142000,175000
2018,Europe,Other,0,131000,129000,41000
2019,Europe,Other,50000,45000,102000,83000
2018,Asia-Pacific,Japan,187000,265000,410000,249000
2019,Asia-Pacific,Japan,279000,300000,221000,229000
2018,Asia-Pacific,China,318000,237000,413000,287000
2019,Asia-Pacific,China,321000,295000,256000,145000
2018,Asia-Pacific,Australia,180000,310000,295000,335000
2019,Asia-Pacific,Australia,217000,139000,269000,80000
2018,Asia-Pacific,Other,78000,52000,55000,78000
2019,Asia-Pacific,Other,66000,41000,87000,69000
