Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Sum(Orders.Discount)
Central,Technology,Phones,713,12323.026700000004,200,72403.28199999996,24.399999999999945
East,Technology,Phones,982,12314.685999999994,272,100614.98200000008,43.59999999999991
South,Technology,Phones,526,10767.275300000007,140,58304.43799999998,13.999999999999982
West,Technology,Phones,1072,9179.099400000003,278,99595.77600000003,55.60000000000025
Central,Technology,Machines,66,-1486.0666000000037,21,26797.384,6.8999999999999995
East,Technology,Machines,165,6928.642899999998,37,66106.165,10.499999999999998
South,Technology,Machines,62,-1438.8930000000028,18,53890.96,6
West,Technology,Machines,147,-618.9264000000023,39,42444.122,11.799999999999999
Central,Technology,Accessories,716,7251.630600000004,183,33956.07600000001,22.79999999999995
East,Technology,Accessories,724,11195.8644,206,45033.37199999999,17.59999999999997
South,Technology,Accessories,504,7004.542399999999,128,27276.753999999983,10.999999999999993
West,Technology,Accessories,1032,16484.598299999994,258,61114.11600000001,9.399999999999999
Central,Technology,Copiers,49,15608.841299999996,16,37259.57,1.7999999999999998
East,Technology,Copiers,71,17022.841799999995,20,53219.46199999999,5
South,Technology,Copiers,26,3658.9067,7,9299.756000000001,0.6000000000000001
West,Technology,Copiers,88,19327.235099999998,25,49749.24199999999,3.600000000000001
Central,Furniture,Chairs,615,6592.722100000003,154,85230.64599999994,29.70000000000005
East,Furniture,Chairs,676,9357.77059999999,168,96260.683,25.300000000000054
South,Furniture,Chairs,331,6612.0893000000015,88,45176.445999999974,8.600000000000001
West,Furniture,Chairs,734,4027.584299999993,207,101781.32799999994,41.40000000000005
Central,Furniture,Tables,262,-3559.6504000000027,72,39154.97099999998,18.900000000000016
East,Furniture,Tables,271,-11025.380100000006,80,39139.80699999999,29.89999999999998
South,Furniture,Tables,227,-4623.0579000000025,51,43916.19199999999,11.350000000000001
West,Furniture,Tables,481,1482.6072999999951,116,84754.562,23.19999999999998
Central,Furniture,Bookcases,192,-1997.9043000000006,50,24157.176799999994,11.640000000000008
East,Furniture,Bookcases,252,-1167.6318000000008,70,43819.33399999997,15.4
South,Furniture,Bookcases,118,1339.4917999999996,28,10899.361999999997,2.8000000000000003
West,Furniture,Bookcases,306,-1646.5117000000016,80,36004.1235,18.3
Central,Furniture,Furnishings,758,-3906.2168000000006,205,15254.369999999979,82.79999999999993
East,Furniture,Furnishings,1015,5881.4071,283,29071.37999999999,21.999999999999954
South,Furniture,Furnishings,615,3442.6829000000007,165,17306.68400000001,17.59999999999997
West,Furniture,Furnishings,1175,7641.270400000003,304,30072.72999999998,9.999999999999996
Central,Office Supplies,Storage,730,1983.154099999998,211,46595.99200000001,25.99999999999994
East,Office Supplies,Storage,907,8389.371199999985,242,71612.584,17.19999999999997
South,Office Supplies,Storage,488,2274.296499999999,128,35768.06,11.79999999999999
West,Office Supplies,Storage,1039,8645.322199999995,266,70532.85200000001,8.200000000000003
Central,Office Supplies,Binders,1476,-1047.4529000000293,367,56925.82599999997,187.20000000000007
East,Office Supplies,Binders,1652,11267.934599999993,440,53497.99700000003,155.50000000000006
South,Office Supplies,Binders,981,3900.664000000001,246,37030.34100000003,92.40000000000022
West,Office Supplies,Binders,1871,16229.393799999983,472,56369.089000000014,132.90000000000018
Central,Office Supplies,Appliances,475,-2762.4755,124,23650.842999999997,55.99999999999994
East,Office Supplies,Appliances,474,8391.4134,126,34188.466,9.2
South,Office Supplies,Appliances,293,4123.939600000001,81,19525.325999999997,9
West,Office Supplies,Appliances,492,8261.269900000001,136,30236.335999999978,4.200000000000001
Central,Office Supplies,Paper,1225,6971.900499999996,321,17491.90199999999,41.40000000000005
East,Office Supplies,Paper,1400,9015.370999999994,378,20172.601999999988,24.399999999999945
South,Office Supplies,Paper,854,5952.5045999999975,222,14166.535999999995,22.79999999999995
West,Office Supplies,Paper,1702,12119.236399999996,450,26663.71799999999,14.199999999999982
Central,Office Supplies,Supplies,122,-661.8881000000002,36,9467.372000000003,5.200000000000002
East,Office Supplies,Supplies,195,-1155.1351999999997,56,10760.115999999998,3.800000000000001
South,Office Supplies,Supplies,92,1.877300000000048,29,8318.928,3.0000000000000004
West,Office Supplies,Supplies,238,626.0464999999994,69,18127.122,2.6
Central,Office Supplies,Art,678,1195.1590999999994,176,5765.339999999998,21.599999999999955
East,Office Supplies,Art,849,1899.944300000001,228,7485.763999999997,15.799999999999976
South,Office Supplies,Art,547,1058.5865999999987,142,4655.622000000001,14.39999999999998
West,Office Supplies,Art,926,2374.0969999999993,250,9212.066000000004,7.800000000000004
Central,Office Supplies,Envelopes,206,1777.5282999999997,59,4636.872000000001,7.600000000000004
East,Office Supplies,Envelopes,267,1812.4089999999994,74,4375.874,6.000000000000003
South,Office Supplies,Envelopes,206,1465.4769999999999,54,3345.5560000000014,4.000000000000001
West,Office Supplies,Envelopes,227,1908.7623999999998,67,4118.1,2.8000000000000003
Central,Office Supplies,Labels,284,1073.0794,76,2451.471999999999,8.600000000000001
East,Office Supplies,Labels,420,1129.2800000000002,107,2602.933999999999,7.200000000000004
South,Office Supplies,Labels,216,1040.7722999999999,65,2353.1799999999994,7.0000000000000036
West,Office Supplies,Labels,480,2303.1222999999995,116,5078.726000000002,2.1999999999999997
Central,Office Supplies,Fasteners,227,236.61859999999993,55,778.0300000000003,7.400000000000004
East,Office Supplies,Fasteners,298,263.9908,61,819.7179999999998,5.600000000000002
South,Office Supplies,Fasteners,126,173.7181,29,503.31599999999986,2.4
West,Office Supplies,Fasteners,263,275.1907,72,923.2160000000002,2.4
