Orders.Region,Orders.Country,Sum(Orders.Sales),Sum(Orders.Profit),Orders.Category,Orders.Sub-Category
Central,United States,72216.26653249566,83680.526365294909,Technology,Copiers
East,United States,56196.28298688858,49015.2909,Technology,Copiers
South,United States,3493.377,0651.0249,Technology,Copiers
West,United States,48017.045544164725,14207.776575173014,Technology,Copiers
Central,United States,33257.692,93316.5700,Technology,Phones
East,United States,732955.9234761622,24292.106603183748,Technology,Phones
South,United States,30236.641206695793,90673.675932834752,Technology,Phones
West,United States,06907.53043430194,7351.097590258467,Technology,Phones
Central,United States,37095.261,6474.893948915022,Technology,Accessories
East,United States,19439.393414817203,13969.2669,Technology,Accessories
South,United States,57228.592018438840,3613.173807869463,Technology,Accessories
West,United States,93108.55225803892,00835.90052692734,Technology,Accessories
Central,United States,36200.560,87606.7690311759513,Technology,Machines
East,United States,64779.072,9954.324163572558,Technology,Machines
South,United States,41836.60447803663,40580.9054304449363,Technology,Machines
West,United States,89130.758,0145.0219232179156,Technology,Machines
Central,United States,01754.289146307317,7967.011519325475,Office Supplies,Paper
East,United States,11448.23534589070,0806.336639510594,Office Supplies,Paper
South,United States,93523.228480344335,1774.087383051320,Office Supplies,Paper
West,United States,70549.38794832551,45801.73586975846,Office Supplies,Paper
Central,United States,88572.52977052859,49553.8354348867365,Office Supplies,Binders
East,United States,58941.59639916707,60851.556486577731,Office Supplies,Binders
South,United States,10405.35597353844,3779.2280363089932,Office Supplies,Binders
West,United States,80902.835536239672,49581.46013162873,Office Supplies,Binders
Central,United States,72752.959762921852,0084.9708529637641,Office Supplies,Storage
East,United States,84687.82476102278,2987.80973650413,Office Supplies,Storage
South,United States,60680.445679684786,4769.263978806302,Office Supplies,Storage
West,United States,43610.04875467609,9320.633734200069,Office Supplies,Storage
Central,United States,54722.28752634908,34294.066031013908,Office Supplies,Appliances
East,United States,93431.30523332515,1739.5114,Office Supplies,Appliances
South,United States,06338.694932828715,0353.888348284574,Office Supplies,Appliances
West,United States,05742.619504849603,2885.659376230041,Office Supplies,Appliances
Central,United States,6209.046,4466.4392158259521,Office Supplies,Envelopes
East,United States,7093.896,7835.4794943557386,Office Supplies,Envelopes
South,United States,7868.1698305306393,7279.2777883894567,Office Supplies,Envelopes
West,United States,5707.2,8605.2425,Office Supplies,Envelopes
Central,United States,5685.492083335105,7979.8378090934329,Office Supplies,Art
East,United States,4363.5343658797687,7398.751152584967,Office Supplies,Art
South,United States,8498.083159354519,6111.7415911717803,Office Supplies,Art
West,United States,3020.602655855932,0401.2969890344152,Office Supplies,Art
Central,United States,4841.636,4846.5041424843199,Office Supplies,Labels
East,United States,8966.5887501802159,1480.33,Office Supplies,Labels
South,United States,6202.6265988071148,8091.7558635635808,Office Supplies,Labels
West,United States,3148.8727718752931,3260.0803325098379,Office Supplies,Labels
Central,United States,397.1913425966328,451.56591451664211,Office Supplies,Fasteners
East,United States,920.6227815470754,103.04772285471225,Office Supplies,Fasteners
South,United States,213.88792202279820,130.36551697408440,Office Supplies,Fasteners
West,United States,174.160,400.7069,Office Supplies,Fasteners
Central,United States,0096.221,6484.2600650869934,Office Supplies,Supplies
East,United States,66122.582,91103.6686,Office Supplies,Supplies
South,United States,2843.524,1.6208543451310907,Office Supplies,Supplies
West,United States,86668.464308876841,558.3253490752307,Office Supplies,Supplies
Central,United States,64950.90242812533,3058.853234431572,Furniture,Chairs
East,United States,15197.741,3410.716782411717,Furniture,Chairs
South,United States,27000.71168755664,2326.3610,Furniture,Chairs
West,United States,859598.06155058673,7604.746227270475,Furniture,Chairs
Central,United States,12568.207397702122,05878.7028191619961,Furniture,Furnishings
East,United States,09114.93084255216,0710.312798213877,Furniture,Furnishings
South,United States,13363.618,3095.3312849961091,Furniture,Furnishings
West,United States,15612.13360208001,6546.589122067971,Furniture,Furnishings
Central,United States,58854.435688622344,91675.3894517320834,Furniture,Bookcases
East,United States,83262.45863826305,99413.6128383411664,Furniture,Bookcases
South,United States,09257.104,4674.0107186931427,Furniture,Bookcases
West,United States,40858.853672455421,21123.7725455886482,Furniture,Bookcases
Central,United States,90557.33971405913,84963.269920301105,Furniture,Tables
East,United States,51583.01784433662,163594.853384101643,Furniture,Tables
South,United States,38329.571,57817.875998617436,Furniture,Tables
West,United States,34599.41318186541,9414.1830402829975,Furniture,Tables
