Orders.Sub-Category,Orders.Category,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Sum(Orders.Sales)
Bookcases,Furniture,Qtr 1,January,5352.3586
Chairs,Furniture,Qtr 1,January,11285.169000000002
Furnishings,Furniture,Qtr 1,January,3979.6220000000003
Tables,Furniture,Qtr 1,January,10952.092
Appliances,Office Supplies,Qtr 1,January,3176.2439999999997
Art,Office Supplies,Qtr 1,January,914.3699999999999
Binders,Office Supplies,Qtr 1,January,12214.201
Envelopes,Office Supplies,Qtr 1,January,749.8960000000001
Fasteners,Office Supplies,Qtr 1,January,87.66
Labels,Office Supplies,Qtr 1,January,206.66600000000003
Paper,Office Supplies,Qtr 1,January,2263.6219999999994
Storage,Office Supplies,Qtr 1,January,9217.802000000001
Supplies,Office Supplies,Qtr 1,January,4403.37
Accessories,Technology,Qtr 1,January,5477.906
Copiers,Technology,Qtr 1,January,3959.9179999999997
Machines,Technology,Qtr 1,January,7214.631
Phones,Technology,Qtr 1,January,13469.308000000005
Bookcases,Furniture,Qtr 1,February,1649.6234
Chairs,Furniture,Qtr 1,February,7582.9400000000005
Furnishings,Furniture,Qtr 1,February,2315.6739999999995
Tables,Furniture,Qtr 1,February,4217.683
Appliances,Office Supplies,Qtr 1,February,4932.986000000001
Art,Office Supplies,Qtr 1,February,1117.5140000000001
Binders,Office Supplies,Qtr 1,February,4236.981
Envelopes,Office Supplies,Qtr 1,February,668.566
Fasteners,Office Supplies,Qtr 1,February,159.312
Labels,Office Supplies,Qtr 1,February,299.882
Paper,Office Supplies,Qtr 1,February,2812.658000000001
Storage,Office Supplies,Qtr 1,February,6124.663999999999
Supplies,Office Supplies,Qtr 1,February,289.35
Accessories,Technology,Qtr 1,February,5369.276000000001
Copiers,Technology,Qtr 1,February,
Machines,Technology,Qtr 1,February,8989.934000000001
Phones,Technology,Qtr 1,February,8984.207999999999
Bookcases,Furniture,Qtr 1,March,7351.915800000001
Chairs,Furniture,Qtr 1,March,21344.327000000005
Furnishings,Furniture,Qtr 1,March,5159.046
Tables,Furniture,Qtr 1,March,16912.986999999997
Appliances,Office Supplies,Qtr 1,March,6733.628
Art,Office Supplies,Qtr 1,March,1301.9739999999995
Binders,Office Supplies,Qtr 1,March,13888.735
Envelopes,Office Supplies,Qtr 1,March,1656.518
Fasteners,Office Supplies,Qtr 1,March,149.636
Labels,Office Supplies,Qtr 1,March,940.108
Paper,Office Supplies,Qtr 1,March,6285.532
Storage,Office Supplies,Qtr 1,March,14792.767999999996
Supplies,Office Supplies,Qtr 1,March,10636.743999999999
Accessories,Technology,Qtr 1,March,8766.637999999999
Copiers,Technology,Qtr 1,March,25589.736
Machines,Technology,Qtr 1,March,35051.904
Phones,Technology,Qtr 1,March,28443.292
Bookcases,Furniture,Qtr 2,April,4720.480599999999
Chairs,Furniture,Qtr 2,April,18526.585
Furnishings,Furniture,Qtr 2,April,7538.361999999999
Tables,Furniture,Qtr 2,April,9913.155999999999
Appliances,Office Supplies,Qtr 2,April,6041.785999999999
Art,Office Supplies,Qtr 2,April,2407.1600000000008
Binders,Office Supplies,Qtr 2,April,13364.853999999998
Envelopes,Office Supplies,Qtr 2,April,945.282
Fasteners,Office Supplies,Qtr 2,April,258.404
Labels,Office Supplies,Qtr 2,April,430.032
Paper,Office Supplies,Qtr 2,April,3964.1439999999993
Storage,Office Supplies,Qtr 2,April,15805.663999999995
Supplies,Office Supplies,Qtr 2,April,6215.9439999999995
Accessories,Technology,Qtr 2,April,7951.708
Copiers,Technology,Qtr 2,April,3879.892
Machines,Technology,Qtr 2,April,18189.763
Phones,Technology,Qtr 2,April,17608.912
Bookcases,Furniture,Qtr 2,May,6289.5817
Chairs,Furniture,Qtr 2,May,25893.829999999998
Furnishings,Furniture,Qtr 2,May,6893.428000000003
Tables,Furniture,Qtr 2,May,9288.291
Appliances,Office Supplies,Qtr 2,May,7525.95
Art,Office Supplies,Qtr 2,May,2230.8300000000004
Binders,Office Supplies,Qtr 2,May,9159.443999999996
Envelopes,Office Supplies,Qtr 2,May,1096.06
Fasteners,Office Supplies,Qtr 2,May,109.30199999999999
Labels,Office Supplies,Qtr 2,May,863.118
Paper,Office Supplies,Qtr 2,May,6213.21
Storage,Office Supplies,Qtr 2,May,14669.976000000002
Supplies,Office Supplies,Qtr 2,May,1153.636
Accessories,Technology,Qtr 2,May,9613.099999999999
Copiers,Technology,Qtr 2,May,18399.79
Machines,Technology,Qtr 2,May,11267.722999999998
Phones,Technology,Qtr 2,May,24361.541999999994
Bookcases,Furniture,Qtr 2,June,9147.6293
Chairs,Furniture,Qtr 2,June,21523.367
Furnishings,Furniture,Qtr 2,June,5923.473999999999
Tables,Furniture,Qtr 2,June,16404.992999999995
