30ColumnData.Column.Variation.Date Hierarchy.Month,30ColumnData.Column.Variation.Date Hierarchy.Year,30ColumnData.Cameras,30ColumnData.Books,Sum(30ColumnData.Series 2)
January,2021,Cameras.0000,Books.0000,8349021.029617399
February,2021,Cameras.0000,Books.0000,7732878.693681898
March,2021,Cameras.0000,Books.0000,7774721.934286301
April,2021,Cameras.0000,Books.0000,7919211.787519203
May,2021,Cameras.0000,Books.0000,8375327.947497998
June,2021,Cameras.0000,Books.0000,7680032.886439699
July,2021,Cameras.0000,Books.0000,7599405.842388999
August,2021,Cameras.0000,Books.0000,8042621.092840301
September,2021,Cameras.0000,Books.0000,7760492.946523703
October,2021,Cameras.0000,Books.0000,8228028.929343002
November,2021,Cameras.0000,Books.0000,8014813.523659999
December,2021,Cameras.0000,Books.0000,8018278.741572701
January,2022,Cameras.0000,Books.0000,7698095.878263704
February,2022,Cameras.0000,Books.0000,8034819.657803898
March,2022,Cameras.0000,Books.0000,8341888.361732998
April,2022,Cameras.0000,Books.0000,8136398.597170703
May,2022,Cameras.0000,Books.0000,7826960.668247901
June,2022,Cameras.0000,Books.0000,8632599.240793098
July,2022,Cameras.0000,Books.0000,7952778.962262998
August,2022,Cameras.0000,Books.0000,8473696.813236998
September,2022,Cameras.0000,Books.0000,7855544.662818299
October,2022,Cameras.0000,Books.0000,8121162.2032619985
November,2022,Cameras.0000,Books.0000,8068985.338628399
December,2022,Cameras.0000,Books.0000,8221783.058219102
January,2023,Cameras.0000,Books.0000,7710233.8374430025
February,2023,Cameras.0000,Books.0000,7596905.899622004
March,2023,Cameras.0000,Books.0000,7931893.804219403
April,2023,Cameras.0000,Books.0000,7545279.180350003
May,2023,Cameras.0000,Books.0000,8580005.146997796
June,2023,Cameras.0000,Books.0000,7803687.533263501
July,2023,Cameras.0000,Books.0000,7548078.772859902
August,2023,Cameras.0000,Books.0000,8143515.205051003
September,2023,Cameras.0000,Books.0000,8360432.947341898
October,2023,Cameras.0000,Books.0000,7369268.342576002
November,2023,Cameras.0000,Books.0000,8209515.100315302
December,2023,Cameras.0000,Books.0000,7319695.284340902
January,2021,Cameras.0000,Books.0001,8047762.1551375
February,2021,Cameras.0000,Books.0001,7481161.995639899
March,2021,Cameras.0000,Books.0001,7484215.182700303
April,2021,Cameras.0000,Books.0001,7252223.3586491
May,2021,Cameras.0000,Books.0001,8190719.339240798
June,2021,Cameras.0000,Books.0001,8202144.607120603
July,2021,Cameras.0000,Books.0001,8225403.698780996
August,2021,Cameras.0000,Books.0001,8666940.166912502
September,2021,Cameras.0000,Books.0001,8381998.568318498
October,2021,Cameras.0000,Books.0001,8591496.650413599
November,2021,Cameras.0000,Books.0001,7736436.301588203
December,2021,Cameras.0000,Books.0001,8029349.817001901
January,2022,Cameras.0000,Books.0001,8173507.004243396
February,2022,Cameras.0000,Books.0001,7989264.342998999
March,2022,Cameras.0000,Books.0001,7719715.760653896
April,2022,Cameras.0000,Books.0001,8453459.197621398
May,2022,Cameras.0000,Books.0001,8142928.936251098
June,2022,Cameras.0000,Books.0001,7954340.272215398
July,2022,Cameras.0000,Books.0001,7588563.999219602
August,2022,Cameras.0000,Books.0001,8438080.0652777
September,2022,Cameras.0000,Books.0001,7857527.971559001
October,2022,Cameras.0000,Books.0001,8552051.206163999
November,2022,Cameras.0000,Books.0001,8182270.892460998
December,2022,Cameras.0000,Books.0001,8588590.1945966
January,2023,Cameras.0000,Books.0001,7887348.097687
February,2023,Cameras.0000,Books.0001,8340276.854399
March,2023,Cameras.0000,Books.0001,8622874.110165002
April,2023,Cameras.0000,Books.0001,8355684.615574701
May,2023,Cameras.0000,Books.0001,8072493.110839599
June,2023,Cameras.0000,Books.0001,8339424.859815397
July,2023,Cameras.0000,Books.0001,8124686.650611398
August,2023,Cameras.0000,Books.0001,7797993.933296001
September,2023,Cameras.0000,Books.0001,7716328.8255774025
October,2023,Cameras.0000,Books.0001,7221309.909421902
November,2023,Cameras.0000,Books.0001,8047552.985366997
December,2023,Cameras.0000,Books.0001,7856614.087658602
January,2021,Cameras.0000,Books.0002,7826836.591561598
February,2021,Cameras.0000,Books.0002,8111952.583819496
March,2021,Cameras.0000,Books.0002,8276472.853346898
April,2021,Cameras.0000,Books.0002,7918306.700101998
May,2021,Cameras.0000,Books.0002,8062075.3299898
June,2021,Cameras.0000,Books.0002,7537269.813850694
July,2021,Cameras.0000,Books.0002,7791657.9734465
August,2021,Cameras.0000,Books.0002,7552858.657250999
September,2021,Cameras.0000,Books.0002,8107831.328074
October,2021,Cameras.0000,Books.0002,7759262.626134503
November,2021,Cameras.0000,Books.0002,8149053.473773
