Date.Month,Date.Fiscal Quarter,Date.Fiscal Year,Product.Category,Product.Subcategory,Customer.Country-Region,Avg(Sales.Unit Price),Sum(Sales.Sales Amount),Sum(Bullet_Report.Total Sales)
2017 Jul,FY2018 Q1,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2017 Aug,FY2018 Q1,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2017 Sep,FY2018 Q1,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2017 Oct,FY2018 Q2,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2017 Nov,FY2018 Q2,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2017 Dec,FY2018 Q2,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 Jan,FY2018 Q3,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 Feb,FY2018 Q3,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 Mar,FY2018 Q3,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 Apr,FY2018 Q4,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 May,FY2018 Q4,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 Jun,FY2018 Q4,FY2018,Accessories,Bike Racks,[Not Applicable],,,
2018 Jul,FY2019 Q1,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2018 Aug,FY2019 Q1,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2018 Sep,FY2019 Q1,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2018 Oct,FY2019 Q2,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2018 Nov,FY2019 Q2,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2018 Dec,FY2019 Q2,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2019 Jan,FY2019 Q3,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2019 Feb,FY2019 Q3,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2019 Mar,FY2019 Q3,FY2019,Accessories,Bike Racks,[Not Applicable],,,
2019 Apr,FY2019 Q4,FY2019,Accessories,Bike Racks,[Not Applicable],,,
