Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Country,Orders.Region,Orders.Ship Mode,Sum(Orders.Sales),Sum(Orders.Discount)
Qtr 1,United States,Central,First Class,10508.174399999996,8.580000000000002
Qtr 2,United States,Central,First Class,11648.4932,15.920000000000005
Qtr 3,United States,Central,First Class,12092.177799999996,28.82000000000002
Qtr 4,United States,Central,First Class,24498.06999999999,26.100000000000012
Qtr 1,United States,Central,Same Day,3458.9140000000007,4.999999999999999
Qtr 2,United States,Central,Same Day,2904.592,3.2
Qtr 3,United States,Central,Same Day,2152.712,6.8999999999999995
Qtr 4,United States,Central,Same Day,11899.192000000001,11.8
Qtr 1,United States,Central,Second Class,18199.79559999999,12.920000000000003
Qtr 2,United States,Central,Second Class,30870.993399999985,29.420000000000027
Qtr 3,United States,Central,Second Class,27691.379599999997,25.220000000000006
Qtr 4,United States,Central,Second Class,26787.836799999997,37.04000000000001
Qtr 1,United States,Central,Standard Class,48943.917799999974,57.73999999999991
Qtr 2,United States,Central,Standard Class,49660.41500000003,85.7599999999998
Qtr 3,United States,Central,Standard Class,92569.88679999993,81.25999999999985
Qtr 4,United States,Central,Standard Class,127353.34040000007,122.65999999999973
Qtr 1,United States,Central,Third Class,,
Qtr 2,United States,Central,Third Class,,
Qtr 3,United States,Central,Third Class,,
Qtr 4,United States,Central,Third Class,737.2339999999999,1.6
Qtr 1,United States,East,First Class,9219.731000000002,6.4
Qtr 2,United States,East,First Class,18986.849000000006,17.1
Qtr 3,United States,East,First Class,35992.13199999998,27.399999999999988
Qtr 4,United States,East,First Class,49388.340999999986,25.599999999999984
Qtr 1,United States,East,Same Day,3830.063,3
Qtr 2,United States,East,Same Day,6136.9000000000015,2.8
Qtr 3,United States,East,Same Day,15491.996000000006,9.7
Qtr 4,United States,East,Same Day,17867.873,10.100000000000001
Qtr 1,United States,East,Second Class,12596.658,14.200000000000005
Qtr 2,United States,East,Second Class,11516.304999999997,11.099999999999998
Qtr 3,United States,East,Second Class,41294.16500000003,22.09999999999999
Qtr 4,United States,East,Second Class,51138.395999999986,22.6
Qtr 1,United States,East,Standard Class,40905.28099999997,30.699999999999974
Qtr 2,United States,East,Standard Class,90805.47599999995,58.7
Qtr 3,United States,East,Standard Class,94990.54599999997,67.90000000000003
Qtr 4,United States,East,Standard Class,178620.5280000001,84.60000000000001
Qtr 1,United States,South,First Class,4760.968000000001,4.8
Qtr 2,United States,South,First Class,14031.795000000006,12.199999999999998
Qtr 3,United States,South,First Class,8364.497999999998,6.700000000000002
Qtr 4,United States,South,First Class,22175.304999999982,10.6
Qtr 1,United States,South,Same Day,5118.007000000001,1.5
Qtr 2,United States,South,Same Day,3791.1510000000003,2.0999999999999996
Qtr 3,United States,South,Same Day,1668.624,2.8999999999999995
Qtr 4,United States,South,Same Day,10439.390999999998,4.800000000000001
Qtr 1,United States,South,Second Class,26557.138000000003,2.9999999999999996
Qtr 2,United States,South,Second Class,13298.94,6.300000000000002
Qtr 3,United States,South,Second Class,12882.222499999998,11.15
Qtr 4,United States,South,Second Class,41020.31199999996,15.699999999999996
Qtr 1,United States,South,Standard Class,61846.41499999999,24.89999999999998
Qtr 2,United States,South,Standard Class,55363.66399999996,36.19999999999999
Qtr 3,United States,South,Standard Class,60115.25450000003,35.199999999999974
Qtr 4,United States,South,Standard Class,50288.22000000001,60.50000000000004
Qtr 1,United States,South,Third Class,,
Qtr 2,United States,South,Third Class,15.552000000000003,0.2
Qtr 3,United States,South,Third Class,,
Qtr 4,United States,South,Third Class,,
Qtr 1,United States,West,First Class,39125.44799999999,6.5500000000000025
Qtr 2,United States,West,First Class,24276.674000000006,12.399999999999999
Qtr 3,United States,West,First Class,20137.677,13.449999999999998
Qtr 4,United States,West,First Class,46222.089499999995,30.549999999999944
Qtr 1,United States,West,Same Day,965.9840000000002,1.3
Qtr 2,United States,West,Same Day,6546.413,3.8499999999999996
Qtr 3,United States,West,Same Day,21985.493999999995,7.000000000000003
Qtr 4,United States,West,Same Day,14105.819000000009,6.800000000000003
Qtr 1,United States,West,Second Class,23739.482000000004,9.250000000000002
Qtr 2,United States,West,Second Class,24153.351999999988,8.000000000000004
Qtr 3,United States,West,Second Class,45189.78499999998,15.549999999999981
Qtr 4,United States,West,Second Class,52256.808499999956,26.59999999999995
Qtr 1,United States,West,Standard Class,49905.599,19.04999999999997
Qtr 2,United States,West,Standard Class,81517.60700000002,42.24999999999997
Qtr 3,United States,West,Standard Class,121313.5555000001,65.80000000000021
Qtr 4,United States,West,Standard Class,154016.03699999995,81.8000000000004
Qtr 1,United States,West,Third Class,,
Qtr 2,United States,West,Third Class,911.424,0.2
Qtr 3,United States,West,Third Class,,
Qtr 4,United States,West,Third Class,407.97600000000006,0.2
