Measures as Rows,CountNonNull(Orders.Postal Code),
Postal Code,9994,182759.92546666667
Count of Region,9994,182759.92546666667
Quantity,37873,182759.92546666667
Count of Product ID,9994,182759.92546666667
Count of Category,9994,182759.92546666667
Count of City,9994,182759.92546666667
Count of Ship Mode,9994,182759.92546666667
Count of Country,9994,182759.92546666667
Count of State,9994,182759.92546666667
Count of Product Name,9994,182759.92546666667
Count of Customer ID,9994,182759.92546666667
Sales,2297200.8603000003,182759.92546666667
Count of Order ID,9994,182759.92546666667
Count of Segment,9994,182759.92546666667
Profit,286397.0217,182759.92546666667
