financials.Discount Band,financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Units Sold),
High,Amarilla,United States of America,1389351.7049999998,17362.5,"1389351.7049999998,0,1389351.7049999998"
High,Carretera,United States of America,733882.4199999999,12147.5,"733882.4199999999,0,733882.4199999999"
High,Montana,United States of America,1280259.7899999998,12398.5,"1280259.7899999998,0,1280259.7899999998"
High,Paseo,United States of America,2002018.145,17386.5,"2002018.145,0,2002018.145"
High,Velo,United States of America,2683116.5,14658,"2683116.5,0,2683116.5"
High,VTT,United States of America,3052297.72,18244,"3052297.72,0,3052297.72"
Low,Amarilla,United States of America,57517.32,3896,"57517.32,0,57517.32"
Low,Carretera,United States of America,195163.59000000003,6938,"195163.59000000003,0,195163.59000000003"
Low,Montana,United States of America,1551472.77,8170,"1551472.77,0,1551472.77"
Low,Paseo,United States of America,3199430.3549999995,24457,"3199430.3549999995,0,3199430.3549999995"
Low,Velo,United States of America,143747.85,4430,"143747.85,0,143747.85"
Low,VTT,United States of America,1126072.25,4186,"1126072.25,0,1126072.25"
Medium,Amarilla,United States of America,1323894.38,8359,"1323894.38,0,1323894.38"
Medium,Carretera,United States of America,910793.54,6732.5,"910793.54,0,910793.54"
Medium,Montana,United States of America,803169.24,10429,"803169.24,0,803169.24"
Medium,Paseo,United States of America,1723932.27,25568,"1723932.27,0,1723932.27"
Medium,Velo,United States of America,1119338.65,13852,"1119338.65,0,1119338.65"
Medium,VTT,United States of America,1287222.67,12070,"1287222.67,0,1287222.67"
None,Amarilla,United States of America,66354,5852,"66354,0,66354"
None,Montana,United States of America,9225,615,"9225,0,9225"
None,Paseo,United States of America,18945,2055,"18945,0,18945"
None,Velo,United States of America,352625,2821,"352625,0,352625"
High,Amarilla,Canada,1444328.95,16252.5,"1444328.95,1389351.7049999998,2833680.655"
High,Carretera,Canada,1039459.46,13321,"1039459.46,733882.4199999999,1773341.88"
High,Montana,Canada,801257.2999999999,9098.5,"801257.2999999999,1280259.7899999998,2081517.0899999999"
High,Paseo,Canada,2741974.6700000004,32251.5,"2741974.6700000004,2002018.145,4743992.815"
High,Velo,Canada,1102786.24,7009,"1102786.24,2683116.5,3785902.74"
High,VTT,Canada,1527431.04,16928.5,"1527431.04,3052297.72,4579728.76"
Low,Amarilla,Canada,1160712,3694,"1160712,57517.32,1218229.32"
Low,Carretera,Canada,1147437.29,10924.5,"1147437.29,195163.59000000003,1342600.8800000001"
Low,Montana,Canada,60165.42,6648,"60165.42,1551472.77,1611638.19"
Low,Paseo,Canada,2456023.2700000005,21481,"2456023.2700000005,3199430.3549999995,5655453.625"
Low,Velo,Canada,497812.96,11520.5,"497812.96,143747.85,641560.81"
Low,VTT,Canada,1215748.43,6872.5,"1215748.43,1126072.25,2341820.6799999997"
Medium,Amarilla,Canada,1250724.925,9285.5,"1250724.925,1323894.38,2574619.3049999997"
Medium,Carretera,Canada,390937.58999999997,8940,"390937.58999999997,910793.54,1301731.13"
Medium,Montana,Canada,1443967.81,10213.5,"1443967.81,803169.24,2247137.05"
Medium,Paseo,Canada,1705097.05,15955,"1705097.05,1723932.27,3429029.3200000003"
Medium,Velo,Canada,1685766.1400000001,13589.5,"1685766.1400000001,1119338.65,2805104.79"
Medium,VTT,Canada,1388934.8399999999,13629.5,"1388934.8399999999,1287222.67,2676157.51"
None,Carretera,Canada,32370,1618.5,"32370,0,32370"
None,Montana,Canada,406528.5,5528.5,"406528.5,9225,415753.5"
None,Paseo,Canada,708426,8504,"708426,18945,727371"
None,Velo,Canada,43125,345,"43125,352625,395750"
None,VTT,Canada,636640,3818,"636640,0,636640"
High,Amarilla,France,1127490.17,17043.5,"1127490.17,2833680.655,3961170.8249999997"
High,Carretera,France,1275224.29,11629.5,"1275224.29,1773341.88,3048566.17"
High,Montana,France,810911.86,5324,"810911.86,2081517.0899999999,2892428.9499999997"
High,Paseo,France,1506131.11,22346.5,"1506131.11,4743992.815,6250123.925000001"
High,Velo,France,647413.725,12973.5,"647413.725,3785902.74,4433316.465"
High,VTT,France,498663.57999999996,10840.5,"498663.57999999996,4579728.76,5078392.34"
Low,Amarilla,France,23210.449999999997,1262,"23210.449999999997,1218229.32,1241439.77"
Low,Carretera,France,1307678.055,11214.5,"1307678.055,1342600.8800000001,2650278.935"
Low,Montana,France,209105.05,5107.5,"209105.05,1611638.19,1820743.24"
Low,Paseo,France,2493695.79,24842.5,"2493695.79,5655453.625,8149149.415"
Low,Velo,France,824814.27,7735,"824814.27,641560.81,1466375.08"
Low,VTT,France,1054659.57,5574,"1054659.57,2341820.6799999997,3396480.25"
Medium,Amarilla,France,1865246.51,8648.5,"1865246.51,2574619.3049999997,4439865.8149999995"
Medium,Carretera,France,807749.55,9034,"807749.55,1301731.13,2109480.6799999997"
Medium,Montana,France,2469385.46,18951.5,"2469385.46,2247137.05,4716522.51"
Medium,Paseo,France,1589689.1600000001,23868,"1589689.1600000001,3429029.3200000003,5018718.48"
Medium,Velo,France,2280368.24,14097,"2280368.24,2805104.79,5085473.03"
Medium,VTT,France,1045450.4400000001,13504,"1045450.4400000001,2676157.51,3721607.9499999997"
None,Amarilla,France,1000480,4649,"1000480,66354,1066834"
None,Carretera,France,32670,2178,"32670,32370,65040"
None,Montana,France,37980,1899,"37980,415753.5,453733.5"
None,Paseo,France,8235,549,"8235,727371,735606"
None,Velo,France,225500,1804,"225500,395750,621250"
None,VTT,France,1212420,5856,"1212420,636640,1849060"
High,Amarilla,Germany,403425.21,7981,"403425.21,3961170.8249999997,4364596.035"
High,Carretera,Germany,1435414.1,9690,"1435414.1,3048566.17,4483980.27"
High,Montana,Germany,652765.6,4957,"652765.6,2892428.9499999997,3545194.55"
High,Paseo,Germany,973880.32,14704,"973880.32,6250123.925000001,7224004.245000001"
High,Velo,Germany,715723.68,8778,"715723.68,4433316.465,5149040.145"
High,VTT,Germany,697585.45,5900,"697585.45,5078392.34,5775977.79"
Low,Amarilla,Germany,2013046,7408,"2013046,1241439.77,3254485.77"
Low,Carretera,Germany,904615.0800000001,6270,"904615.0800000001,2650278.935,3554894.015"
Low,Montana,Germany,1947668.8199999998,9341,"1947668.8199999998,1820743.24,3768412.0599999996"
Low,Paseo,Germany,1756117.28,12169.5,"1756117.28,8149149.415,9905266.695"
Low,Velo,Germany,2103251.5,6652,"2103251.5,1466375.08,3569626.58"
