Region,Category,Segment,Value Column Name,Value
"West","Furniture","Consumer","Quantity","1405"
"West","Furniture","Consumer","Profit","4330.667999999986"
"West","Furniture","Consumer","Sales","119808.08699999982"
"West","Furniture","Consumer","Sales - Quantity","118403.08699999982"
"West","Furniture","Consumer","(Sales - Quantity)%","84.27265978647674"
"West","Furniture","Consumer","Sales - Profit","115477.41899999983"
"West","Furniture","Consumer","(Sales - Profit)%","26.665036202267228"
"West","Furniture","Consumer","Profit - Quantity","2925.667999999986"
"West","Furniture","Consumer","(Profit - Quantity)%","2.082325978647677"
"West","Furniture","Corporate","Quantity","815"
"West","Furniture","Corporate","Profit","3968.665900000001"
"West","Furniture","Corporate","Sales","83080.10649999998"
"West","Furniture","Corporate","Sales - Quantity","82265.10649999998"
"West","Furniture","Corporate","(Sales - Quantity)%","100.93878098159509"
"West","Furniture","Corporate","Sales - Profit","79111.44059999997"
"West","Furniture","Corporate","(Sales - Profit)%","19.93401374502196"
"West","Furniture","Corporate","Profit - Quantity","3153.665900000001"
"West","Furniture","Corporate","(Profit - Quantity)%","3.869528711656443"
"West","Furniture","Home Office","Quantity","476"
"West","Furniture","Home Office","Profit","3205.616399999998"
"West","Furniture","Home Office","Sales","49724.549999999996"
"West","Furniture","Home Office","Sales - Quantity","49248.549999999996"
"West","Furniture","Home Office","(Sales - Quantity)%","103.46334033613444"
"West","Furniture","Home Office","Sales - Profit","46518.9336"
"West","Furniture","Home Office","(Sales - Profit)%","14.511696907964417"
"West","Furniture","Home Office","Profit - Quantity","2729.616399999998"
"West","Furniture","Home Office","(Profit - Quantity)%","5.734488235294114"
"West","Technology","Consumer","Quantity","1235"
"West","Technology","Consumer","Profit","27785.568099999975"
"West","Technology","Consumer","Sales","132991.74599999996"
"West","Technology","Consumer","Sales - Quantity","131756.74599999996"
"West","Technology","Consumer","(Sales - Quantity)%","106.68562429149796"
"West","Technology","Consumer","Sales - Profit","105206.17789999998"
"West","Technology","Consumer","(Sales - Profit)%","3.7863605135358047"
"West","Technology","Consumer","Profit - Quantity","26550.568099999975"
"West","Technology","Consumer","(Profit - Quantity)%","21.498435708502008"
"West","Technology","Corporate","Quantity","718"
"West","Technology","Corporate","Profit","11941.063200000002"
"West","Technology","Corporate","Sales","65641.31199999999"
"West","Technology","Corporate","Sales - Quantity","64923.31199999999"
"West","Technology","Corporate","(Sales - Quantity)%","90.4224401114206"
"West","Technology","Corporate","Sales - Profit","53700.24879999999"
"West","Technology","Corporate","(Sales - Profit)%","4.4971078287233235"
"West","Technology","Corporate","Profit - Quantity","11223.063200000002"
"West","Technology","Corporate","(Profit - Quantity)%","15.631007242339836"
"West","Technology","Home Office","Quantity","382"
"West","Technology","Home Office","Profit","4577.018299999996"
"West","Technology","Home Office","Sales","53358.77399999997"
"West","Technology","Home Office","Sales - Quantity","52976.77399999997"
"West","Technology","Home Office","(Sales - Quantity)%","138.6826544502617"
"West","Technology","Home Office","Sales - Profit","48781.75569999997"
"West","Technology","Home Office","(Sales - Profit)%","10.65797698471077"
"West","Technology","Home Office","Profit - Quantity","4195.018299999996"
"West","Technology","Home Office","(Profit - Quantity)%","10.981723298429308"
"West","Office Supplies","Consumer","Quantity","3837"
"West","Office Supplies","Consumer","Profit","25334.367899999972"
"West","Office Supplies","Consumer","Sales","110080.94000000009"
"West","Office Supplies","Consumer","Sales - Quantity","106243.94000000009"
"West","Office Supplies","Consumer","(Sales - Quantity)%","27.689324993484515"
