15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.State Bottle Retail)
2012,Qtr 1,,38.53
2012,Qtr 2,,30.69
2012,Qtr 3,,25.79
2012,Qtr 4,,29.51
2012,Qtr 1,Adair,34.95
2012,Qtr 2,Adair,
2012,Qtr 3,Adair,49.29
2012,Qtr 4,Adair,41.69
2012,Qtr 1,Adams,32.55
2012,Qtr 2,Adams,19.96
2012,Qtr 3,Adams,17.49
2012,Qtr 4,Adams,19.24
2012,Qtr 1,Allamakee,70.65
2012,Qtr 2,Allamakee,89.67
2012,Qtr 3,Allamakee,116.47
2012,Qtr 4,Allamakee,30.67
2012,Qtr 1,Appanoose,75.37
2012,Qtr 2,Appanoose,49.77
2012,Qtr 3,Appanoose,32.75
2012,Qtr 4,Appanoose,38.98
2012,Qtr 1,Audubon,11.91
2012,Qtr 2,Audubon,8.83
2012,Qtr 3,Audubon,30.66
2012,Qtr 4,Audubon,8.26
2012,Qtr 1,Benton,10.94
2012,Qtr 2,Benton,52.07
2012,Qtr 3,Benton,122.24
2012,Qtr 4,Benton,59.64
2012,Qtr 1,Black Hawk,690.55
2012,Qtr 2,Black Hawk,649.7
2012,Qtr 3,Black Hawk,404.4
2012,Qtr 4,Black Hawk,785.47
2012,Qtr 1,Boone,41.55
2012,Qtr 2,Boone,91.72
2012,Qtr 3,Boone,68.24
2012,Qtr 4,Boone,65.25
2012,Qtr 1,Bremer,142.8
2012,Qtr 2,Bremer,161.25
2012,Qtr 3,Bremer,103.49
2012,Qtr 4,Bremer,196.44
2012,Qtr 1,Buchanan,59.94
2012,Qtr 2,Buchanan,89.88
2012,Qtr 3,Buchanan,145.72
2012,Qtr 4,Buchanan,52.47
2012,Qtr 1,Buena Vista,88.79
2012,Qtr 2,Buena Vista,127.23
2012,Qtr 3,Buena Vista,105.79
2012,Qtr 4,Buena Vista,238.28
2012,Qtr 1,Butler,41.77
2012,Qtr 2,Butler,10.7
2012,Qtr 3,Butler,12.57
2012,Qtr 4,Butler,
2012,Qtr 1,Calhoun,
2012,Qtr 2,Calhoun,25.84
2012,Qtr 3,Calhoun,9.45
2012,Qtr 4,Calhoun,19.48
2012,Qtr 1,Carroll,99.86
2012,Qtr 2,Carroll,129.57
2012,Qtr 3,Carroll,94.96
2012,Qtr 4,Carroll,99.72
2012,Qtr 1,Cass,59.66
2012,Qtr 2,Cass,21.9
2012,Qtr 3,Cass,74.79
2012,Qtr 4,Cass,103.34
2012,Qtr 1,Cedar,4.6
2012,Qtr 2,Cedar,22.99
2012,Qtr 3,Cedar,45.12
2012,Qtr 4,Cedar,38.77
2012,Qtr 1,Cerro Gordo,173.28
2012,Qtr 2,Cerro Gordo,259.38
2012,Qtr 3,Cerro Gordo,205.04
2012,Qtr 4,Cerro Gordo,379.53
2012,Qtr 1,Cherokee,
2012,Qtr 2,Cherokee,22.79
2012,Qtr 3,Cherokee,90.43
2012,Qtr 4,Cherokee,84.76
2012,Qtr 1,Chickasaw,26.19
2012,Qtr 2,Chickasaw,12.29
2012,Qtr 3,Chickasaw,
2012,Qtr 4,Chickasaw,30.58
