Orders.Ship Date.Variation.Date Hierarchy.Quarter,Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Quantity),Sum(Orders.Profit)
Qtr 1,January,2014,1,,
Qtr 1,February,2014,1,6,206.31600000000006
Qtr 1,March,2014,1,40,-208.96140000000014
Qtr 2,April,2014,1,12,26.089599999999997
Qtr 2,May,2014,1,,
Qtr 2,June,2014,1,55,1576.7509
Qtr 3,July,2014,1,13,75.33319999999998
Qtr 3,August,2014,1,15,66.475
Qtr 3,September,2014,1,17,85.94020000000002
Qtr 1,January,2014,2,,
Qtr 1,February,2014,2,12,7.152499999999996
Qtr 1,March,2014,2,11,56.0112
Qtr 2,April,2014,2,29,407.39619999999996
Qtr 2,May,2014,2,5,91.95719999999999
Qtr 2,June,2014,2,16,218.36079999999998
Qtr 3,July,2014,2,3,22.150800000000004
Qtr 3,August,2014,2,9,248.02760000000006
Qtr 3,September,2014,2,28,916.2511999999998
Qtr 1,January,2014,3,2,5.551199999999998
Qtr 1,February,2014,3,5,31.5614
Qtr 1,March,2014,3,35,-629.7989000000001
Qtr 2,April,2014,3,7,85.6044
Qtr 2,May,2014,3,13,28.862399999999997
Qtr 2,June,2014,3,22,96.10859999999997
Qtr 3,July,2014,3,,
Qtr 3,August,2014,3,20,-76.7149
Qtr 3,September,2014,3,10,-4.4639999999999995
Qtr 1,January,2014,4,8,-65.99010000000001
Qtr 1,February,2014,4,9,51.1432
Qtr 1,March,2014,4,8,20.07779999999996
Qtr 2,April,2014,4,25,105.4521
Qtr 2,May,2014,4,25,58.5624
Qtr 2,June,2014,4,12,-6.493200000000022
Qtr 3,July,2014,4,14,83.94479999999999
Qtr 3,August,2014,4,51,833.4829000000001
Qtr 3,September,2014,4,,
Qtr 1,January,2014,5,3,4.884
Qtr 1,February,2014,5,,
Qtr 1,March,2014,5,16,261.19010000000003
Qtr 2,April,2014,5,54,253.90440000000007
Qtr 2,May,2014,5,15,34.51309999999998
Qtr 2,June,2014,5,,
Qtr 3,July,2014,5,41,182.79359999999997
Qtr 3,August,2014,5,37,504.1059
Qtr 3,September,2014,5,4,21.822999999999997
Qtr 1,January,2014,6,30,1358.0523999999998
Qtr 1,February,2014,6,12,76.48329999999999
Qtr 1,March,2014,6,,
