Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Region,Orders.City,Sum(Orders.Profit)
2014,Consumer,Central,Aberdeen,
2015,Consumer,Central,Aberdeen,
2016,Consumer,Central,Aberdeen,
2017,Consumer,Central,Aberdeen,6.63
2014,Consumer,Central,Abilene,
2015,Consumer,Central,Abilene,
2016,Consumer,Central,Abilene,
2017,Consumer,Central,Abilene,-3.758400000000001
2014,Consumer,Central,Allen,
2015,Consumer,Central,Allen,-39.87750000000001
2016,Consumer,Central,Allen,
2017,Consumer,Central,Allen,
2014,Consumer,Central,Amarillo,
2015,Consumer,Central,Amarillo,-276.8926999999999
2016,Consumer,Central,Amarillo,-81.47160000000004
2017,Consumer,Central,Amarillo,
2014,Consumer,Central,Apple Valley,6.464999999999989
2015,Consumer,Central,Apple Valley,
2016,Consumer,Central,Apple Valley,
2017,Consumer,Central,Apple Valley,2.5056
2014,Consumer,Central,Appleton,
2015,Consumer,Central,Appleton,
2016,Consumer,Central,Appleton,544.4174999999998
2017,Consumer,Central,Appleton,
2014,Consumer,Central,Arlington,-2.524800000000002
2015,Consumer,Central,Arlington,-133.1877000000003
2016,Consumer,Central,Arlington,
2017,Consumer,Central,Arlington,-2.4159999999999977
2014,Consumer,Central,Arlington Heights,
2015,Consumer,Central,Arlington Heights,
2016,Consumer,Central,Arlington Heights,1.2348000000000008
2017,Consumer,Central,Arlington Heights,
2014,Consumer,Central,Aurora,-209.7693
2015,Consumer,Central,Aurora,-79.03819999999999
2016,Consumer,Central,Aurora,67.44239999999999
2017,Consumer,Central,Aurora,174.6157999999998
2014,Consumer,Central,Austin,
2015,Consumer,Central,Austin,89.31339999999996
2016,Consumer,Central,Austin,
2017,Consumer,Central,Austin,-41.481
2014,Consumer,Central,Beaumont,58.15879999999998
2015,Consumer,Central,Beaumont,
2016,Consumer,Central,Beaumont,
2017,Consumer,Central,Beaumont,
2014,Consumer,Central,Bloomington,-392.1300000000001
2015,Consumer,Central,Bloomington,-37.3454
2016,Consumer,Central,Bloomington,59.50949999999998
2017,Consumer,Central,Bloomington,7.465499999999999
2014,Consumer,Central,Bolingbrook,
2015,Consumer,Central,Bolingbrook,-4.898000000000005
2016,Consumer,Central,Bolingbrook,
2017,Consumer,Central,Bolingbrook,16.703999999999986
2014,Consumer,Central,Broken Arrow,
2015,Consumer,Central,Broken Arrow,
2016,Consumer,Central,Broken Arrow,6.0451999999999995
2017,Consumer,Central,Broken Arrow,
2014,Consumer,Central,Brownsville,
2015,Consumer,Central,Brownsville,
2016,Consumer,Central,Brownsville,
2017,Consumer,Central,Brownsville,-14.807600000000026
2014,Consumer,Central,Buffalo Grove,-89.64780000000006
2015,Consumer,Central,Buffalo Grove,
2016,Consumer,Central,Buffalo Grove,
2017,Consumer,Central,Buffalo Grove,
2014,Consumer,Central,Burlington,
2015,Consumer,Central,Burlington,
2016,Consumer,Central,Burlington,
2017,Consumer,Central,Burlington,20.584999999999994
2014,Consumer,Central,Carol Stream,
2015,Consumer,Central,Carol Stream,-39.86830000000013
2016,Consumer,Central,Carol Stream,
2017,Consumer,Central,Carol Stream,
2014,Consumer,Central,Carrollton,18.6866
2015,Consumer,Central,Carrollton,-563.2456000000002
2016,Consumer,Central,Carrollton,52.497900000000016
2017,Consumer,Central,Carrollton,-2.5322000000000067
2014,Consumer,Central,Cedar Hill,2.477999999999999
2015,Consumer,Central,Cedar Hill,
2016,Consumer,Central,Cedar Hill,
2017,Consumer,Central,Cedar Hill,
2014,Consumer,Central,Cedar Rapids,
2015,Consumer,Central,Cedar Rapids,
2016,Consumer,Central,Cedar Rapids,80.73599999999998
2017,Consumer,Central,Cedar Rapids,
2014,Consumer,Central,Champaign,
2015,Consumer,Central,Champaign,-182.35200000000003
2016,Consumer,Central,Champaign,
2017,Consumer,Central,Champaign,
2014,Consumer,Central,Chicago,-38.80450000000037
2015,Consumer,Central,Chicago,-942.0118000000002
2016,Consumer,Central,Chicago,-514.6626000000001
2017,Consumer,Central,Chicago,-1258.9277000000002
2014,Consumer,Central,College Station,
2015,Consumer,Central,College Station,
2016,Consumer,Central,College Station,
2017,Consumer,Central,College Station,-117.6224
2014,Consumer,Central,Columbia,106.79109999999999
2015,Consumer,Central,Columbia,
2016,Consumer,Central,Columbia,
2017,Consumer,Central,Columbia,
2014,Consumer,Central,Columbus,
2015,Consumer,Central,Columbus,498.27590000000004
2016,Consumer,Central,Columbus,
2017,Consumer,Central,Columbus,662.4128000000001
2014,Consumer,Central,Coon Rapids,136.45319999999998
2015,Consumer,Central,Coon Rapids,
2016,Consumer,Central,Coon Rapids,
2017,Consumer,Central,Coon Rapids,
2014,Consumer,Central,Coppell,
2015,Consumer,Central,Coppell,
2016,Consumer,Central,Coppell,
2017,Consumer,Central,Coppell,6.747199999999999
2014,Consumer,Central,Cottage Grove,54.796800000000005
2015,Consumer,Central,Cottage Grove,
2016,Consumer,Central,Cottage Grove,
2017,Consumer,Central,Cottage Grove,
2014,Consumer,Central,Dallas,-82.46940000000002
2015,Consumer,Central,Dallas,-523.1052000000002
2016,Consumer,Central,Dallas,-8.865100000000112
2017,Consumer,Central,Dallas,-893.1855
2014,Consumer,Central,Dearborn Heights,50.844300000000004
2015,Consumer,Central,Dearborn Heights,
2016,Consumer,Central,Dearborn Heights,
2017,Consumer,Central,Dearborn Heights,90.0462
2014,Consumer,Central,Decatur,-25.937800000000003
2015,Consumer,Central,Decatur,89.99099999999999
2016,Consumer,Central,Decatur,-133.47440000000006
2017,Consumer,Central,Decatur,-10.712100000000083
2014,Consumer,Central,Des Moines,109.50120000000005
2015,Consumer,Central,Des Moines,
2016,Consumer,Central,Des Moines,3.1104000000000003
2017,Consumer,Central,Des Moines,
2014,Consumer,Central,Des Plaines,-284.7474000000001
2015,Consumer,Central,Des Plaines,
2016,Consumer,Central,Des Plaines,
2017,Consumer,Central,Des Plaines,47.97999999999999
2014,Consumer,Central,Detroit,96.35849999999999
2015,Consumer,Central,Detroit,846.3943
2016,Consumer,Central,Detroit,6002.1384
2017,Consumer,Central,Detroit,1591.6345999999999
2014,Consumer,Central,Dubuque,
2015,Consumer,Central,Dubuque,76.54839999999999
2016,Consumer,Central,Dubuque,
2017,Consumer,Central,Dubuque,
2014,Consumer,Central,Eagan,
2015,Consumer,Central,Eagan,
2016,Consumer,Central,Eagan,
2017,Consumer,Central,Eagan,24.8724
2014,Consumer,Central,Eau Claire,
2015,Consumer,Central,Eau Claire,163.92079999999999
2016,Consumer,Central,Eau Claire,209.2714
2017,Consumer,Central,Eau Claire,
2014,Consumer,Central,Edinburg,
2015,Consumer,Central,Edinburg,
2016,Consumer,Central,Edinburg,26.979799999999997
2017,Consumer,Central,Edinburg,0.8287999999999999
2014,Consumer,Central,Edmond,
2015,Consumer,Central,Edmond,
2016,Consumer,Central,Edmond,243.1039
2017,Consumer,Central,Edmond,
2014,Consumer,Central,El Paso,-33.41549999999998
2015,Consumer,Central,El Paso,-2.0364000000000004
2016,Consumer,Central,El Paso,4.2408
2017,Consumer,Central,El Paso,-151.33820000000009
2014,Consumer,Central,Elkhart,
2015,Consumer,Central,Elkhart,
2016,Consumer,Central,Elkhart,
2017,Consumer,Central,Elkhart,16.672099999999997
2014,Consumer,Central,Evanston,-70.10430000000002
2015,Consumer,Central,Evanston,481.0886999999999
2016,Consumer,Central,Evanston,0.8993999999999991
2017,Consumer,Central,Evanston,
2014,Consumer,Central,Fargo,
2015,Consumer,Central,Fargo,
2016,Consumer,Central,Fargo,
2017,Consumer,Central,Fargo,216.59069999999997
2014,Consumer,Central,Fort Worth,537.2533999999999
2015,Consumer,Central,Fort Worth,
2016,Consumer,Central,Fort Worth,-87.15169999999998
2017,Consumer,Central,Fort Worth,-1.4413
2014,Consumer,Central,Frankfort,
2015,Consumer,Central,Frankfort,-52.95840000000001
2016,Consumer,Central,Frankfort,26.902399999999993
2017,Consumer,Central,Frankfort,
2014,Consumer,Central,Freeport,
2015,Consumer,Central,Freeport,
2016,Consumer,Central,Freeport,
2017,Consumer,Central,Freeport,-131.40900000000002
2014,Consumer,Central,Fremont,
2015,Consumer,Central,Fremont,
2016,Consumer,Central,Fremont,15.594
2017,Consumer,Central,Fremont,50.327999999999996
2014,Consumer,Central,Frisco,
2015,Consumer,Central,Frisco,
2016,Consumer,Central,Frisco,
2017,Consumer,Central,Frisco,-17.443199999999997
2014,Consumer,Central,Garden City,
2015,Consumer,Central,Garden City,7.822099999999999
2016,Consumer,Central,Garden City,
2017,Consumer,Central,Garden City,
2014,Consumer,Central,Garland,
2015,Consumer,Central,Garland,
2016,Consumer,Central,Garland,
2017,Consumer,Central,Garland,-28.695000000000007
2014,Consumer,Central,Gladstone,
2015,Consumer,Central,Gladstone,
2016,Consumer,Central,Gladstone,
2017,Consumer,Central,Gladstone,52.58879999999999
2014,Consumer,Central,Glenview,
2015,Consumer,Central,Glenview,13.857900000000008
2016,Consumer,Central,Glenview,
2017,Consumer,Central,Glenview,
2014,Consumer,Central,Grand Island,
2015,Consumer,Central,Grand Island,
2016,Consumer,Central,Grand Island,
2017,Consumer,Central,Grand Island,7.98
2014,Consumer,Central,Grand Prairie,-57.73160000000003
2015,Consumer,Central,Grand Prairie,-23.454800000000027
2016,Consumer,Central,Grand Prairie,
2017,Consumer,Central,Grand Prairie,6.609899999999975
2014,Consumer,Central,Grand Rapids,
2015,Consumer,Central,Grand Rapids,
2016,Consumer,Central,Grand Rapids,85.1606
2017,Consumer,Central,Grand Rapids,26.901000000000003
2014,Consumer,Central,Green Bay,206.31600000000006
2015,Consumer,Central,Green Bay,
2016,Consumer,Central,Green Bay,
2017,Consumer,Central,Green Bay,
2014,Consumer,Central,Greenwood,
2015,Consumer,Central,Greenwood,
2016,Consumer,Central,Greenwood,356.225
2017,Consumer,Central,Greenwood,
2014,Consumer,Central,Harlingen,
2015,Consumer,Central,Harlingen,
2016,Consumer,Central,Harlingen,4.056899999999995
2017,Consumer,Central,Harlingen,14.070600000000002
2014,Consumer,Central,Highland Park,
2015,Consumer,Central,Highland Park,-169.70299999999992
2016,Consumer,Central,Highland Park,
2017,Consumer,Central,Highland Park,
2014,Consumer,Central,Holland,
2015,Consumer,Central,Holland,3.5999999999999996
2016,Consumer,Central,Holland,
2017,Consumer,Central,Holland,
2014,Consumer,Central,Houston,-2099.9520000000016
2015,Consumer,Central,Houston,174.89719999999977
2016,Consumer,Central,Houston,-2369.5940000000014
2017,Consumer,Central,Houston,-4032.4213999999997
2014,Consumer,Central,Huntsville,-134.2139
2015,Consumer,Central,Huntsville,-140.57780000000005
2016,Consumer,Central,Huntsville,
2017,Consumer,Central,Huntsville,-423.2951000000001
2014,Consumer,Central,Independence,
2015,Consumer,Central,Independence,
2016,Consumer,Central,Independence,
2017,Consumer,Central,Independence,218.25179999999997
2014,Consumer,Central,Indianapolis,498.52079999999995
2015,Consumer,Central,Indianapolis,25.419799999999984
2016,Consumer,Central,Indianapolis,
2017,Consumer,Central,Indianapolis,177.024
2014,Consumer,Central,Irving,7.767900000000001
2015,Consumer,Central,Irving,
2016,Consumer,Central,Irving,-113.45960000000005
2017,Consumer,Central,Irving,
2014,Consumer,Central,Jackson,21.059999999999995
2015,Consumer,Central,Jackson,
2016,Consumer,Central,Jackson,51.639
2017,Consumer,Central,Jackson,2610.8568999999998
2014,Consumer,Central,Keller,
2015,Consumer,Central,Keller,
2016,Consumer,Central,Keller,
2017,Consumer,Central,Keller,2.0999999999999996
2014,Consumer,Central,Kenosha,
2015,Consumer,Central,Kenosha,596.7203
2016,Consumer,Central,Kenosha,
2017,Consumer,Central,Kenosha,
2014,Consumer,Central,Kirkwood,
2015,Consumer,Central,Kirkwood,47.1344
2016,Consumer,Central,Kirkwood,
2017,Consumer,Central,Kirkwood,
2014,Consumer,Central,La Crosse,
2015,Consumer,Central,La Crosse,
2016,Consumer,Central,La Crosse,28.410000000000004
2017,Consumer,Central,La Crosse,
2014,Consumer,Central,La Porte,
2015,Consumer,Central,La Porte,
2016,Consumer,Central,La Porte,-2.7731999999999957
2017,Consumer,Central,La Porte,31.58699999999996
2014,Consumer,Central,Lafayette,0
2015,Consumer,Central,Lafayette,
2016,Consumer,Central,Lafayette,
2017,Consumer,Central,Lafayette,175.91519999999997
2014,Consumer,Central,Lakeville,108.1918
2015,Consumer,Central,Lakeville,
2016,Consumer,Central,Lakeville,
2017,Consumer,Central,Lakeville,44.7668
2014,Consumer,Central,Lansing,
2015,Consumer,Central,Lansing,326.2745999999999
2016,Consumer,Central,Lansing,32.16
2017,Consumer,Central,Lansing,
2014,Consumer,Central,Laredo,10.917999999999996
2015,Consumer,Central,Laredo,
2016,Consumer,Central,Laredo,-128.7827
2017,Consumer,Central,Laredo,
2014,Consumer,Central,Lawrence,
2015,Consumer,Central,Lawrence,197.98880000000003
