Charts Data.Segment,Charts Data.Region,Charts Data.Category,Charts Data.Sub-Category,Sum(Charts Data.PL),Sum(Charts Data.FC),Sum(Charts Data.AC)
Consumer,Central,Technology,Phones,13.000000000000002,6416.0196,37108.786
Corporate,Central,Technology,Phones,7.200000000000001,2391.2797,17180.796
Home Office,Central,Technology,Phones,4.2,3515.7274,18113.7
Consumer,East,Technology,Phones,21.999999999999986,7328.2536,51512.038
Corporate,East,Technology,Phones,13.200000000000006,3129.6183,29865.618
Home Office,East,Technology,Phones,8.400000000000002,1856.8141,19237.326
Consumer,South,Technology,Phones,6.600000000000003,5623.9118,30846.204
Corporate,South,Technology,Phones,5.000000000000002,3680.212,19274.232
Home Office,South,Technology,Phones,2.4,1463.1515,8184.002
Consumer,West,Technology,Phones,27.59999999999996,4468.9297,50465.736
Corporate,West,Technology,Phones,17.599999999999987,2565.1096,24832.768
Home Office,West,Technology,Phones,10.200000000000003,2076.7033,23385.848
Consumer,Central,Technology,Machines,2.6999999999999997,-1667.028,11999.762
Corporate,Central,Technology,Machines,2.5,-361.5044,11716.734
Home Office,Central,Technology,Machines,1.7000000000000002,542.4658,3080.888
Consumer,East,Technology,Machines,6.300000000000001,-1296.085,30668.429
Corporate,East,Technology,Machines,4.2,2624.6023,23892.036
Home Office,East,Technology,Machines,0,5600.1256,11545.7
Consumer,South,Technology,Machines,3,2910.5588,18338.55
Corporate,South,Technology,Machines,1.5,-2520.1179,12001.155
Home Office,South,Technology,Machines,1.5,-1829.3339,23551.255
Consumer,West,Technology,Machines,4.800000000000001,2193.616,18536.084
Corporate,West,Technology,Machines,3.9000000000000004,960.039,12666.83
Home Office,West,Technology,Machines,3.0999999999999996,-3772.5814,11241.208
Consumer,Central,Technology,Accessories,13.200000000000001,3743.3859,19062.304
Corporate,Central,Technology,Accessories,5.6000000000000005,1462.9337,6195.238
Home Office,Central,Technology,Accessories,4,2045.311,8698.534
Consumer,East,Technology,Accessories,10.000000000000004,5240.0783,22861.056
Corporate,East,Technology,Accessories,4.800000000000002,2933.5911,11747.998
Home Office,East,Technology,Accessories,2.8000000000000003,3022.195,10424.318
Consumer,South,Technology,Accessories,6.6000000000000005,2788.3072,11651.564
Corporate,South,Technology,Accessories,1.9999999999999998,3085.4777,10175.456
