Orders.Order Date.Variation.Date Hierarchy.Year,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales),Orders.Category,Orders.Sub-Category,Orders.Region
2016,-468.0408,58,8384.939999999999,Furniture,Bookcases,Central
2016,-198.08580000000018,59,5964.221000000001,Furniture,Bookcases,East
2016,552.7233999999999,32,3709.224,Furniture,Bookcases,South
2016,325.8741999999997,48,8217.0815,Furniture,Bookcases,West
2016,1504.2379999999998,166,23349.623999999996,Furniture,Chairs,Central
2016,1782.8010999999997,175,23010.482999999993,Furniture,Chairs,East
2016,1276.07,52,6331.122,Furniture,Chairs,South
2016,1200.0447999999983,221,31227.415999999987,Furniture,Chairs,West
2016,-1582.3255000000001,258,5115.692000000001,Furniture,Furnishings,Central
2016,2135.1757,298,9587.140000000001,Furniture,Furnishings,East
2016,1278.3998999999994,186,5382.784000000001,Furniture,Furnishings,South
2016,2104.0199000000002,294,7788.508000000002,Furniture,Furnishings,West
2016,292.6210999999996,74,13922.926,Furniture,Tables,Central
2016,-2306.7783,60,7825.328,Furniture,Tables,East
2016,39.22299999999967,79,12498.3115,Furniture,Tables,South
2016,-976.0075999999999,133,26586.635000000006,Furniture,Tables,West
2016,378.69469999999967,100,6015.011000000001,Office Supplies,Appliances,Central
2016,2302.6057999999994,119,9426.582000000002,Office Supplies,Appliances,East
2016,1159.3742999999997,53,5607.47,Office Supplies,Appliances,South
2016,1460.6666999999998,124,5001.252000000002,Office Supplies,Appliances,West
2016,261.41529999999995,171,1519.9500000000003,Office Supplies,Art,Central
2016,476.9198000000001,215,1882.5659999999996,Office Supplies,Art,East
2016,352.6363999999999,132,1438.2699999999995,Office Supplies,Art,South
2016,322.99109999999985,160,1120.1220000000003,Office Supplies,Art,West
2016,2919.3365999999987,308,14056.379999999997,Office Supplies,Binders,Central
2016,2802.6457999999984,467,18955.548000000003,Office Supplies,Binders,East
2016,618.0254,273,4112.216000000001,Office Supplies,Binders,South
2016,3875.626299999999,555,12559.181000000004,Office Supplies,Binders,West
2016,371.9226999999999,41,970.7959999999999,Office Supplies,Envelopes,Central
2016,556.6349999999999,61,1304.7500000000002,Office Supplies,Envelopes,East
2016,399.8763999999999,53,895.7420000000001,Office Supplies,Envelopes,South
2016,738.3141999999999,67,1558.6020000000005,Office Supplies,Envelopes,West
2016,83.2255,74,247.37399999999997,Office Supplies,Fasteners,Central
2016,112.47730000000001,123,344.1700000000001,Office Supplies,Fasteners,East
2016,34.901399999999995,24,104.87,Office Supplies,Fasteners,South
2016,63.469199999999994,67,263.72,Office Supplies,Fasteners,West
2016,204.96179999999998,89,511.24999999999994,Office Supplies,Labels,Central
2016,335.69859999999994,112,779.156,Office Supplies,Labels,East
2016,132.50410000000002,44,288.20000000000005,Office Supplies,Labels,South
2016,519.4473999999999,118,1248.6340000000002,Office Supplies,Labels,West
2016,2205.3706999999995,354,5365.607999999998,Office Supplies,Paper,Central
2016,2135.0231999999996,322,4926.120000000001,Office Supplies,Paper,East
2016,1724.0622000000003,234,3923.1639999999993,Office Supplies,Paper,South
2016,3007.0784000000003,462,6447.0019999999995,Office Supplies,Paper,West
2016,778.9764999999998,178,12811.512,Office Supplies,Storage,Central
2016,2804.288900000002,293,22096.05799999999,Office Supplies,Storage,East
2016,1088.0691999999997,141,10840.395999999997,Office Supplies,Storage,South
2016,1532.9522,196,13040.734000000002,Office Supplies,Storage,West
2016,-811.7518000000002,23,4294.908,Office Supplies,Supplies,Central
2016,-27.20429999999999,77,2086.2580000000003,Office Supplies,Supplies,East
2016,-184.8886,41,1456.3000000000002,Office Supplies,Supplies,South
2016,324.8807999999997,75,6440.1100000000015,Office Supplies,Supplies,West
2016,1888.0898999999993,205,10802.214000000004,Technology,Accessories,Central
2016,1260.0029,148,6231.378,Technology,Accessories,East
2016,2543.8409,124,9379.843999999997,Technology,Accessories,South
2016,3972.354799999999,205,15482.417999999992,Technology,Accessories,West
2016,8399.975999999999,5,17499.949999999997,Technology,Copiers,Central
2016,5143.924799999999,29,19759.77,Technology,Copiers,East
2016,871.9584,12,2559.888,Technology,Copiers,South
2016,3326.9334,23,9779.802000000001,Technology,Copiers,West
2016,57.31859999999989,9,2658.7889999999998,Technology,Machines,Central
2016,-1342.346500000002,51,25215.938000000002,Technology,Machines,East
2016,4308.107,21,13238.600000000002,Technology,Machines,South
2016,-115.76110000000034,48,14793.559,Technology,Machines,West
2016,3415.133599999999,246,19902.452,Technology,Phones,Central
2016,2167.8120999999983,230,21290.356000000007,Technology,Phones,East
2016,1507.925,113,11843.822000000004,Technology,Phones,South
2016,2368.722200000001,229,25925.4,Technology,Phones,West
