Acme - Region Master.Region Hierarchy.Sub Region,Acme - Region Master.Region Hierarchy.Region,Acme - Category Master.Category Hierarchy.Category,Acme - Category Master.Category Hierarchy.Sub Category,Acme - Values.AC vs PL % 2019,Acme - Values.AC vs PL % 2020,Acme - Values.AC vs PL % 2021,Acme - Values.2019 Plan,Acme - Values.2020 Plan,Acme - Values.2021 Plan,Acme - Values.2019 Actuals,Acme - Values.2020 Actuals,Acme - Values.2021 Actuals
APAC,International,Beverages,Juices,0.05063420706864915,0.096893153484989,-0.09311800939111131,38948919.40000023,45450300.270000026,59705930.209999785,40921067.04999997,49854123.189999975,54146232.83999999
EMEA,International,Beverages,Juices,0.09261715685202887,-0.009221615651330776,-0.068667931336084,108605576.45999944,105403608.94999985,117895494.92000036,118664316.17000023,104431617.37999979,109799855.17000014
Central,United States,Beverages,Juices,-0.1745312852026071,-0.025981792685661666,0.012361825375062595,53441659.80999994,51636287.61999998,52973662.879999906,44114418.240000136,50294684.299999945,53628514.0499999
East,United States,Beverages,Juices,0.07109583110553958,0.052472753177242634,-0.10202919654923967,90055988.10000022,79287855.66000015,111019321.9500001,96458593.42000031,83448307.74000017,99692109.73000023
Midwest,United States,Beverages,Juices,0.03058392427645039,-0.1714539129960828,0.013183259917165305,45411955.230000086,60554490.6999997,52474307.14000004,46800831.029999964,50172186.319999844,53166089.56999982
Pacific,United States,Beverages,Juices,0.08764745916928549,0.01712605928239579,-0.15869624710837987,61663007.59000023,65034350.37999995,80257287.00000009,67067613.53000011,66148132.51999993,67520756.74999991
APAC,International,Beverages,Soda,-0.1005226970691099,-0.004388030824715912,0.027663708450117654,41690333.250000045,38727567.5100001,45205345.20000003,37499508.51000005,38557629.749999955,46455892.68999976
EMEA,International,Beverages,Soda,-0.06513613069734256,0.07181878567723335,-0.009014208842063125,80008827.26999982,73781756.96000011,94373560.11000031,74797361.84,79080673.15000008,93522857.12999977
Central,United States,Beverages,Soda,-0.003866022989365538,-0.03420898616706412,-0.072672133156846,35996720.75999993,40413304.94999998,36279185.92000013,35857556.61,39030806.76000009,33642700.08999991
East,United States,Beverages,Soda,-0.14496905385206152,-0.08341898865321393,-0.11252004940541677,62823457.19999966,83690287.33999993,73424396.83999977,53716000.05000023,76708928.21000026,65162680.080000065
Midwest,United States,Beverages,Soda,-0.0736522977182024,-0.00868877121246837,-0.02843356565031788,24098995.890000008,22286963.860000044,24905544.69000005,22324049.46999999,22093317.529999953,24197391.250000007
