Region,Country,Year,Value Column Name,Value
"Asia-Pacific","Australia","2018","PY","180000"
"Asia-Pacific","Australia","2018","PL","310000"
"Asia-Pacific","Australia","2018","FC","295000"
"Asia-Pacific","Australia","2018","AC","335000"
"Asia-Pacific","Australia","2018","AC - PY","155000"
"Asia-Pacific","Australia","2018","(AC - PY)%","0.8611111111111112"
"Asia-Pacific","Australia","2018","AC - PL","25000"
"Asia-Pacific","Australia","2018","(AC - PL)%","0.08064516129032258"
"Asia-Pacific","Australia","2018","AC - FC","40000"
"Asia-Pacific","Australia","2018","(AC - FC)%","0.13559322033898305"
"Asia-Pacific","Australia","2018","PL - PY","130000"
"Asia-Pacific","Australia","2018","(PL - PY)%","0.7222222222222221"
"Asia-Pacific","Australia","2018","FC - PY","115000"
"Asia-Pacific","Australia","2018","(FC - PY)%","0.6388888888888888"
"Asia-Pacific","Australia","2018","FC - PL","-15000"
"Asia-Pacific","Australia","2018","(FC - PL)%","-0.04838709677419355"
"Asia-Pacific","China","2018","PY","318000"
"Asia-Pacific","China","2018","PL","237000"
"Asia-Pacific","China","2018","FC","413000"
"Asia-Pacific","China","2018","AC","287000"
"Asia-Pacific","China","2018","AC - PY","-31000"
"Asia-Pacific","China","2018","(AC - PY)%","-0.09748427672955975"
"Asia-Pacific","China","2018","AC - PL","50000"
"Asia-Pacific","China","2018","(AC - PL)%","0.2109704641350211"
"Asia-Pacific","China","2018","AC - FC","-126000"
"Asia-Pacific","China","2018","(AC - FC)%","-0.3050847457627119"
"Asia-Pacific","China","2018","PL - PY","-81000"
"Asia-Pacific","China","2018","(PL - PY)%","-0.25471698113207547"
"Asia-Pacific","China","2018","FC - PY","95000"
"Asia-Pacific","China","2018","(FC - PY)%","0.29874213836477986"
"Asia-Pacific","China","2018","FC - PL","176000"
"Asia-Pacific","China","2018","(FC - PL)%","0.7426160337552743"
"Asia-Pacific","Japan","2018","PY","187000"
"Asia-Pacific","Japan","2018","PL","265000"
"Asia-Pacific","Japan","2018","FC","410000"
"Asia-Pacific","Japan","2018","AC","249000"
"Asia-Pacific","Japan","2018","AC - PY","62000"
"Asia-Pacific","Japan","2018","(AC - PY)%","0.3315508021390374"
"Asia-Pacific","Japan","2018","AC - PL","-16000"
"Asia-Pacific","Japan","2018","(AC - PL)%","-0.060377358490566045"
"Asia-Pacific","Japan","2018","AC - FC","-161000"
"Asia-Pacific","Japan","2018","(AC - FC)%","-0.39268292682926836"
"Asia-Pacific","Japan","2018","PL - PY","78000"
"Asia-Pacific","Japan","2018","(PL - PY)%","0.41711229946524064"
"Asia-Pacific","Japan","2018","FC - PY","223000"
"Asia-Pacific","Japan","2018","(FC - PY)%","1.1925133689839573"
"Asia-Pacific","Japan","2018","FC - PL","145000"
"Asia-Pacific","Japan","2018","(FC - PL)%","0.5471698113207547"
"Asia-Pacific","Other","2018","PY","78000"
"Asia-Pacific","Other","2018","PL","52000"
"Asia-Pacific","Other","2018","FC","55000"
"Asia-Pacific","Other","2018","AC","78000"
"Asia-Pacific","Other","2018","AC - PY","0"
"Asia-Pacific","Other","2018","(AC - PY)%","0"
"Asia-Pacific","Other","2018","AC - PL","26000"
"Asia-Pacific","Other","2018","(AC - PL)%","0.5"
"Asia-Pacific","Other","2018","AC - FC","23000"
"Asia-Pacific","Other","2018","(AC - FC)%","0.41818181818181815"
"Asia-Pacific","Other","2018","PL - PY","-26000"
"Asia-Pacific","Other","2018","(PL - PY)%","-0.33333333333333326"
"Asia-Pacific","Other","2018","FC - PY","-23000"
"Asia-Pacific","Other","2018","(FC - PY)%","-0.2948717948717949"
"Asia-Pacific","Other","2018","FC - PL","3000"
"Asia-Pacific","Other","2018","(FC - PL)%","0.05769230769230769"
"Americas","Brazil","2018","PY","-44000"
"Americas","Brazil","2018","PL","273000"
"Americas","Brazil","2018","FC","160000"
"Americas","Brazil","2018","AC","280000"
"Americas","Brazil","2018","AC - PY","324000"
"Americas","Brazil","2018","(AC - PY)%","7.363636363636363"
"Americas","Brazil","2018","AC - PL","7000"
"Americas","Brazil","2018","(AC - PL)%","0.02564102564102564"
"Americas","Brazil","2018","AC - FC","120000"
"Americas","Brazil","2018","(AC - FC)%","0.75"
"Americas","Brazil","2018","PL - PY","317000"
"Americas","Brazil","2018","(PL - PY)%","7.204545454545454"
"Americas","Brazil","2018","FC - PY","204000"
"Americas","Brazil","2018","(FC - PY)%","4.636363636363637"
"Americas","Brazil","2018","FC - PL","-113000"
"Americas","Brazil","2018","(FC - PL)%","-0.4139194139194139"
"Americas","Canada","2018","PY","-18000"
"Americas","Canada","2018","PL","166000"
