Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Orders.Category,Sum(Orders.Profit),Sum(Orders.Discount)
2014,Accessories,Technology,6402.715000000001,11.600000000000001
2015,Accessories,Technology,10197.275200000002,14.600000000000001
2016,Accessories,Technology,9664.288500000002,14.8
2017,Accessories,Technology,15672.357000000007,19.8
2014,Appliances,Office Supplies,2459.499899999998,15.300000000000006
2015,Appliances,Office Supplies,2511.8956999999996,16.900000000000006
2016,Appliances,Office Supplies,5301.341499999998,16.300000000000004
2017,Appliances,Office Supplies,7865.268299999998,29.10000000000002
2014,Art,Office Supplies,1406.8030999999999,11.999999999999995
2015,Art,Office Supplies,1485.0582,12.799999999999994
2016,Art,Office Supplies,1413.962600000001,12.599999999999994
2017,Art,Office Supplies,2221.9631,22.2
2014,Binders,Office Supplies,4739.716000000011,109
2015,Binders,Office Supplies,7596.6714,120.8
2016,Binders,Office Supplies,10215.634100000001,148.10000000000002
2017,Binders,Office Supplies,7669.7418,189.1
2014,Bookcases,Furniture,-346.17070000000064,7.61
2015,Bookcases,Furniture,-2755.230200000001,13.940000000000003
2016,Bookcases,Furniture,212.47099999999932,10.270000000000001
2017,Bookcases,Furniture,-583.6261000000015,16.320000000000007
2014,Chairs,Furniture,6955.0470000000005,22.500000000000014
2015,Chairs,Furniture,6228.4160999999995,21.20000000000001
2016,Chairs,Furniture,5763.153899999996,29.500000000000036
2017,Chairs,Furniture,7643.549299999999,31.80000000000004
2014,Copiers,Technology,2912.9433,2.1999999999999997
2015,Copiers,Technology,9930.298799999999,2.6
2016,Copiers,Technology,17742.792599999993,2.8
2017,Copiers,Technology,25031.7902,3.4
2014,Envelopes,Office Supplies,1495.4787999999994,5.600000000000002
2015,Envelopes,Office Supplies,1960.1905999999997,4.400000000000001
2016,Envelopes,Office Supplies,2066.7482999999997,4.200000000000001
2017,Envelopes,Office Supplies,1441.7590000000002,6.200000000000003
2014,Fasteners,Office Supplies,178.55829999999997,5.200000000000002
2015,Fasteners,Office Supplies,171.93759999999997,3.800000000000001
2016,Fasteners,Office Supplies,294.07339999999994,4.600000000000001
2017,Fasteners,Office Supplies,304.94890000000004,4.200000000000001
2014,Furnishings,Furniture,1972.8918999999992,27.600000000000026
2015,Furnishings,Furniture,3051.818899999999,27.400000000000023
2016,Furnishings,Furniture,3935.270000000001,36.600000000000044
2017,Furnishings,Furniture,4099.162800000005,40.800000000000054
2014,Labels,Office Supplies,1286.0041999999996,5.000000000000001
2015,Labels,Office Supplies,1323.0285999999996,6.000000000000001
2016,Labels,Office Supplies,1192.6118999999997,6.800000000000002
2017,Labels,Office Supplies,1744.6092999999992,7.200000000000001
2014,Machines,Technology,369.1688999999936,8.500000000000002
2015,Machines,Technology,2977.4856000000004,6.700000000000001
2016,Machines,Technology,2907.317999999991,10.100000000000001
2017,Machines,Technology,-2869.2156000000014,9.9
2014,Paper,Office Supplies,6371.021400000002,22.400000000000002
2015,Paper,Office Supplies,6570.169999999996,17.400000000000002
2016,Paper,Office Supplies,9071.534499999994,26.400000000000002
2017,Paper,Office Supplies,12040.843399999992,36.4
2014,Phones,Technology,11808.005300000006,26.199999999999957
2015,Phones,Technology,10398.807399999994,27.999999999999957
2016,Phones,Technology,9459.592900000001,34.99999999999995
2017,Phones,Technology,12849.325000000003,48.19999999999992
2014,Storage,Office Supplies,4166.278799999997,12.999999999999995
2015,Storage,Office Supplies,3505.460099999999,13.599999999999993
2016,Storage,Office Supplies,6204.286800000001,14.799999999999994
2017,Storage,Office Supplies,7402.800700000003,21.799999999999994
2014,Supplies,Office Supplies,490.0555999999999,2.8000000000000003
2015,Supplies,Office Supplies,-24.87840000000003,3.2000000000000006
2016,Supplies,Office Supplies,-698.9639000000009,4.400000000000001
2017,Supplies,Office Supplies,-955.3127999999999,4.200000000000001
2014,Tables,Furniture,-3124.0427000000013,18.95000000000001
2015,Tables,Furniture,-3509.8019000000018,13.750000000000009
2016,Tables,Furniture,-2950.941800000002,23.049999999999994
2017,Tables,Furniture,-8140.694700000002,27.599999999999994
