financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit)
High,United States of America,573500,1238760,91760
Low,United States of America,897000,1159200,262200
High,United States of America,873750,922680,48930
High,United States of America,729820,884205,154385
Low,United States of America,726250,862785,136535
Low,United States of America,729500,840384,110884
Low,United States of America,711000,827604,116604
High,United States of America,748250,808110,59860
Medium,United States of America,343000,765576,79576
Low,United States of America,624500,741906,117406
High,United States of America,601380,728595,127215
Low,United States of America,575250,683397,108147
Medium,United States of America,538460,659613.5,121153.5
High,United States of America,643500,656370,12870
High,United States of America,635250,655578,20328
Medium,United States of America,335640,636317.5,-34962.5
High,United States of America,615000,634680,19680
High,United States of America,256360,607376,94656
High,United States of America,521820,597082.5,75262.5
Medium,United States of America,457860,573205.5,115345.5
Medium,United States of America,247750,564870,69370
High,United States of America,252500,521160,16160
Medium,United States of America,466750,509691,42941
Medium,United States of America,189020,478366,100326
Medium,United States of America,435240,430706.25,-4533.75
Medium,United States of America,351390,430452.75,79062.75
Medium,United States of America,156520,400330,87290
High,United States of America,413460,387618.75,-25841.25
Medium,United States of America,359040,355300,-3740
High,United States of America,306020,354277,48257
None,United States of America,338520,352625,14105
Medium,United States of America,330600,323712.5,-6887.5
High,United States of America,341280,305730,-35550
High,United States of America,255450,299171.25,43721.25
High,United States of America,286440,262570,-23870
High,United States of America,292560,259037.5,-33522.5
Medium,United States of America,202000,223008,21008
Medium,United States of America,103320,204487.5,-2152.5
High,United States of America,216480,202950,-13530
Low,United States of America,71240,184128,41648
Low,United States of America,87240,179932.5,5452.5
High,United States of America,191520,179550,-11970
Low,United States of America,79560,164092.5,4972.5
Low,United States of America,90740,117264,26524
Medium,United States of America,26630,101194,47934
Low,United States of America,69160,91238,22078
High,United States of America,70200,83160,12960
High,United States of America,25670,66998.7,15658.699999999997
High,United States of America,69480,65137.5,-4342.5
Low,United States of America,15660,61387.2,30067.199999999997
High,United States of America,8742,60144.96,42660.96
Medium,United States of America,28320,53808,25488
Medium,United States of America,36750,50163.75,13413.75
Medium,United States of America,12820,47177.6,21537.6
High,United States of America,26410,45953.4,19543.4
High,United States of America,31995,42713.325,10718.324999999999
Medium,United States of America,29310,40887.45,11577.449999999997
Low,United States of America,39600,40837.5,1237.5
Medium,United States of America,14535,37442.16,8372.160000000003
High,United States of America,14980,36071.84,6111.8399999999965
High,United States of America,25480,33633.6,8153.5999999999985
Medium,United States of America,11530,32514.6,9454.599999999999
Low,United States of America,22462.5,31133.024999999998,8670.524999999998
Medium,United States of America,21980,30991.8,9011.8
Medium,United States of America,8169,30715.44,22546.44
High,United States of America,17430,29979.6,12549.599999999999
Medium,United States of America,20300,28623,8323
Low,United States of America,19250,28297.5,9047.5
Low,United States of America,3426,26859.84,20007.84
Medium,United States of America,14210,26430.6,12220.599999999999
None,United States of America,6423,25692,19269
Low,United States of America,12360,24225.6,11865.599999999999
Medium,United States of America,12650,24035,11385
Low,United States of America,5967,23629.32,17662.32
None,United States of America,5859,23436,17577
High,United States of America,17670,22794.3,5124.299999999999
Low,United States of America,5841,22663.08,16822.08
Low,United States of America,15140,22482.9,7342.9000000000015
Low,United States of America,5574,22073.04,16499.04
Medium,United States of America,5868,21359.52,15491.52
Medium,United States of America,11175,21009,9834
High,United States of America,6045,20794.8,14749.8
Low,United States of America,10560,20275.2,9715.2
Low,United States of America,6710,19324.8,5904.799999999999
High,United States of America,2742,18645.6,13161.599999999999
None,United States of America,6150,18450,6150
High,United States of America,5418,18421.2,13003.2
Medium,United States of America,9730,17708.6,7978.5999999999985
Low,United States of America,12645,17525.97,4880.969999999999
Low,United States of America,4395,16876.8,12481.8
None,United States of America,5715,16002,4572
Low,United States of America,4108.5,15940.98,11832.48
Medium,United States of America,11635,15474.55,3839.5499999999993
High,United States of America,11640,14666.4,3026.3999999999996
Low,United States of America,7360,14131.2,6771.200000000001
Low,United States of America,10065,13809.18,3744.1800000000003
None,United States of America,2736,10944,8208
High,United States of America,7900,10665,2765
High,United States of America,6060,10423.2,4363.200000000001
High,United States of America,7895,9837.17,1942.17
High,United States of America,2670,9078,3738
High,United States of America,6770,8936.4,2166.3999999999996
High,United States of America,7192.5,8760.465,1567.9649999999992
High,United States of America,1158,8337.6,6021.6
Medium,United States of America,4365,8031.599999999999,3666.5999999999995
Medium,United States of America,5550,7908.75,2358.75
High,United States of America,6490,7904.82,1414.8199999999997
Medium,United States of America,2850,7581,1881
Medium,United States of America,3390,4366.32,976.3199999999997
Medium,United States of America,2735,3560.9700000000003,825.9700000000003
High,United States of America,1900,2367.4,467.4000000000001
Medium,United States of America,1315,1730.54,415.53999999999996
High,United States of America,,11140926.28,866326.7799999998
Low,United States of America,,6273404.135000001,1147004.1349999998
Medium,United States of America,,7168350.749999998,912328.7499999999
None,United States of America,,447149,69881
Low,Canada,741520,1956472,473432
High,Canada,684320,1602888,234248
Low,Canada,479000,1126608,168608
Medium,Canada,950625,1038082.5,87457.5
Medium,Canada,948375,1035625.5,87250.5
Medium,Canada,319280,816620,178060
Medium,Canada,329940,808353,148473
High,Canada,374000,771936,23936
High,Canada,582400,705600,123200
Medium,Canada,609000,686952,77952
High,Canada,579150,670477.5,91327.5
Low,Canada,327480,668605,13645
