Orders.Country,Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
United States,Consumer,Central,Technology,Phones,6416.019599999999,37108.78599999998
United States,Corporate,Central,Technology,Phones,2391.2796999999996,17180.795999999995
United States,Home Office,Central,Technology,Phones,3515.7274000000007,18113.699999999997
United States,Consumer,East,Technology,Phones,7328.253600000001,51512.03800000004
United States,Corporate,East,Technology,Phones,3129.6182999999987,29865.618
United States,Home Office,East,Technology,Phones,1856.814099999999,19237.326
United States,Consumer,South,Technology,Phones,5623.911800000001,30846.20399999999
United States,Corporate,South,Technology,Phones,3680.2119999999995,19274.232000000007
United States,Home Office,South,Technology,Phones,1463.1515,8184.002
United States,Consumer,West,Technology,Phones,4468.929700000001,50465.73599999996
United States,Corporate,West,Technology,Phones,2565.1096000000016,24832.768
United States,Home Office,West,Technology,Phones,2076.7033,23385.848
United States,Consumer,Central,Technology,Machines,-1667.028000000002,11999.761999999999
United States,Corporate,Central,Technology,Machines,-361.50440000000134,11716.733999999999
United States,Home Office,Central,Technology,Machines,542.4657999999998,3080.888
United States,Consumer,East,Technology,Machines,-1296.0850000000046,30668.429
United States,Corporate,East,Technology,Machines,2624.6022999999996,23892.036
United States,Home Office,East,Technology,Machines,5600.125599999999,11545.699999999999
United States,Consumer,South,Technology,Machines,2910.5588,18338.550000000007
United States,Corporate,South,Technology,Machines,-2520.117899999999,12001.155
United States,Home Office,South,Technology,Machines,-1829.3339000000021,23551.254999999997
United States,Consumer,West,Technology,Machines,2193.6159999999986,18536.084000000003
United States,Corporate,West,Technology,Machines,960.0389999999994,12666.830000000002
United States,Home Office,West,Technology,Machines,-3772.581400000001,11241.208000000002
United States,Consumer,Central,Technology,Accessories,3743.3858999999993,19062.303999999993
United States,Corporate,Central,Technology,Accessories,1462.9337,6195.238
United States,Home Office,Central,Technology,Accessories,2045.3110000000004,8698.534
United States,Consumer,East,Technology,Accessories,5240.0783,22861.056
United States,Corporate,East,Technology,Accessories,2933.591099999999,11747.997999999998
United States,Home Office,East,Technology,Accessories,3022.1949999999997,10424.318000000001
United States,Consumer,South,Technology,Accessories,2788.307200000001,11651.563999999993
United States,Corporate,South,Technology,Accessories,3085.4776999999995,10175.456
United States,Home Office,South,Technology,Accessories,1130.7574999999997,5449.7339999999995
United States,Consumer,West,Technology,Accessories,8964.1511,33530.31400000001
United States,Corporate,West,Technology,Accessories,5225.477999999998,20071.872
United States,Home Office,West,Technology,Accessories,2294.9692,7511.9299999999985
United States,Consumer,Central,Technology,Copiers,1482.9615999999999,4519.884
United States,Corporate,Central,Technology,Copiers,12789.904299999998,29679.741999999995
United States,Home Office,Central,Technology,Copiers,1335.9754,3059.944
United States,Consumer,East,Technology,Copiers,8657.932499999995,30399.706
United States,Corporate,East,Technology,Copiers,1134.9764999999998,4219.914
United States,Home Office,East,Technology,Copiers,7229.9328,18599.842
United States,Consumer,South,Technology,Copiers,1783.9451999999999,4439.868
United States,Corporate,South,Technology,Copiers,1874.9615000000001,4859.888
United States,Home Office,South,Technology,Copiers,,
United States,Consumer,West,Technology,Copiers,12158.871299999995,30459.611999999997
United States,Corporate,West,Technology,Copiers,3190.4365999999995,8069.842000000001
United States,Home Office,West,Technology,Copiers,3977.927199999999,11219.788
United States,Consumer,Central,Furniture,Chairs,2920.9013000000004,42933.37499999999
United States,Corporate,Central,Furniture,Chairs,3206.8836999999976,27989.551999999992
United States,Home Office,Central,Furniture,Chairs,464.9370999999995,14307.719000000003
United States,Consumer,East,Furniture,Chairs,4917.395199999997,59645.13300000001
United States,Corporate,East,Furniture,Chairs,2720.5878,23505.23
United States,Home Office,East,Furniture,Chairs,1719.7875999999994,13110.32
United States,Consumer,South,Furniture,Chairs,4017.0347,26804.226
United States,Corporate,South,Furniture,Chairs,1183.9544999999994,11366.872000000003
United States,Home Office,South,Furniture,Chairs,1411.1000999999997,7005.348
United States,Consumer,West,Furniture,Chairs,1380.0006999999987,43480.007999999965
United States,Corporate,West,Furniture,Chairs,1233.2304999999983,36279.223999999995
United States,Home Office,West,Furniture,Chairs,1414.3530999999994,22022.096
United States,Consumer,Central,Furniture,Tables,-3964.1571000000004,20834.999999999996
United States,Corporate,Central,Furniture,Tables,707.1805999999998,12562.592999999999
United States,Home Office,Central,Furniture,Tables,-302.67390000000034,5757.378000000001
United States,Consumer,East,Furniture,Tables,-3708.352800000001,14082.466999999999
United States,Corporate,East,Furniture,Tables,-5299.655700000001,17551.558
United States,Home Office,East,Furniture,Tables,-2017.3716000000002,7505.782000000001
United States,Consumer,South,Furniture,Tables,-2577.4996000000006,24408.842
United States,Corporate,South,Furniture,Tables,-1388.2239000000009,12619.6755
United States,Home Office,South,Furniture,Tables,-657.3344,6887.6745
United States,Consumer,West,Furniture,Tables,521.9716999999994,40607.48600000001
United States,Corporate,West,Furniture,Tables,1074.2003999999995,28137.891000000003
United States,Home Office,West,Furniture,Tables,-113.56480000000028,16009.185000000001
United States,Consumer,Central,Furniture,Bookcases,-1497.1260000000002,12960.854
United States,Corporate,Central,Furniture,Bookcases,-382.7121000000001,8389.500799999998
United States,Home Office,Central,Furniture,Bookcases,-118.06620000000007,2806.822
United States,Consumer,East,Furniture,Bookcases,-2192.0672000000013,27307.134
United States,Corporate,East,Furniture,Bookcases,964.9629999999996,13168.932
United States,Home Office,East,Furniture,Bookcases,59.47239999999985,3343.2680000000005
United States,Consumer,South,Furniture,Bookcases,1220.0119999999995,8716.562
United States,Corporate,South,Furniture,Bookcases,68.36659999999996,1153.804
United States,Home Office,South,Furniture,Bookcases,51.11319999999992,1028.996
United States,Consumer,West,Furniture,Bookcases,-1966.457000000001,19648.17899999999
United States,Corporate,West,Furniture,Bookcases,-12.167300000000452,11293.6875
United States,Home Office,West,Furniture,Bookcases,332.11260000000004,5062.257
United States,Consumer,Central,Furniture,Furnishings,-1454.0523999999998,9499.989999999993
United States,Corporate,Central,Furniture,Furnishings,-1209.3583,3143.956000000001
United States,Home Office,Central,Furniture,Furnishings,-1242.8060999999998,2610.424
United States,Consumer,East,Furniture,Furnishings,3021.1370000000006,13177.067999999994
United States,Corporate,East,Furniture,Furnishings,1956.2305999999996,9983.326000000001
United States,Home Office,East,Furniture,Furnishings,904.0395,5910.986000000003
United States,Consumer,South,Furniture,Furnishings,1957.1855000000005,10870.574
United States,Corporate,South,Furniture,Furnishings,1087.9331000000002,4504.680000000001
United States,Home Office,South,Furniture,Furnishings,397.5642999999999,1931.4299999999998
United States,Consumer,West,Furniture,Furnishings,4395.1526,16072.413999999995
United States,Corporate,West,Furniture,Furnishings,1673.4023,7369.304000000001
United States,Home Office,West,Furniture,Furnishings,1572.7154999999996,6631.012000000001
United States,Consumer,Central,Office Supplies,Storage,413.31009999999895,24671.80999999999
United States,Corporate,Central,Office Supplies,Storage,1084.5102000000004,12656.604
United States,Home Office,Central,Office Supplies,Storage,472.0162,8601.698000000002
United States,Consumer,East,Office Supplies,Storage,1973.924199999998,24994.45799999998
United States,Corporate,East,Office Supplies,Storage,3836.4565000000002,30968.37000000001
United States,Home Office,East,Office Supplies,Storage,2578.990499999999,15649.755999999998
United States,Consumer,South,Office Supplies,Storage,888.6696999999998,16881.745999999996
United States,Corporate,South,Office Supplies,Storage,718.5710999999998,11362.257999999998
United States,Home Office,South,Office Supplies,Storage,667.0556999999999,7524.056
United States,Consumer,West,Office Supplies,Storage,3828.2964000000006,33944.387999999984
United States,Corporate,West,Office Supplies,Storage,3491.4869,24803.76600000001
United States,Home Office,West,Office Supplies,Storage,1325.5388999999993,11784.698
United States,Consumer,Central,Office Supplies,Binders,1832.3210000000026,39693.575999999994
United States,Corporate,Central,Office Supplies,Binders,-4420.424900000004,8879.539999999999
United States,Home Office,Central,Office Supplies,Binders,1544.4669999999992,8350.165999999997
United States,Consumer,East,Office Supplies,Binders,6740.669700000001,31622.609999999982
United States,Corporate,East,Office Supplies,Binders,2833.003399999999,12048.381000000007
