15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.Volume Sold (Gallons))
2012,Qtr 2,ACKLEY,
2012,Qtr 4,ACKLEY,
2013,Qtr 2,ACKLEY,1.19
2013,Qtr 4,ACKLEY,
2014,Qtr 2,ACKLEY,
2014,Qtr 4,ACKLEY,
2015,Qtr 2,ACKLEY,
2015,Qtr 4,ACKLEY,
2012,Qtr 2,ADAIR,
2012,Qtr 4,ADAIR,2.38
2013,Qtr 2,ADAIR,
2013,Qtr 4,ADAIR,
2014,Qtr 2,ADAIR,
2014,Qtr 4,ADAIR,
2015,Qtr 2,ADAIR,
2015,Qtr 4,ADAIR,
2012,Qtr 2,ADEL,2.85
2012,Qtr 4,ADEL,
2013,Qtr 2,ADEL,0.59
2013,Qtr 4,ADEL,3.57
2014,Qtr 2,ADEL,0.59
2014,Qtr 4,ADEL,
2015,Qtr 2,ADEL,
2015,Qtr 4,ADEL,2.38
2012,Qtr 2,AFTON,
2012,Qtr 4,AFTON,
2013,Qtr 2,AFTON,
2013,Qtr 4,AFTON,
2014,Qtr 2,AFTON,2.38
2014,Qtr 4,AFTON,
2015,Qtr 2,AFTON,
2015,Qtr 4,AFTON,
2012,Qtr 2,AKRON,
2012,Qtr 4,AKRON,
2013,Qtr 2,AKRON,
2013,Qtr 4,AKRON,
2014,Qtr 2,AKRON,
2014,Qtr 4,AKRON,0.2
2015,Qtr 2,AKRON,
2015,Qtr 4,AKRON,
2012,Qtr 2,ALBIA,2.77
2012,Qtr 4,ALBIA,3.17
2013,Qtr 2,ALBIA,3.17
2013,Qtr 4,ALBIA,3.76
2014,Qtr 2,ALBIA,4.76
2014,Qtr 4,ALBIA,3.17
2015,Qtr 2,ALBIA,2.97
2015,Qtr 4,ALBIA,6.34
2012,Qtr 2,ALDEN,2.77
2012,Qtr 4,ALDEN,
2013,Qtr 2,ALDEN,
2013,Qtr 4,ALDEN,
2014,Qtr 2,ALDEN,3.17
2014,Qtr 4,ALDEN,
2015,Qtr 2,ALDEN,1.19
2015,Qtr 4,ALDEN,0.3
2012,Qtr 2,ALGONA,9.51
2012,Qtr 4,ALGONA,4.959999999999999
2013,Qtr 2,ALGONA,7.66
2013,Qtr 4,ALGONA,5.949999999999999
2014,Qtr 2,ALGONA,75.49
2014,Qtr 4,ALGONA,2.77
2015,Qtr 2,ALGONA,22.4
2015,Qtr 4,ALGONA,1.5899999999999999
2012,Qtr 2,ALLISON,
2012,Qtr 4,ALLISON,
2013,Qtr 2,ALLISON,0.92
2013,Qtr 4,ALLISON,
2014,Qtr 2,ALLISON,5.55
2014,Qtr 4,ALLISON,0.26
2015,Qtr 2,ALLISON,
2015,Qtr 4,ALLISON,0.79
2012,Qtr 2,ALTA,
2012,Qtr 4,ALTA,
2013,Qtr 2,ALTA,
2013,Qtr 4,ALTA,
2014,Qtr 2,ALTA,
2014,Qtr 4,ALTA,
2015,Qtr 2,ALTA,2.38
2015,Qtr 4,ALTA,
2012,Qtr 2,ALTON,0.8
2012,Qtr 4,ALTON,
2013,Qtr 2,ALTON,
2013,Qtr 4,ALTON,0.26
2014,Qtr 2,ALTON,
2014,Qtr 4,ALTON,
2015,Qtr 2,ALTON,
2015,Qtr 4,ALTON,
2012,Qtr 2,ALTOONA,27.21
2012,Qtr 4,ALTOONA,22
2013,Qtr 2,ALTOONA,13.399999999999999
2013,Qtr 4,ALTOONA,5.95
2014,Qtr 2,ALTOONA,15.16
2014,Qtr 4,ALTOONA,28.54
2015,Qtr 2,ALTOONA,21.599999999999998
2015,Qtr 4,ALTOONA,2.78
2012,Qtr 2,AMES,57.84
2012,Qtr 4,AMES,79.12999999999998
2013,Qtr 2,AMES,54.96000000000002
2013,Qtr 4,AMES,61.9
2014,Qtr 2,AMES,56.29
2014,Qtr 4,AMES,41.510000000000005
2015,Qtr 2,AMES,42.65000000000001
2015,Qtr 4,AMES,29.74
2012,Qtr 2,ANAMOSA,16.589999999999996
2012,Qtr 4,ANAMOSA,3.77
2013,Qtr 2,ANAMOSA,10.51
2013,Qtr 4,ANAMOSA,
2014,Qtr 2,ANAMOSA,2.58
2014,Qtr 4,ANAMOSA,4.63
2015,Qtr 2,ANAMOSA,2.44
2015,Qtr 4,ANAMOSA,7.93
2012,Qtr 2,ANITA,
2012,Qtr 4,ANITA,0.53
2013,Qtr 2,ANITA,5.55
2013,Qtr 4,ANITA,
2014,Qtr 2,ANITA,
2014,Qtr 4,ANITA,
2015,Qtr 2,ANITA,0.79
2015,Qtr 4,ANITA,
2012,Qtr 2,ANKENY,29.54
2012,Qtr 4,ANKENY,35
2013,Qtr 2,ANKENY,59.26
2013,Qtr 4,ANKENY,25.18
2014,Qtr 2,ANKENY,21.529999999999998
2014,Qtr 4,ANKENY,21.97
2015,Qtr 2,ANKENY,51.45000000000001
2015,Qtr 4,ANKENY,16.769999999999996
2012,Qtr 2,ANTHON,3.96
2012,Qtr 4,ANTHON,
2013,Qtr 2,ANTHON,
2013,Qtr 4,ANTHON,0.13
2014,Qtr 2,ANTHON,3.17
2014,Qtr 4,ANTHON,0.4
2015,Qtr 2,ANTHON,
2015,Qtr 4,ANTHON,
2012,Qtr 2,ARLINGTON,
2012,Qtr 4,ARLINGTON,6.14
2013,Qtr 2,ARLINGTON,
2013,Qtr 4,ARLINGTON,
2014,Qtr 2,ARLINGTON,0.59
2014,Qtr 4,ARLINGTON,
2015,Qtr 2,ARLINGTON,
2015,Qtr 4,ARLINGTON,
2012,Qtr 2,ARMSTRONG,
2012,Qtr 4,ARMSTRONG,0.26
2013,Qtr 2,ARMSTRONG,
2013,Qtr 4,ARMSTRONG,
2014,Qtr 2,ARMSTRONG,
2014,Qtr 4,ARMSTRONG,
2015,Qtr 2,ARMSTRONG,
2015,Qtr 4,ARMSTRONG,
2012,Qtr 2,ARNOLDS PARK,1.79
2012,Qtr 4,ARNOLDS PARK,0.4
2013,Qtr 2,ARNOLDS PARK,19.03
2013,Qtr 4,ARNOLDS PARK,1.58
2014,Qtr 2,ARNOLDS PARK,3.77
2014,Qtr 4,ARNOLDS PARK,
2015,Qtr 2,ARNOLDS PARK,3.4699999999999998
2015,Qtr 4,ARNOLDS PARK,
2012,Qtr 2,ARNOLD'S PARK,
2012,Qtr 4,ARNOLD'S PARK,
2013,Qtr 2,ARNOLD'S PARK,
2013,Qtr 4,ARNOLD'S PARK,
2014,Qtr 2,ARNOLD'S PARK,
2014,Qtr 4,ARNOLD'S PARK,
2015,Qtr 2,ARNOLD'S PARK,3.57
2015,Qtr 4,ARNOLD'S PARK,
2012,Qtr 2,ATLANTIC,3.9699999999999998
2012,Qtr 4,ATLANTIC,8.72
2013,Qtr 2,ATLANTIC,8.32
2013,Qtr 4,ATLANTIC,4.76
2014,Qtr 2,ATLANTIC,2.77
2014,Qtr 4,ATLANTIC,10.299999999999999
2015,Qtr 2,ATLANTIC,8.329999999999998
2015,Qtr 4,ATLANTIC,16.46
2012,Qtr 2,AUDUBON,0.2
2012,Qtr 4,AUDUBON,
2013,Qtr 2,AUDUBON,0.59
2013,Qtr 4,AUDUBON,0.8
2014,Qtr 2,AUDUBON,
2014,Qtr 4,AUDUBON,2.77
2015,Qtr 2,AUDUBON,0.2
2015,Qtr 4,AUDUBON,0.59
2012,Qtr 2,AVOCA,0.79
2012,Qtr 4,AVOCA,0.13
2013,Qtr 2,AVOCA,3.17
2013,Qtr 4,AVOCA,6.74
2014,Qtr 2,AVOCA,3.17
2014,Qtr 4,AVOCA,0.4
2015,Qtr 2,AVOCA,18.42
2015,Qtr 4,AVOCA,0.53
2012,Qtr 2,BANCROFT,3.17
2012,Qtr 4,BANCROFT,
2013,Qtr 2,BANCROFT,
2013,Qtr 4,BANCROFT,
2014,Qtr 2,BANCROFT,0.2
2014,Qtr 4,BANCROFT,0.6000000000000001
2015,Qtr 2,BANCROFT,2.77
2015,Qtr 4,BANCROFT,11.700000000000001
2012,Qtr 2,BAXTER,
2012,Qtr 4,BAXTER,
2013,Qtr 2,BAXTER,0.4
2013,Qtr 4,BAXTER,
2014,Qtr 2,BAXTER,
2014,Qtr 4,BAXTER,
2015,Qtr 2,BAXTER,
2015,Qtr 4,BAXTER,
2012,Qtr 2,BEDFORD,
2012,Qtr 4,BEDFORD,
2013,Qtr 2,BEDFORD,
2013,Qtr 4,BEDFORD,1.39
2014,Qtr 2,BEDFORD,
2014,Qtr 4,BEDFORD,1.19
2015,Qtr 2,BEDFORD,0.79
2015,Qtr 4,BEDFORD,
2012,Qtr 2,BELLE PLAINE,4.89
2012,Qtr 4,BELLE PLAINE,4.16
2013,Qtr 2,BELLE PLAINE,0.99
