Table5.Year,Table5.Region,Table5.Country,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.AC)
2017,Americas,USA,293000,350000,359000
2018,Americas,USA,341000,133000,275000
2019,Americas,USA,286000,259000,321000
2017,Americas,Brazil,297000,381000,233000
2018,Americas,Brazil,-44000,273000,280000
2019,Americas,Brazil,238000,309000,367000
2017,Americas,Canada,208000,249000,239000
2018,Americas,Canada,-18000,166000,279000
2019,Americas,Canada,232000,229000,236000
2017,Americas,Other,111000,38000,97000
2018,Americas,Other,93000,,67000
2019,Americas,Other,85000,37000,125000
2017,Europe,Poland,0,172000,103000
2018,Europe,Poland,182000,173000,180000
2019,Europe,Poland,272000,173000,239000
2017,Europe,Sweden,276000,405000,176000
2018,Europe,Sweden,345000,247000,
2019,Europe,Sweden,319000,246000,340000
2017,Europe,Belgium,118000,192000,88000
2018,Europe,Belgium,173000,235000,198000
2019,Europe,Belgium,240000,113000,227000
2017,Europe,Germany,0,260000,107000
2018,Europe,Germany,100000,126000,91000
2019,Europe,Germany,190000,232000,219000
2017,Europe,France,196000,199000,118000
2018,Europe,France,0,0,0
2019,Europe,France,152000,158000,175000
2017,Europe,Other,77000,64000,142000
2018,Europe,Other,0,131000,41000
2019,Europe,Other,50000,45000,83000
2017,Asia-Pacific,Australia,329000,282000,304000
2018,Asia-Pacific,Australia,180000,310000,335000
2019,Asia-Pacific,Australia,217000,139000,80000
2017,Asia-Pacific,Japan,264000,232000,206000
2018,Asia-Pacific,Japan,187000,265000,249000
2019,Asia-Pacific,Japan,279000,300000,229000
2017,Asia-Pacific,China,308000,294000,244000
2018,Asia-Pacific,China,318000,237000,287000
2019,Asia-Pacific,China,321000,295000,145000
2017,Asia-Pacific,Other,134000,111000,50000
2018,Asia-Pacific,Other,78000,52000,78000
2019,Asia-Pacific,Other,66000,41000,69000
