Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Orders.Region,Sum(Orders.Sales),Min(Orders.Ship Date),Sum(Orders.Profit)
2014,Accessories,Central,4438.970000000001,2014-01-12T18:30:00.000Z,891.2615000000002
2015,Accessories,Central,7795.228000000002,2015-01-07T18:30:00.000Z,1531.0477
2016,Accessories,Central,10802.213999999994,2016-01-07T18:30:00.000Z,1888.0898999999997
2017,Accessories,Central,10919.664000000004,2017-01-17T18:30:00.000Z,2941.231499999999
2014,Accessories,East,6053.768,2014-02-11T18:30:00.000Z,1888.0357999999999
2015,Accessories,East,17911.435999999998,2015-01-08T18:30:00.000Z,4688.4591
2016,Accessories,East,6231.378,2016-01-18T18:30:00.000Z,1260.0029
2017,Accessories,East,14836.790000000003,2017-01-29T18:30:00.000Z,3359.366599999999
2014,Accessories,South,5595.290000000001,2014-01-14T18:30:00.000Z,1685.7286000000001
2015,Accessories,South,4141.534000000001,2015-02-24T18:30:00.000Z,828.0340999999997
2016,Accessories,South,9379.843999999997,2016-01-06T18:30:00.000Z,2543.8409
2017,Accessories,South,8160.085999999998,2017-03-04T18:30:00.000Z,1946.9387999999992
2014,Accessories,West,8926.244,2014-02-17T18:30:00.000Z,1937.6891000000007
2015,Accessories,West,10675.761999999997,2015-02-28T18:30:00.000Z,3149.7343
2016,Accessories,West,15482.417999999992,2016-01-14T18:30:00.000Z,3972.354799999999
2017,Accessories,West,26029.692000000006,2017-01-03T18:30:00.000Z,7424.820099999998
2014,Appliances,Central,3659.204999999999,2014-01-25T18:30:00.000Z,-509.17240000000027
2015,Appliances,Central,4974.508999999999,2015-03-08T18:30:00.000Z,-2194.756100000001
2016,Appliances,Central,6015.011000000001,2016-02-19T18:30:00.000Z,378.69469999999967
2017,Appliances,Central,8933.308,2017-01-03T18:30:00.000Z,-313.3837000000003
2014,Appliances,East,5779.202,2014-05-01T18:30:00.000Z,1411.9621999999997
2015,Appliances,East,6691.2519999999995,2015-02-27T18:30:00.000Z,1850.6004999999998
2016,Appliances,East,9426.582000000002,2016-02-29T18:30:00.000Z,2302.6057999999994
2017,Appliances,East,12291.429999999998,2017-01-17T18:30:00.000Z,2826.2448999999992
2014,Appliances,South,2119.7219999999998,2014-03-12T18:30:00.000Z,489.78529999999995
2015,Appliances,South,3850.3399999999992,2015-01-12T18:30:00.000Z,962.6974000000001
2016,Appliances,South,5607.47,2016-01-27T18:30:00.000Z,1159.3742999999997
2017,Appliances,South,7947.794,2017-02-20T18:30:00.000Z,1512.0825999999995
2014,Appliances,West,3755.495999999999,2014-01-20T18:30:00.000Z,1066.9247999999998
2015,Appliances,West,7725.188,2015-01-09T18:30:00.000Z,1893.353899999999
2016,Appliances,West,5001.252000000002,2016-03-14T18:30:00.000Z,1460.6666999999998
2017,Appliances,West,13754.399999999996,2017-01-28T18:30:00.000Z,3840.3244999999997
2014,Art,Central,821.9540000000002,2014-01-12T18:30:00.000Z,187.84199999999996
2015,Art,Central,1132.16,2015-01-07T18:30:00.000Z,248.07010000000005
2016,Art,Central,1519.9500000000003,2016-03-12T18:30:00.000Z,261.41529999999995
2017,Art,Central,2291.276,2017-01-03T18:30:00.000Z,497.83169999999996
2014,Art,East,1290.202,2014-01-11T18:30:00.000Z,332.91319999999996
2015,Art,East,1707.3659999999995,2015-01-03T18:30:00.000Z,400.3931
2016,Art,East,1882.5659999999996,2016-01-07T18:30:00.000Z,476.9198000000001
2017,Art,East,2605.63,2017-01-25T18:30:00.000Z,689.7181999999999
2014,Art,South,566.1320000000001,2014-01-06T18:30:00.000Z,133.75329999999994
2015,Art,South,1362.318,2015-01-12T18:30:00.000Z,293.35029999999995
2016,Art,South,1438.2699999999995,2016-01-06T18:30:00.000Z,352.6363999999999
2017,Art,South,1288.9019999999998,2017-01-30T18:30:00.000Z,278.8466000000001
2014,Art,West,3379.694,2014-01-17T18:30:00.000Z,752.2946
2015,Art,West,2034.9899999999998,2015-02-12T18:30:00.000Z,543.2447000000002
2016,Art,West,1120.1220000000003,2016-01-11T18:30:00.000Z,322.99109999999985
2017,Art,West,2677.259999999999,2017-01-06T18:30:00.000Z,755.5665999999999
2014,Binders,Central,15870.937999999996,2014-01-07T18:30:00.000Z,-1375.9358000000036
2015,Binders,Central,5890.588000000001,2015-01-09T18:30:00.000Z,1370.1047999999987
2016,Binders,Central,14056.379999999996,2016-01-07T18:30:00.000Z,2919.336599999998
2017,Binders,Central,21105.375999999997,2017-01-01T18:30:00.000Z,-3957.1425000000045
2014,Binders,East,6346.627000000002,2014-01-17T18:30:00.000Z,1160.9685999999997
2015,Binders,East,14206.681,2015-01-09T18:30:00.000Z,4743.476800000001
2016,Binders,East,18955.548,2016-01-07T18:30:00.000Z,2802.6458
2017,Binders,East,13989.141,2017-01-12T18:30:00.000Z,2560.8434
2014,Binders,South,8307.446,2014-01-09T18:30:00.000Z,2420.1017
2015,Binders,South,13467.317,2015-03-01T18:30:00.000Z,456.5632999999991
2016,Binders,South,4112.216000000002,2016-01-12T18:30:00.000Z,618.0254000000002
2017,Binders,South,11143.362000000003,2017-01-03T18:30:00.000Z,405.97360000000197
2014,Binders,West,12963.254000000004,2014-01-19T18:30:00.000Z,2534.581499999999
2015,Binders,West,3888.5119999999993,2015-01-09T18:30:00.000Z,1026.5265
2016,Binders,West,12559.181,2016-01-19T18:30:00.000Z,3875.6263
2017,Binders,West,26550.165999999994,2017-01-06T18:30:00.000Z,8660.0673
2014,Bookcases,Central,1834.0375999999997,2014-01-28T18:30:00.000Z,-133.64569999999998
2015,Bookcases,Central,8297.722,2015-01-07T18:30:00.000Z,-885.1924000000004
2016,Bookcases,Central,8384.939999999999,2016-01-11T18:30:00.000Z,-468.0408
2017,Bookcases,Central,5640.4772,2017-01-17T18:30:00.000Z,-511.0254000000002
2014,Bookcases,East,10863.451000000001,2014-01-14T18:30:00.000Z,-425.58550000000065
2015,Bookcases,East,19653.440000000002,2015-01-08T18:30:00.000Z,-987.4247000000008
2016,Bookcases,East,5964.221000000001,2016-01-06T18:30:00.000Z,-198.08580000000018
