3000.Date.Variation.Date Hierarchy.Year,3000.Zip Code,3000.County,3000.Category Name,Sum(3000.Sale (Dollars))
2012,50036,Boone,STRAIGHT BOURBON WHISKIES,169.92
2013,50036,Boone,STRAIGHT BOURBON WHISKIES,
2014,50036,Boone,STRAIGHT BOURBON WHISKIES,
2015,50036,Boone,STRAIGHT BOURBON WHISKIES,
2012,50049,Lucas,STRAIGHT BOURBON WHISKIES,
2013,50049,Lucas,STRAIGHT BOURBON WHISKIES,
2014,50049,Lucas,STRAIGHT BOURBON WHISKIES,35.52
2015,50049,Lucas,STRAIGHT BOURBON WHISKIES,
2012,50049,Lucas,VODKA 80 PROOF,
2013,50049,Lucas,VODKA 80 PROOF,143.28
2014,50049,Lucas,VODKA 80 PROOF,
2015,50049,Lucas,VODKA 80 PROOF,
2012,50138,Marion,SCOTCH WHISKIES,187.08
2013,50138,Marion,SCOTCH WHISKIES,214.2
2014,50138,Marion,SCOTCH WHISKIES,
2015,50138,Marion,SCOTCH WHISKIES,16.27
2012,50138,Marion,STRAIGHT BOURBON WHISKIES,
2013,50138,Marion,STRAIGHT BOURBON WHISKIES,43.15
2014,50138,Marion,STRAIGHT BOURBON WHISKIES,
2015,50138,Marion,STRAIGHT BOURBON WHISKIES,
2012,50138,Marion,VODKA 80 PROOF,64.5
2013,50138,Marion,VODKA 80 PROOF,
2014,50138,Marion,VODKA 80 PROOF,
2015,50138,Marion,VODKA 80 PROOF,
2012,50158,Marshall,SPICED RUM,
2013,50158,Marshall,SPICED RUM,
2014,50158,Marshall,SPICED RUM,602.88
2015,50158,Marshall,SPICED RUM,103.98
2012,50158,Marshall,STRAIGHT BOURBON WHISKIES,14.8
2013,50158,Marshall,STRAIGHT BOURBON WHISKIES,
2014,50158,Marshall,STRAIGHT BOURBON WHISKIES,
2015,50158,Marshall,STRAIGHT BOURBON WHISKIES,126.6
2012,50158,Marshall,VODKA 80 PROOF,65.82
2013,50158,Marshall,VODKA 80 PROOF,
2014,50158,Marshall,VODKA 80 PROOF,69.36
2015,50158,Marshall,VODKA 80 PROOF,64.02
2012,50219,Marion,SCOTCH WHISKIES,
2013,50219,Marion,SCOTCH WHISKIES,97.56
2014,50219,Marion,SCOTCH WHISKIES,
2015,50219,Marion,SCOTCH WHISKIES,
2012,50219,Marion,VODKA 80 PROOF,
2013,50219,Marion,VODKA 80 PROOF,17.34
2014,50219,Marion,VODKA 80 PROOF,
2015,50219,Marion,VODKA 80 PROOF,
2012,50662,Fayette,PEACH SCHNAPPS,
2013,50662,Fayette,PEACH SCHNAPPS,113.4
2014,50662,Fayette,PEACH SCHNAPPS,
2015,50662,Fayette,PEACH SCHNAPPS,
2012,50662,Fayette,VODKA 80 PROOF,64.56
2013,50662,Fayette,VODKA 80 PROOF,
2014,50662,Fayette,VODKA 80 PROOF,
2015,50662,Fayette,VODKA 80 PROOF,129.12
2012,52151,Allamakee,STRAIGHT BOURBON WHISKIES,17.31
2013,52151,Allamakee,STRAIGHT BOURBON WHISKIES,
2014,52151,Allamakee,STRAIGHT BOURBON WHISKIES,83.1
2015,52151,Allamakee,STRAIGHT BOURBON WHISKIES,
2012,52151,Allamakee,VODKA 80 PROOF,
2013,52151,Allamakee,VODKA 80 PROOF,
2014,52151,Allamakee,VODKA 80 PROOF,
2015,52151,Allamakee,VODKA 80 PROOF,22.5
2012,52172,Allamakee,PEACH SCHNAPPS,
2013,52172,Allamakee,PEACH SCHNAPPS,137.16
2014,52172,Allamakee,PEACH SCHNAPPS,
2015,52172,Allamakee,PEACH SCHNAPPS,
2012,52172,Allamakee,SPICED RUM,
2013,52172,Allamakee,SPICED RUM,
2014,52172,Allamakee,SPICED RUM,
2015,52172,Allamakee,SPICED RUM,486
2012,52172,Allamakee,VODKA 80 PROOF,
2013,52172,Allamakee,VODKA 80 PROOF,61.62
2014,52172,Allamakee,VODKA 80 PROOF,
2015,52172,Allamakee,VODKA 80 PROOF,121.44
