Orders.Segment,Orders.Region,Orders.Category,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Sales)
Consumer,West,Furniture,1405,4330.667999999986,119808.08699999982
Corporate,West,Furniture,815,3968.665900000001,83080.10649999998
Home Office,West,Furniture,476,3205.616399999998,49724.549999999996
Consumer,West,Technology,1235,27785.568099999975,132991.74599999996
Corporate,West,Technology,718,11941.063200000002,65641.31199999999
Home Office,West,Technology,382,4577.018299999996,53358.77399999997
Consumer,West,Office Supplies,3837,25334.367899999972,110080.94000000009
Corporate,West,Office Supplies,2097,18527.70079999999,77133.85600000006
Home Office,West,Office Supplies,1301,8747.780299999995,33638.452999999994
Consumer,East,Technology,988,19930.179399999997,135441.229
Corporate,East,Technology,600,9822.788199999999,69725.566
Home Office,East,Technology,354,17709.0675,59807.18599999999
Consumer,East,Furniture,1114,2038.1121999999918,114211.80199999992
Corporate,East,Furniture,723,342.12569999999795,64209.045999999995
Home Office,East,Furniture,377,665.9278999999982,29870.355999999996
Consumer,East,Office Supplies,3245,19222.69270000004,101255.13600000006
Corporate,East,Office Supplies,2035,13457.664999999997,66474.73499999994
Home Office,East,Office Supplies,1182,8334.221399999991,37786.18400000001
Consumer,Central,Technology,790,9975.3391,72690.73599999999
Corporate,Central,Technology,457,16282.613299999995,64772.509999999966
Home Office,Central,Technology,297,7439.479600000001,32953.066
Consumer,Central,Office Supplies,2777,2583.143200000011,93111.47900000002
Corporate,Central,Office Supplies,1605,99.29479999998387,41137.70100000002
Home Office,Central,Office Supplies,1027,6197.541900000003,32777.23500000002
Consumer,Central,Furniture,952,-3994.434200000001,86229.2189999999
Corporate,Central,Furniture,542,2321.993899999999,52085.60179999999
Home Office,Central,Furniture,333,-1198.6091000000017,25482.342999999997
Consumer,South,Technology,584,13106.723000000007,65276.186000000016
Corporate,South,Technology,320,6120.533300000003,46310.73099999999
Home Office,South,Technology,214,764.5750999999975,37184.991
Consumer,South,Office Supplies,1899,9190.117199999995,59504.580999999984
Corporate,South,Office Supplies,1281,8142.659599999995,45930.16999999996
Home Office,South,Office Supplies,620,2653.6159999999995,20216.562000000005
Consumer,South,Furniture,695,4616.732600000003,70800.20399999993
Corporate,South,Furniture,415,952.0302999999976,29645.03149999998
Home Office,South,Furniture,181,1202.4431999999993,16853.4485
