World Food Price.Food Group,Table3.Date.Variation.Date Hierarchy.Year,Table3.Date.Variation.Date Hierarchy.Month,Sum(World Food Price.Price),
FAO CEREAL PRICE INDEX,2003,January,58.00011833518108,102.63742916595577
FAO DAIRY FOOD PRICE INDEX,2003,January,51.256353660758236,102.00492945559489
FAO MEAT PRICE INDEX,2003,January,53.08001271708615,88.06036790640158
FAO SUGAR PRICE INDEX,2003,January,50.68446823923435,96.61330829648912
FAO VEGETABLE OIL PRICE INDEX,2003,January,64.32321520084045,107.59094383620615
FOOD PRICE INDEX,2003,January,55.950249973157,98.09062736119324
FAO CEREAL PRICE INDEX,2003,February,57.84258646222766,104.1463044043392
FAO DAIRY FOOD PRICE INDEX,2003,February,53.09496815384827,103.28815882696858
FAO MEAT PRICE INDEX,2003,February,54.115260654435865,88.34166999338643
FAO SUGAR PRICE INDEX,2003,February,55.69721784531247,97.93407346617218
FAO VEGETABLE OIL PRICE INDEX,2003,February,62.353116994972446,109.81480904431206
FOOD PRICE INDEX,2003,February,56.53421101777512,99.26465512562595
FAO CEREAL PRICE INDEX,2003,March,56.51207984707581,104.79473299308552
FAO DAIRY FOOD PRICE INDEX,2003,March,53.70871815560757,104.30682235844907
FAO MEAT PRICE INDEX,2003,March,54.54847579819205,89.64441027384376
FAO SUGAR PRICE INDEX,2003,March,50.93201142965796,93.5406663314412
FAO VEGETABLE OIL PRICE INDEX,2003,March,59.234135104999154,112.13459295240872
FOOD PRICE INDEX,2003,March,55.52303365222836,100.10479854995658
FAO CEREAL PRICE INDEX,2003,April,56.42583185060003,101.42500763717695
FAO DAIRY FOOD PRICE INDEX,2003,April,52.657880587401685,102.17201806113785
FAO MEAT PRICE INDEX,2003,April,55.65297327395863,89.25242743857746
FAO SUGAR PRICE INDEX,2003,April,47.96149314457463,88.48188559670608
FAO VEGETABLE OIL PRICE INDEX,2003,April,59.56691650969375,105.34454427402288
FOOD PRICE INDEX,2003,April,55.56384318870298,97.21090148164497
FAO CEREAL PRICE INDEX,2003,May,58.20091145797616,101.98351881314993
FAO DAIRY FOOD PRICE INDEX,2003,May,52.63450157327436,101.86377897843484
FAO MEAT PRICE INDEX,2003,May,56.31506143959718,90.39458409118944
FAO SUGAR PRICE INDEX,2003,May,44.37211688343227,87.82690676805765
FAO VEGETABLE OIL PRICE INDEX,2003,May,61.09159936819294,106.28896868346804
FOOD PRICE INDEX,2003,May,56.294111024594514,97.82066009598026
FAO CEREAL PRICE INDEX,2003,June,57.68224676609067,101.62428406480797
FAO DAIRY FOOD PRICE INDEX,2003,June,52.59703569838815,102.59587277595189
FAO MEAT PRICE INDEX,2003,June,56.20313150868297,91.48465272217048
FAO SUGAR PRICE INDEX,2003,June,41.58725599116665,89.08028204861803
FAO VEGETABLE OIL PRICE INDEX,2003,June,61.955421665803556,104.46835786753736
FOOD PRICE INDEX,2003,June,56.04857048101717,97.96808621369334
FAO CEREAL PRICE INDEX,2003,July,56.462999075107305,100.52989723869926
FAO DAIRY FOOD PRICE INDEX,2003,July,53.15265357366877,103.02880989297145
FAO MEAT PRICE INDEX,2003,July,60.45571509434474,92.60140364152569
FAO SUGAR PRICE INDEX,2003,July,42.32988556243748,93.94961334754449
FAO VEGETABLE OIL PRICE INDEX,2003,July,58.83860377032032,102.58369953955201
FOOD PRICE INDEX,2003,July,56.7243232404125,98.11531050432275
FAO CEREAL PRICE INDEX,2003,August,59.89639591918008,100.72586227130942
FAO DAIRY FOOD PRICE INDEX,2003,August,53.613003487621555,102.95162161375463
FAO MEAT PRICE INDEX,2003,August,60.73225174037803,93.06032948683205
FAO SUGAR PRICE INDEX,2003,August,42.26799976483158,93.80606354872593
