Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Region,Orders.Category,CountNonNull(Orders.Postal Code)
2014,Consumer,Central,Furniture,56
2015,Consumer,Central,Furniture,57
2016,Consumer,Central,Furniture,62
2017,Consumer,Central,Furniture,79
2018,Consumer,Central,Furniture,1
2014,Consumer,Central,Office Supplies,172
2015,Consumer,Central,Office Supplies,133
2016,Consumer,Central,Office Supplies,176
2017,Consumer,Central,Office Supplies,251
2018,Consumer,Central,Office Supplies,7
2014,Consumer,Central,Technology,37
2015,Consumer,Central,Technology,54
2016,Consumer,Central,Technology,62
2017,Consumer,Central,Technology,65
2018,Consumer,Central,Technology,
2014,Consumer,East,Furniture,62
2015,Consumer,East,Furniture,58
2016,Consumer,East,Furniture,90
2017,Consumer,East,Furniture,92
2018,Consumer,East,Furniture,1
2014,Consumer,East,Office Supplies,168
2015,Consumer,East,Office Supplies,188
2016,Consumer,East,Office Supplies,249
2017,Consumer,East,Office Supplies,279
2018,Consumer,East,Office Supplies,4
2014,Consumer,East,Technology,55
2015,Consumer,East,Technology,71
2016,Consumer,East,Technology,61
2017,Consumer,East,Technology,89
2018,Consumer,East,Technology,2
2014,Consumer,South,Furniture,34
2015,Consumer,South,Furniture,37
2016,Consumer,South,Furniture,47
2017,Consumer,South,Furniture,59
2018,Consumer,South,Furniture,3
2014,Consumer,South,Office Supplies,89
2015,Consumer,South,Office Supplies,115
2016,Consumer,South,Office Supplies,127
2017,Consumer,South,Office Supplies,172
2018,Consumer,South,Office Supplies,2
2014,Consumer,South,Technology,29
2015,Consumer,South,Technology,35
2016,Consumer,South,Technology,42
2017,Consumer,South,Technology,47
2018,Consumer,South,Technology,
2014,Consumer,West,Furniture,76
2015,Consumer,West,Furniture,88
2016,Consumer,West,Furniture,91
2017,Consumer,West,Furniture,118
2018,Consumer,West,Furniture,2
2014,Consumer,West,Office Supplies,202
2015,Consumer,West,Office Supplies,220
2016,Consumer,West,Office Supplies,253
2017,Consumer,West,Office Supplies,316
2018,Consumer,West,Office Supplies,4
2014,Consumer,West,Technology,72
2015,Consumer,West,Technology,73
2016,Consumer,West,Technology,64
2017,Consumer,West,Technology,92
2018,Consumer,West,Technology,1
2014,Corporate,Central,Furniture,19
2015,Corporate,Central,Furniture,25
2016,Corporate,Central,Furniture,52
2017,Corporate,Central,Furniture,38
2018,Corporate,Central,Furniture,3
2014,Corporate,Central,Office Supplies,70
2015,Corporate,Central,Office Supplies,88
2016,Corporate,Central,Office Supplies,113
2017,Corporate,Central,Office Supplies,143
2018,Corporate,Central,Office Supplies,3
2014,Corporate,Central,Technology,17
2015,Corporate,Central,Technology,34
2016,Corporate,Central,Technology,36
2017,Corporate,Central,Technology,32
2018,Corporate,Central,Technology,
2014,Corporate,East,Furniture,35
2015,Corporate,East,Furniture,44
2016,Corporate,East,Furniture,50
2017,Corporate,East,Furniture,69
2018,Corporate,East,Furniture,
2014,Corporate,East,Office Supplies,96
2015,Corporate,East,Office Supplies,116
2016,Corporate,East,Office Supplies,144
2017,Corporate,East,Office Supplies,164
2018,Corporate,East,Office Supplies,
2014,Corporate,East,Technology,17
2015,Corporate,East,Technology,44
2016,Corporate,East,Technology,38
2017,Corporate,East,Technology,60
2018,Corporate,East,Technology,
2014,Corporate,South,Furniture,22
2015,Corporate,South,Furniture,30
2016,Corporate,South,Furniture,23
2017,Corporate,South,Furniture,26
2018,Corporate,South,Furniture,
2014,Corporate,South,Office Supplies,94
