Orders.Region,Orders.State,Orders.City,Min(Orders.Order ID),Min(Orders.Ship Date)
East,New York,New York City,CA-2014-100006,2014-02-02T18:30:00.000Z
East,New York,New Rochelle,CA-2014-101476,2014-07-22T18:30:00.000Z
East,New York,Mount Vernon,CA-2014-103590,2014-10-16T18:30:00.000Z
East,New York,Oceanside,CA-2014-107916,2014-08-25T18:30:00.000Z
East,New York,Long Beach,CA-2014-108147,2014-04-02T18:30:00.000Z
East,New York,Rochester,CA-2014-113362,2014-05-03T18:30:00.000Z
East,New York,Hempstead,CA-2014-113929,2014-06-20T18:30:00.000Z
East,New York,Freeport,CA-2014-121167,2014-11-29T18:30:00.000Z
East,New York,Troy,CA-2014-122070,2014-04-23T18:30:00.000Z
East,New York,Utica,CA-2014-124730,2014-11-25T18:30:00.000Z
East,New York,Watertown,CA-2014-127523,2014-05-17T18:30:00.000Z
East,New York,Buffalo,CA-2014-128209,2014-07-09T18:30:00.000Z
East,New York,Jamestown,CA-2014-132983,2014-05-02T18:30:00.000Z
East,New York,Yonkers,CA-2014-135755,2014-03-07T18:30:00.000Z
East,New York,Niagara Falls,CA-2014-166555,2014-07-13T18:30:00.000Z
East,New York,Auburn,CA-2015-102015,2015-09-17T18:30:00.000Z
East,New York,Rome,CA-2015-127327,2015-02-06T18:30:00.000Z
East,New York,Lindenhurst,CA-2015-154144,2015-12-23T18:30:00.000Z
East,Pennsylvania,Philadelphia,CA-2014-101427,2014-01-11T18:30:00.000Z
East,Pennsylvania,Lancaster,CA-2014-136742,2014-04-09T18:30:00.000Z
East,Pennsylvania,Chester,CA-2014-154963,2014-06-26T18:30:00.000Z
East,Pennsylvania,Reading,CA-2014-155796,2014-11-14T18:30:00.000Z
East,Pennsylvania,Altoona,CA-2015-111325,2015-02-27T18:30:00.000Z
East,Pennsylvania,Bethlehem,CA-2015-125185,2015-03-06T18:30:00.000Z
East,Pennsylvania,Allentown,CA-2016-122392,2015-08-24T18:30:00.000Z
East,Pennsylvania,York,CA-2017-169404,2016-06-28T18:30:00.000Z
East,Delaware,Newark,CA-2014-103331,2014-06-22T18:30:00.000Z
East,Delaware,Dover,CA-2014-118304,2014-01-13T18:30:00.000Z
East,Delaware,Wilmington,CA-2015-136469,2014-11-24T18:30:00.000Z
East,Ohio,Cleveland,CA-2014-103373,2014-05-23T18:30:00.000Z
East,Ohio,Fairfield,CA-2014-103702,2014-09-16T18:30:00.000Z
East,Ohio,Columbus,CA-2014-105984,2014-03-02T18:30:00.000Z
East,Ohio,Bowling Green,CA-2014-106572,2014-09-09T18:30:00.000Z
East,Ohio,Lorain,CA-2014-108609,2014-11-01T18:30:00.000Z
East,Ohio,Newark,CA-2014-110072,2014-01-17T18:30:00.000Z
East,Ohio,Akron,CA-2014-111360,2014-05-19T18:30:00.000Z
East,Ohio,Mason,CA-2014-114195,2014-11-02T18:30:00.000Z
East,Ohio,Lancaster,CA-2014-115133,2014-09-10T18:30:00.000Z
East,Ohio,Cincinnati,CA-2014-115973,2014-07-05T18:30:00.000Z
East,Ohio,Toledo,CA-2014-121769,2014-04-11T18:30:00.000Z
East,Ohio,Lakewood,CA-2014-123253,2014-08-24T18:30:00.000Z
East,Ohio,Medina,CA-2014-129147,2014-11-05T18:30:00.000Z
East,Ohio,Hamilton,CA-2014-140004,2014-03-24T18:30:00.000Z
East,Ohio,Springfield,CA-2014-142965,2014-04-02T18:30:00.000Z
East,Ohio,Kent,CA-2014-165477,2014-12-30T18:30:00.000Z
East,Ohio,Marion,CA-2015-101889,2014-12-20T18:30:00.000Z
East,Ohio,Troy,CA-2015-106362,2015-05-01T18:30:00.000Z
East,Ohio,Cuyahoga Falls,CA-2015-113971,2015-05-13T18:30:00.000Z
East,Ohio,Dublin,CA-2015-169397,2015-12-26T18:30:00.000Z
East,Ohio,Parma,CA-2016-124590,2014-10-16T18:30:00.000Z
East,Ohio,Mentor,CA-2017-121300,2017-09-28T18:30:00.000Z
East,Ohio,Elyria,CA-2017-121678,2017-11-19T18:30:00.000Z
East,Ohio,Grove City,CA-2017-138611,2017-11-16T18:30:00.000Z
East,Massachusetts,Lawrence,CA-2014-107153,2014-05-11T18:30:00.000Z
East,Massachusetts,Lowell,CA-2014-126403,2014-09-11T18:30:00.000Z
East,Massachusetts,Revere,CA-2014-138359,2014-04-05T18:30:00.000Z
East,Massachusetts,Beverly,CA-2014-141313,2014-12-31T18:30:00.000Z
East,Massachusetts,Everett,CA-2014-151330,2014-10-16T18:30:00.000Z
East,Massachusetts,Franklin,CA-2014-155887,2014-05-16T18:30:00.000Z
East,Massachusetts,New Bedford,CA-2015-111297,2015-08-20T18:30:00.000Z
East,Massachusetts,Cambridge,CA-2015-115392,2015-10-03T18:30:00.000Z
East,Massachusetts,Leominster,CA-2015-117961,2015-02-28T18:30:00.000Z
East,Massachusetts,Quincy,CA-2015-123505,2015-09-20T18:30:00.000Z
East,Massachusetts,Holyoke,CA-2015-146087,2015-07-10T18:30:00.000Z
East,Massachusetts,Malden,CA-2016-128111,2016-03-22T18:30:00.000Z
East,Massachusetts,Andover,CA-2016-153269,2016-03-11T18:30:00.000Z
East,Massachusetts,Marlborough,US-2016-152415,2016-09-21T18:30:00.000Z
East,New Jersey,Plainfield,CA-2014-107594,2014-07-05T18:30:00.000Z
East,New Jersey,Linden,CA-2014-107755,2014-02-11T18:30:00.000Z
East,New Jersey,Lakewood,CA-2014-109302,2014-06-05T18:30:00.000Z
East,New Jersey,Clifton,CA-2014-113383,2014-09-12T18:30:00.000Z
East,New Jersey,Orange,CA-2014-119529,2014-11-04T18:30:00.000Z
East,New Jersey,Hackensack,CA-2014-120887,2014-07-14T18:30:00.000Z
East,New Jersey,Vineland,CA-2015-116260,2015-07-11T18:30:00.000Z
East,New Jersey,Morristown,CA-2015-123113,2015-11-26T18:30:00.000Z
East,New Jersey,Paterson,CA-2015-125934,2015-06-01T18:30:00.000Z
East,New Jersey,Perth Amboy,CA-2015-152611,2015-02-22T18:30:00.000Z
East,New Jersey,Bayonne,CA-2015-156335,2015-09-27T18:30:00.000Z
East,New Jersey,Bridgeton,CA-2016-112389,2016-11-01T18:30:00.000Z
East,New Jersey,East Orange,CA-2016-117583,2016-11-29T18:30:00.000Z
East,New Jersey,Belleville,CA-2016-134138,2016-02-19T18:30:00.000Z
East,New Jersey,Passaic,CA-2016-146934,2016-05-26T18:30:00.000Z
East,New Jersey,Westfield,CA-2016-152072,2016-01-18T18:30:00.000Z
East,New Jersey,Atlantic City,CA-2016-158043,2016-02-03T18:30:00.000Z
East,New Jersey,New Brunswick,CA-2017-161984,2017-04-14T18:30:00.000Z
East,Maryland,Baltimore,CA-2014-118976,2014-04-17T18:30:00.000Z
East,Maryland,Clinton,CA-2014-154095,2014-12-06T18:30:00.000Z
East,Maryland,Columbia,CA-2014-166744,2014-09-23T18:30:00.000Z
East,Maryland,Rockville,CA-2015-140375,2015-10-04T18:30:00.000Z
East,Maryland,Gaithersburg,CA-2016-160304,2016-01-06T18:30:00.000Z
East,Maryland,Laurel,CA-2017-100055,2017-05-31T18:30:00.000Z
East,Maryland,Hagerstown,US-2017-116505,2017-11-20T18:30:00.000Z
East,Rhode Island,Woonsocket,CA-2014-122588,2014-11-26T18:30:00.000Z
East,Rhode Island,Providence,CA-2014-133592,2015-01-06T18:30:00.000Z
East,Rhode Island,Cranston,CA-2014-145387,2014-11-01T18:30:00.000Z
East,Rhode Island,Warwick,CA-2016-127642,2016-05-22T18:30:00.000Z
East,Connecticut,Fairfield,CA-2014-125556,2014-08-17T18:30:00.000Z
East,Connecticut,Meriden,CA-2014-141278,2014-06-23T18:30:00.000Z
East,Connecticut,Bristol,CA-2014-146500,2014-07-23T18:30:00.000Z
East,Connecticut,Middletown,CA-2014-155271,2014-05-03T18:30:00.000Z
East,Connecticut,Norwich,CA-2015-101000,2015-04-13T18:30:00.000Z
East,Connecticut,Manchester,CA-2015-149601,2015-06-02T18:30:00.000Z
East,Connecticut,Milford,CA-2016-120803,2016-03-12T18:30:00.000Z
East,Connecticut,Waterbury,CA-2016-133613,2016-05-17T18:30:00.000Z
East,Connecticut,Shelton,CA-2016-145135,2016-11-27T18:30:00.000Z
East,Connecticut,Danbury,CA-2017-110625,2017-12-29T18:30:00.000Z
