Region,Category,Sub-Category,Value Column Name,Value
"West","Furniture","Bookcases","Quantity","306"
"West","Furniture","Bookcases","PL","2786"
"West","Furniture","Bookcases","FC","1535"
"West","Furniture","Bookcases","Profit","-1646.5117"
"West","Furniture","Bookcases","Profit - Quantity","-1952.5117"
"West","Furniture","Bookcases","(Profit - Quantity)%","-6.380757189542484"
"West","Furniture","Bookcases","Profit - PL","-4432.5117"
"West","Furniture","Bookcases","(Profit - PL)%","-1.5909948671931085"
"West","Furniture","Bookcases","Profit - FC","-3181.5117"
"West","Furniture","Bookcases","(Profit - FC)%","-2.0726460586319218"
"West","Furniture","Bookcases","PL - Quantity","2480"
"West","Furniture","Bookcases","(PL - Quantity)%","8.104575163398692"
"West","Furniture","Bookcases","FC - Quantity","1229"
"West","Furniture","Bookcases","(FC - Quantity)%","4.016339869281046"
"West","Furniture","Bookcases","FC - PL","-1251"
"West","Furniture","Bookcases","(FC - PL)%","-0.44903086862885855"
"West","Furniture","Chairs","Quantity","734"
"West","Furniture","Chairs","PL","2786"
"West","Furniture","Chairs","FC","1535"
"West","Furniture","Chairs","Profit","4027.5843"
"West","Furniture","Chairs","Profit - Quantity","3293.5843"
"West","Furniture","Chairs","(Profit - Quantity)%","4.487172070844687"
"West","Furniture","Chairs","Profit - PL","1241.5843"
"West","Furniture","Chairs","(Profit - PL)%","0.44565122038765254"
"West","Furniture","Chairs","Profit - FC","2492.5843"
"West","Furniture","Chairs","(Profit - FC)%","1.6238334201954396"
"West","Furniture","Chairs","PL - Quantity","2052"
"West","Furniture","Chairs","(PL - Quantity)%","2.795640326975477"
"West","Furniture","Chairs","FC - Quantity","801"
"West","Furniture","Chairs","(FC - Quantity)%","1.0912806539509536"
"West","Furniture","Chairs","FC - PL","-1251"
"West","Furniture","Chairs","(FC - PL)%","-0.44903086862885855"
"West","Furniture","Furnishings","Quantity","1175"
"West","Furniture","Furnishings","PL","2786"
"West","Furniture","Furnishings","FC","1535"
"West","Furniture","Furnishings","Profit","7641.2704"
"West","Furniture","Furnishings","Profit - Quantity","6466.2704"
"West","Furniture","Furnishings","(Profit - Quantity)%","5.50320885106383"
"West","Furniture","Furnishings","Profit - PL","4855.2704"
"West","Furniture","Furnishings","(Profit - PL)%","1.7427388370423547"
"West","Furniture","Furnishings","Profit - FC","6106.2704"
"West","Furniture","Furnishings","(Profit - FC)%","3.978026319218242"
"West","Furniture","Furnishings","PL - Quantity","1611"
"West","Furniture","Furnishings","(PL - Quantity)%","1.371063829787234"
"West","Furniture","Furnishings","FC - Quantity","360"
"West","Furniture","Furnishings","(FC - Quantity)%","0.30638297872340425"
"West","Furniture","Furnishings","FC - PL","-1251"
"West","Furniture","Furnishings","(FC - PL)%","-0.44903086862885855"
"West","Furniture","Tables","Quantity","481"
"West","Furniture","Tables","PL","2786"
"West","Furniture","Tables","FC","1535"
"West","Furniture","Tables","Profit","1482.6073"
"West","Furniture","Tables","Profit - Quantity","1001.6072999999999"
"West","Furniture","Tables","(Profit - Quantity)%","2.082343659043659"
"West","Furniture","Tables","Profit - PL","-1303.3927"
"West","Furniture","Tables","(Profit - PL)%","-0.467836575735822"
"West","Furniture","Tables","Profit - FC","-52.392700000000104"
"West","Furniture","Tables","(Profit - FC)%","-0.03413205211726391"
"West","Furniture","Tables","PL - Quantity","2305"
"West","Furniture","Tables","(PL - Quantity)%","4.792099792099792"
