Orders.Category,Orders.Segment,Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Sales)
Furniture,Consumer,Standard Class,Phones,
Furniture,Corporate,Standard Class,Phones,
Furniture,Home Office,Standard Class,Phones,
Office Supplies,Consumer,Standard Class,Phones,
Office Supplies,Corporate,Standard Class,Phones,
Office Supplies,Home Office,Standard Class,Phones,
Technology,Consumer,Standard Class,Phones,105857.95000000008
Technology,Corporate,Standard Class,Phones,56235.79799999999
Technology,Home Office,Standard Class,Phones,35053.973999999995
Furniture,Consumer,Standard Class,Chairs,99553.99799999993
Furniture,Corporate,Standard Class,Chairs,54634.366999999984
Furniture,Home Office,Standard Class,Chairs,30022.49199999999
Office Supplies,Consumer,Standard Class,Chairs,
Office Supplies,Corporate,Standard Class,Chairs,
Office Supplies,Home Office,Standard Class,Chairs,
Technology,Consumer,Standard Class,Chairs,
Technology,Corporate,Standard Class,Chairs,
Technology,Home Office,Standard Class,Chairs,
Furniture,Consumer,Standard Class,Storage,
Furniture,Corporate,Standard Class,Storage,
Furniture,Home Office,Standard Class,Storage,
Office Supplies,Consumer,Standard Class,Storage,66338.92800000004
Office Supplies,Corporate,Standard Class,Storage,44382.616
Office Supplies,Home Office,Standard Class,Storage,29529.208000000002
Technology,Consumer,Standard Class,Storage,
Technology,Corporate,Standard Class,Storage,
Technology,Home Office,Standard Class,Storage,
Furniture,Consumer,Standard Class,Binders,
Furniture,Corporate,Standard Class,Binders,
Furniture,Home Office,Standard Class,Binders,
Office Supplies,Consumer,Standard Class,Binders,81924.58000000002
Office Supplies,Corporate,Standard Class,Binders,37257.42000000005
Office Supplies,Home Office,Standard Class,Binders,15138.073000000002
Technology,Consumer,Standard Class,Binders,
Technology,Corporate,Standard Class,Binders,
Technology,Home Office,Standard Class,Binders,
Furniture,Consumer,Standard Class,Tables,57519.96950000001
Furniture,Corporate,Standard Class,Tables,51869.65449999999
Furniture,Home Office,Standard Class,Tables,15437.037499999993
Office Supplies,Consumer,Standard Class,Tables,
Office Supplies,Corporate,Standard Class,Tables,
Office Supplies,Home Office,Standard Class,Tables,
Technology,Consumer,Standard Class,Tables,
Technology,Corporate,Standard Class,Tables,
Technology,Home Office,Standard Class,Tables,
Furniture,Consumer,Standard Class,Machines,
Furniture,Corporate,Standard Class,Machines,
Furniture,Home Office,Standard Class,Machines,
Office Supplies,Consumer,Standard Class,Machines,
Office Supplies,Corporate,Standard Class,Machines,
Office Supplies,Home Office,Standard Class,Machines,
Technology,Consumer,Standard Class,Machines,57407.68100000001
Technology,Corporate,Standard Class,Machines,23694.091000000004
Technology,Home Office,Standard Class,Machines,38691.221000000005
Furniture,Consumer,Standard Class,Accessories,
Furniture,Corporate,Standard Class,Accessories,
Furniture,Home Office,Standard Class,Accessories,
Office Supplies,Consumer,Standard Class,Accessories,
Office Supplies,Corporate,Standard Class,Accessories,
Office Supplies,Home Office,Standard Class,Accessories,
Technology,Consumer,Standard Class,Accessories,46837.854
Technology,Corporate,Standard Class,Accessories,28910.811999999994
