Region,State,Category,Value Column Name,Value
"West","California","Furniture","Quantity","1696"
"West","California","Furniture","Profit","9162.965599999998"
"West","California","Furniture","Sales","156064.60149999996"
"West","California","Furniture","Sales - Quantity","154368.60149999996"
"West","California","Furniture","(Sales - Quantity)%","91.01922258254713"
"West","California","Furniture","Sales - Profit","146901.63589999996"
"West","California","Furniture","(Sales - Profit)%","16.032106013799723"
"West","California","Furniture","Profit - Quantity","7466.965599999998"
"West","California","Furniture","(Profit - Quantity)%","4.402691981132074"
"West","California","Office Supplies","Quantity","4566"
"West","California","Office Supplies","Profit","37748.38470000001"
"West","California","Office Supplies","Sales","142351.94799999995"
"West","California","Office Supplies","Sales - Quantity","137785.94799999995"
"West","California","Office Supplies","(Sales - Quantity)%","30.176510731493636"
"West","California","Office Supplies","Sales - Profit","104603.56329999994"
"West","California","Office Supplies","(Sales - Profit)%","2.7710738918054925"
"West","California","Office Supplies","Profit - Quantity","33182.38470000001"
"West","California","Office Supplies","(Profit - Quantity)%","7.267276544021027"
"West","California","Technology","Quantity","1405"
"West","California","Technology","Profit","29470.0368"
"West","California","Technology","Sales","159271.08199999997"
"West","California","Technology","Sales - Quantity","157866.08199999997"
"West","California","Technology","(Sales - Quantity)%","112.36020071174374"
"West","California","Technology","Sales - Profit","129801.04519999996"
"West","California","Technology","(Sales - Profit)%","4.404509097864444"
"West","California","Technology","Profit - Quantity","28065.0368"
"West","California","Technology","(Profit - Quantity)%","19.97511516014235"
"West","Washington","Furniture","Quantity","429"
"West","Washington","Furniture","Profit","7193.784999999994"
"West","Washington","Furniture","Sales","48020.15199999997"
"West","Washington","Furniture","Sales - Quantity","47591.15199999997"
"West","Washington","Furniture","(Sales - Quantity)%","110.93508624708619"
"West","Washington","Furniture","Sales - Profit","40826.36699999998"
"West","Washington","Furniture","(Sales - Profit)%","5.675227574913624"
"West","Washington","Furniture","Profit - Quantity","6764.784999999994"
"West","Washington","Furniture","(Profit - Quantity)%","15.768729603729591"
"West","Washington","Office Supplies","Quantity","1102"
