Orders.Ship Mode,Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
First Class,Consumer,Central,Technology,Copiers,,
Same Day,Consumer,Central,Technology,Copiers,599.98,209.993
Second Class,Consumer,Central,Technology,Copiers,,
Standard Class,Consumer,Central,Technology,Copiers,3919.904,1272.9686
First Class,Corporate,Central,Technology,Copiers,319.98400000000004,107.99459999999999
Same Day,Corporate,Central,Technology,Copiers,,
Second Class,Corporate,Central,Technology,Copiers,439.992,164.997
Standard Class,Corporate,Central,Technology,Copiers,28919.765999999996,12516.912699999997
First Class,Home Office,Central,Technology,Copiers,,
Same Day,Home Office,Central,Technology,Copiers,959.984,335.99440000000004
Second Class,Home Office,Central,Technology,Copiers,999.98,449.991
Standard Class,Home Office,Central,Technology,Copiers,1099.98,549.99
First Class,Consumer,East,Technology,Copiers,3799.9379999999996,606.9903
Same Day,Consumer,East,Technology,Copiers,,
Second Class,Consumer,East,Technology,Copiers,1859.964,289.9944
Standard Class,Consumer,East,Technology,Copiers,24739.804,7760.947799999998
First Class,Corporate,East,Technology,Copiers,839.9879999999999,69.99899999999991
Same Day,Corporate,East,Technology,Copiers,,
Second Class,Corporate,East,Technology,Copiers,1999.96,899.982
Standard Class,Corporate,East,Technology,Copiers,1379.966,164.9954999999999
First Class,Home Office,East,Technology,Copiers,11199.968,3919.988799999999
Same Day,Home Office,East,Technology,Copiers,799.984,249.99499999999998
Second Class,Home Office,East,Technology,Copiers,,
Standard Class,Home Office,East,Technology,Copiers,6599.889999999999,3059.949
First Class,Consumer,South,Technology,Copiers,,
Same Day,Consumer,South,Technology,Copiers,,
Second Class,Consumer,South,Technology,Copiers,1879.964,719.9879999999999
Standard Class,Consumer,South,Technology,Copiers,2559.904,1063.9571999999998
First Class,Corporate,South,Technology,Copiers,,
Same Day,Corporate,South,Technology,Copiers,,
Second Class,Corporate,South,Technology,Copiers,2999.95,1439.976
Standard Class,Corporate,South,Technology,Copiers,1859.938,434.98549999999994
First Class,Home Office,South,Technology,Copiers,,
Same Day,Home Office,South,Technology,Copiers,,
Second Class,Home Office,South,Technology,Copiers,,
