Table5.Year,Table5.Region,Table5.Country,Sum(Table5.PY),Sum(Table5.AC),Min(Table5.City)
2017,Europe,Sweden,276000,176000,Gothenburg
2018,Europe,Sweden,345000,,Gothenburg
2019,Europe,Sweden,319000,340000,Gothenburg
2017,Europe,Belgium,118000,88000,Brussels
2018,Europe,Belgium,173000,198000,Brussels
2019,Europe,Belgium,240000,227000,Brussels
2017,Europe,Poland,0,103000,Lublin
2018,Europe,Poland,182000,180000,Lublin
2019,Europe,Poland,272000,239000,Lublin
2017,Europe,France,196000,118000,Marseille
2018,Europe,France,0,0,Marseille
2019,Europe,France,152000,175000,Marseille
2017,Europe,Germany,0,107000,Berlin
2018,Europe,Germany,100000,91000,Berlin
2019,Europe,Germany,190000,219000,Berlin
2017,Europe,Other,77000,142000,Finland
2018,Europe,Other,0,41000,Finland
2019,Europe,Other,50000,83000,Finland
2017,Asia-Pacific,China,308000,244000,Beijing
2018,Asia-Pacific,China,318000,287000,Beijing
2019,Asia-Pacific,China,321000,145000,Beijing
2017,Asia-Pacific,Japan,264000,206000,Hiroshima
2018,Asia-Pacific,Japan,187000,249000,Hiroshima
2019,Asia-Pacific,Japan,279000,229000,Hiroshima
2017,Asia-Pacific,Australia,329000,304000,Brisbane
2018,Asia-Pacific,Australia,180000,335000,Brisbane
2019,Asia-Pacific,Australia,217000,80000,Brisbane
2017,Asia-Pacific,Other,134000,50000,Seoul
2018,Asia-Pacific,Other,78000,78000,Seoul
2019,Asia-Pacific,Other,66000,69000,Seoul
2017,Americas,USA,293000,359000,California
2018,Americas,USA,341000,275000,California
2019,Americas,USA,286000,321000,California
2017,Americas,Brazil,297000,233000,Manaus
2018,Americas,Brazil,-44000,280000,Manaus
2019,Americas,Brazil,238000,367000,Manaus
2017,Americas,Canada,208000,239000,Montreal
2018,Americas,Canada,-18000,279000,Montreal
2019,Americas,Canada,232000,236000,Montreal
2017,Americas,Other,111000,97000,Chicago
2018,Americas,Other,93000,67000,Chicago
2019,Americas,Other,85000,125000,Chicago
